instrument,horizon,metric,n,top10pct_share
ES,1,R_1,1286,0.34290303151977514
ES,1,UplusD_1,1286,0.24669935873255375
ES,3,R_3,1286,0.3304874531295068
ES,3,UplusD_3,1286,0.24452692318844782
ES,5,R_5,1286,0.3263142816215442
ES,5,UplusD_5,1286,0.24917187204240016
ES,10,R_10,1286,0.3385636903721824
ES,10,UplusD_10,1286,0.25448079406925106
ES,15,R_15,1286,0.34891044212117395
ES,15,UplusD_15,1286,0.25803191326452485
ES,30,R_30,1286,0.3348145696929586
ES,30,UplusD_30,1286,0.2508456782923131
ES,60,R_60,1285,0.32755927871645607
ES,60,UplusD_60,1285,0.25222810899441983
NQ,1,R_1,1284,0.33694771608400326
NQ,1,UplusD_1,1284,0.23705226535937376
NQ,3,R_3,1284,0.31130690161527164
NQ,3,UplusD_3,1284,0.2367357851583388
NQ,5,R_5,1284,0.31140372282794365
NQ,5,UplusD_5,1284,0.2347549588157817
NQ,10,R_10,1284,0.3201292646294675
NQ,10,UplusD_10,1284,0.2364327649280151
NQ,15,R_15,1284,0.32608070912655585
NQ,15,UplusD_15,1284,0.2380154066942537
NQ,30,R_30,1284,0.32605063355425207
NQ,30,UplusD_30,1284,0.24142328270342062
NQ,60,R_60,1283,0.32357114702404416
NQ,60,UplusD_60,1283,0.24068380781691598
