instrument,horizon,label,n,UP,DOWN,NEUTRAL,UPPER,LOWER
ES,1,closing_direction,1286,0.5101088646967341,0.4354587869362364,0.05443234836702955,,
ES,1,dominant_side,1286,,,0.04121306376360809,0.5163297045101088,0.44245723172628304
ES,3,closing_direction,1286,0.49144634525660963,0.48755832037325036,0.020995334370139968,,
ES,3,dominant_side,1286,,,0.017884914463452566,0.5062208398133748,0.4758942457231726
ES,5,closing_direction,1286,0.47433903576982894,0.505443234836703,0.02021772939346812,,
ES,5,dominant_side,1286,,,0.019440124416796267,0.49222395023328147,0.48833592534992226
ES,10,closing_direction,1286,0.5023328149300156,0.4797822706065319,0.017884914463452566,,
ES,10,dominant_side,1286,,,0.01166407465007776,0.484447900466563,0.5038880248833593
ES,15,closing_direction,1286,0.5101088646967341,0.4735614307931571,0.016329704510108865,,
ES,15,dominant_side,1286,,,0.013996889580093312,0.47433903576982894,0.5116640746500778
ES,30,closing_direction,1286,0.504665629860031,0.48522550544323484,0.01010886469673406,,
ES,30,dominant_side,1286,,,0.00933125972006221,0.48289269051321926,0.5077760497667185
ES,60,closing_direction,1285,0.5237354085603113,0.46070038910505834,0.01556420233463035,,
ES,60,dominant_side,1285,,,0.007782101167315175,0.4793774319066148,0.51284046692607
NQ,1,closing_direction,1284,0.5358255451713395,0.45638629283489096,0.00778816199376947,,
NQ,1,dominant_side,1284,,,0.007009345794392523,0.5264797507788161,0.4665109034267913
NQ,3,closing_direction,1284,0.5210280373831776,0.4742990654205608,0.004672897196261682,,
NQ,3,dominant_side,1284,,,0.004672897196261682,0.5295950155763239,0.4657320872274143
NQ,5,closing_direction,1284,0.5116822429906542,0.48520249221183803,0.003115264797507788,,
NQ,5,dominant_side,1284,,,0.003115264797507788,0.5109034267912772,0.48598130841121495
NQ,10,closing_direction,1284,0.514797507788162,0.4797507788161994,0.005451713395638629,,
NQ,10,dominant_side,1284,,,0.002336448598130841,0.4961059190031153,0.5015576323987538
NQ,15,closing_direction,1284,0.5225856697819314,0.4727414330218069,0.004672897196261682,,
NQ,15,dominant_side,1284,,,,0.5054517133956387,0.4945482866043614
NQ,30,closing_direction,1284,0.5327102803738317,0.4657320872274143,0.001557632398753894,,
NQ,30,dominant_side,1284,,,0.003115264797507788,0.49221183800623053,0.5046728971962616
NQ,60,closing_direction,1283,0.5222135619641465,0.47622759158222916,0.001558846453624318,,
NQ,60,dominant_side,1283,,,0.003897116134060795,0.48246297739672644,0.5136399064692128
