instrument,horizon,n,AGREE,DISAGREE,NEUTRAL
ES,3,1286,0.656298600311042,0.27060653188180406,0.07309486780715396
ES,5,1286,0.6283048211508554,0.29704510108864696,0.07465007776049767
ES,10,1286,0.5715396578538102,0.3561430793157076,0.07231726283048212
ES,15,1286,0.5808709175738724,0.3499222395023328,0.06920684292379471
ES,30,1286,0.567651632970451,0.3678071539657854,0.0645412130637636
ES,60,1285,0.5361867704280155,0.39455252918287936,0.06926070038910506
NQ,3,1284,0.6970404984423676,0.29049844236760125,0.012461059190031152
NQ,5,1284,0.6612149532710281,0.3278816199376947,0.010903426791277258
NQ,10,1284,0.6300623052959502,0.35669781931464173,0.0132398753894081
NQ,15,1284,0.6144859813084113,0.37305295950155765,0.012461059190031152
NQ,30,1284,0.5817757009345794,0.4088785046728972,0.009345794392523364
NQ,60,1283,0.5728760717069369,0.4177708495713172,0.009353078721745909
