A,outer_direction,year,n,instrument
0.5,lower,2018,73,ES
0.5,lower,2019,91,ES
0.5,lower,2020,81,ES
0.5,lower,2021,69,ES
0.5,lower,2022,51,ES
0.5,upper,2018,79,ES
0.5,upper,2019,80,ES
0.5,upper,2020,76,ES
0.5,upper,2021,102,ES
0.5,upper,2022,113,ES
1.0,lower,2018,105,ES
1.0,lower,2019,117,ES
1.0,lower,2020,116,ES
1.0,lower,2021,103,ES
1.0,lower,2022,84,ES
1.0,upper,2018,93,ES
1.0,upper,2019,112,ES
1.0,upper,2020,92,ES
1.0,upper,2021,123,ES
1.0,upper,2022,139,ES
1.5,lower,2018,82,ES
1.5,lower,2019,86,ES
1.5,lower,2020,96,ES
1.5,lower,2021,90,ES
1.5,lower,2022,71,ES
1.5,upper,2018,84,ES
1.5,upper,2019,81,ES
1.5,upper,2020,65,ES
1.5,upper,2021,92,ES
1.5,upper,2022,122,ES
2.0,lower,2018,59,ES
2.0,lower,2019,52,ES
2.0,lower,2020,63,ES
2.0,lower,2021,58,ES
2.0,lower,2022,57,ES
2.0,upper,2018,66,ES
2.0,upper,2019,51,ES
2.0,upper,2020,51,ES
2.0,upper,2021,62,ES
2.0,upper,2022,71,ES
0.5,lower,2018,65,NQ
0.5,lower,2019,98,NQ
0.5,lower,2020,78,NQ
0.5,lower,2021,76,NQ
0.5,lower,2022,72,NQ
0.5,upper,2018,87,NQ
0.5,upper,2019,96,NQ
0.5,upper,2020,81,NQ
0.5,upper,2021,83,NQ
0.5,upper,2022,101,NQ
1.0,lower,2018,98,NQ
1.0,lower,2019,116,NQ
1.0,lower,2020,100,NQ
1.0,lower,2021,108,NQ
1.0,lower,2022,102,NQ
1.0,upper,2018,110,NQ
1.0,upper,2019,110,NQ
1.0,upper,2020,109,NQ
1.0,upper,2021,117,NQ
1.0,upper,2022,123,NQ
1.5,lower,2018,83,NQ
1.5,lower,2019,71,NQ
1.5,lower,2020,92,NQ
1.5,lower,2021,94,NQ
1.5,lower,2022,81,NQ
1.5,upper,2018,89,NQ
1.5,upper,2019,76,NQ
1.5,upper,2020,86,NQ
1.5,upper,2021,88,NQ
1.5,upper,2022,101,NQ
2.0,lower,2018,59,NQ
2.0,lower,2019,45,NQ
2.0,lower,2020,65,NQ
2.0,lower,2021,59,NQ
2.0,lower,2022,53,NQ
2.0,upper,2018,68,NQ
2.0,upper,2019,40,NQ
2.0,upper,2020,58,NQ
2.0,upper,2021,56,NQ
2.0,upper,2022,57,NQ
