instrument,A,speed_bin,n,horizon_min,mean_fret_ticks
ES,0.5,0-5,410,15,0.5
ES,0.5,0-5,410,30,0.28780487804878047
ES,0.5,10-15,31,15,7.548387096774194
ES,0.5,10-15,31,30,3.5161290322580645
ES,0.5,5-10,94,15,1.2234042553191489
ES,0.5,5-10,94,30,1.5106382978723405
ES,0.5,>15,109,15,5.990825688073395
ES,0.5,>15,109,30,3.403669724770642
ES,1.0,0-5,501,15,1.3033932135728543
ES,1.0,0-5,501,30,-0.4750499001996008
ES,1.0,10-15,55,15,1.490909090909091
ES,1.0,10-15,55,30,-1.0727272727272728
ES,1.0,5-10,129,15,1.3875968992248062
ES,1.0,5-10,129,30,-4.255813953488372
ES,1.0,>15,142,15,4.443661971830986
ES,1.0,>15,142,30,6.669014084507042
ES,1.5,0-5,334,15,-0.9161676646706587
ES,1.5,0-5,334,30,1.1706586826347305
ES,1.5,10-15,51,15,3.627450980392157
ES,1.5,10-15,51,30,1.78
ES,1.5,5-10,94,15,-2.382978723404255
ES,1.5,5-10,94,30,-11.553191489361701
ES,1.5,>15,137,15,4.029197080291971
ES,1.5,>15,137,30,6.897810218978102
ES,2.0,0-5,199,15,-0.35175879396984927
ES,2.0,0-5,199,30,-0.9195979899497487
ES,2.0,10-15,40,15,2.3
ES,2.0,10-15,40,30,5.65
ES,2.0,5-10,57,15,-3.56140350877193
ES,2.0,5-10,57,30,-13.491228070175438
ES,2.0,>15,83,15,7.674698795180723
ES,2.0,>15,83,30,12.373493975903614
ES,ALL,spearman_overall,2466,30,0.03124321375477329
NQ,0.5,0-5,441,15,-2.3582766439909295
NQ,0.5,0-5,441,30,-5.399092970521542
NQ,0.5,5-10,79,15,-15.08860759493671
NQ,0.5,5-10,79,30,-18.49367088607595
NQ,0.5,>15,110,15,-2.618181818181818
NQ,0.5,>15,110,30,8.136363636363637
NQ,1.0,0-5,521,15,4.393474088291747
NQ,1.0,0-5,521,30,6.251439539347409
NQ,1.0,10-15,51,15,14.862745098039216
NQ,1.0,10-15,51,30,11.529411764705882
NQ,1.0,5-10,97,15,-28.412371134020617
NQ,1.0,5-10,97,30,-39.74226804123711
NQ,1.0,>15,162,15,7.950617283950617
NQ,1.0,>15,162,30,-3.2160493827160495
NQ,1.5,0-5,305,15,-0.7631578947368421
NQ,1.5,0-5,305,30,-4.727868852459016
NQ,1.5,10-15,46,15,-35.65217391304348
NQ,1.5,10-15,46,30,-51.06521739130435
NQ,1.5,5-10,86,15,-13.837209302325581
NQ,1.5,5-10,86,30,-34.593023255813954
NQ,1.5,>15,150,15,15.16
NQ,1.5,>15,150,30,0.58
NQ,2.0,0-5,162,15,-28.565217391304348
NQ,2.0,0-5,162,30,-3.9135802469135803
NQ,2.0,10-15,31,15,-57.193548387096776
NQ,2.0,10-15,31,30,-92.6774193548387
NQ,2.0,5-10,50,15,1.12
NQ,2.0,5-10,50,30,-18.1
NQ,2.0,>15,112,15,6.25
NQ,2.0,>15,112,30,-4.714285714285714
NQ,ALL,spearman_overall,2429,30,-0.011672436049090145
