instrument,A,outer_speed_bin,n,mean_fret_30_ticks
ES,0.5,0-5,642,1.1199376947040498
ES,1.0,0-5,764,-0.1099476439790576
ES,1.5,0-5,496,0.6149193548387096
ES,1.5,5-10,51,-3.58
ES,1.5,>15,45,0.6888888888888889
ES,2.0,0-5,285,-1.0280701754385966
ES,2.0,5-10,38,5.5
ES,2.0,>15,37,5.108108108108108
ES,ALL,spearman_overall,2466,0.011962743371595402
NQ,0.5,0-5,652,-4.894171779141105
NQ,1.0,0-5,767,-0.6688396349413298
NQ,1.5,0-5,475,-7.107368421052632
NQ,1.5,5-10,54,-24.35185185185185
NQ,1.5,>15,38,-65.84210526315789
NQ,2.0,0-5,263,-14.372623574144487
NQ,2.0,5-10,40,29.4
NQ,2.0,>15,30,-27.866666666666667
NQ,ALL,spearman_overall,2429,0.019185498979019024
