instrument,level_id,level_family,n_mutually_touch_eligible,n_distance_comparable,n_at_open_ambiguous_real,n_at_open_ambiguous_synth,pct_above_open_real,pct_below_open_real,pct_above_open_synth,pct_below_open_synth,real_distance_mean,real_distance_sd,real_distance_min,real_distance_p10,real_distance_p25,real_distance_median,real_distance_p75,real_distance_p90,real_distance_p95,real_distance_max,real_bucket_0_0p5_pct,real_bucket_0p5_1_pct,real_bucket_1_1p5_pct,real_bucket_1p5_2_pct,real_bucket_2_3_pct,real_bucket_3_5_pct,real_bucket_5_10_pct,real_bucket_10_20_pct,real_bucket_20_plus_pct,real_pct_above_3_units,real_pct_above_5_units,real_pct_above_10_units,synth_distance_mean,synth_distance_sd,synth_distance_min,synth_distance_p10,synth_distance_p25,synth_distance_median,synth_distance_p75,synth_distance_p90,synth_distance_p95,synth_distance_max,synth_bucket_0_0p5_pct,synth_bucket_0p5_1_pct,synth_bucket_1_1p5_pct,synth_bucket_1p5_2_pct,synth_bucket_2_3_pct,synth_bucket_3_5_pct,synth_bucket_5_10_pct,synth_bucket_10_20_pct,synth_bucket_20_plus_pct,synth_pct_above_3_units,synth_pct_above_5_units,synth_pct_above_10_units,mean_distance_difference,median_distance_difference,p90_distance_difference,p95_distance_difference,standardized_mean_difference,kolmogorov_smirnov_statistic,wasserstein_distance,real_p95_within_synth_support,synth_p95_within_real_support,open_ended_bucket_share_difference_pp,same_orientation_rate,real_touch_count,real_touch_rate,synthetic_touch_count,synthetic_touch_rate,touch_rate_difference,n_real_only,n_synthetic_only,n_both_touched,n_neither_touched,mcnemar_raw_p,mcnemar_bonferroni_p,bonferroni_survivor,family_a_original_status,audit_mismatch,control_match_classification,control_match_failure_reasons,family_a_interpretation
ES,mad_D_1.0,family1,1226,1226,0,15,0.0,100.0,0.0,98.77650897226754,0.881228297820596,0.17221014215820019,0.4447800000001735,0.6537854166667028,0.7413000000001375,0.8895599999999831,1.0192875000000186,1.111949999999979,1.1119500000004336,1.2355000000000775,4.159869494290375,70.30995106035888,25.530179445350733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8682546197184609,0.28367479884172725,0.15001149508013137,0.5448226204356615,0.655436357715492,0.8257588993532409,1.0182809276145515,1.3235880129912785,1.4228327738237567,1.4993391832719611,2.972749793559042,71.18084227910816,25.84640792733278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012973678102135122,0.06380110064674227,-0.21163801299129958,-0.3108827738233231,0.05528786035302665,0.23297182030409125,0.10345656710795151,True,False,0.0,0.9877650897226754,1065,0.8686786296900489,1069,0.8719412724306689,-0.0032626427406199,13,17,1052,144,0.5846647117286922,1.0,False,tested,,VALID_DISTANCE_MATCH,,VALID_NULL_TOUCH_RATE_DIFFERENCE
ES,mad_D_1.5,family1,1226,1226,0,0,0.0,100.0,0.0,100.0,1.3218424467308765,0.25831521323723766,0.6671699999998963,0.9806781250000667,1.11195000000007,1.3343400000001566,1.5289312499999141,1.667924999999741,1.6679250000001957,1.8532500000001164,0.0,10.522022838499185,63.94779771615008,25.530179445350733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3235362883434838,0.32503636925084023,0.50227276173185,0.9811773280624039,1.1143609910808059,1.3053444368589453,1.508458274830976,1.797015833562606,1.909001905839279,1.9995113867002405,0.0,10.522022838499185,63.94779771615008,25.530179445350733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016938416126073275,0.028995563141211322,-0.1290908335628651,-0.24107690583908337,-0.005769659237577549,0.11827079934747145,0.05958617296339397,True,False,0.0,1.0,999,0.8148450244698205,996,0.8123980424143556,0.0024469820554648,12,9,987,218,0.6636238098144531,1.0,False,tested,,VALID_DISTANCE_MATCH,,VALID_NULL_TOUCH_RATE_DIFFERENCE
ES,mad_D_2.0,family1,1226,1226,0,0,0.0,100.0,0.0,100.0,1.762456595641088,0.3444202843163373,0.8895599999999831,1.3075708333332032,1.482599999999972,1.7791199999999663,2.038575000000037,2.223899999999958,2.223900000000261,2.471000000000155,0.0,4.159869494290375,27.32463295269168,42.98531810766721,25.530179445350733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615351409483304,0.5319714223833631,0.5561067119427511,1.094523578059606,1.3942924665933485,1.726153684892112,2.0350078037662183,2.5675631228088083,2.7970750688916435,2.997804205346396,0.0,4.159869494290375,27.32463295269168,42.98531810766721,25.530179445350733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009214546927576173,0.05296631510785432,-0.3436631228088505,-0.5731750688913824,0.002056278328821771,0.16231647634584012,0.1572217593075729,True,False,0.0,1.0,953,0.7773246329526917,952,0.7765089722675367,0.000815660685155,10,9,943,264,1.0,1.0,False,underpowered_descriptive,,VALID_DISTANCE_MATCH,,UNDERPOWERED
ES,mad_U_1.0,family1,1226,1226,0,16,100.0,0.0,98.69494290375204,0.0,0.7791577691268814,0.13799601847554846,0.49419999999978853,0.59304000000011,0.6918799999999464,0.7413000000001375,0.8895599999999831,0.9884000000001834,0.9884000000001834,1.111949999999979,4.893964110929853,91.59869494290375,3.507340946166395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7538322313894125,0.19061363313303595,0.1702198254679388,0.5367668212973155,0.6208762568587557,0.752931904177832,0.8815947809520253,0.9638674806884916,0.9902936979430811,1.4976434879772569,3.6363636363636362,92.8099173553719,3.553719008264463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02532553773746893,-0.011631904177694441,0.02453251931169176,-0.0018936979428977319,0.1521987499336868,0.19474876302697747,0.04646457931954381,True,True,0.0,0.9869494290375204,1092,0.8907014681892332,1098,0.8955954323001631,-0.0048939641109299,8,14,1084,120,0.2862787246704101,1.0,False,tested,,VALID_DISTANCE_MATCH,,VALID_NULL_TOUCH_RATE_DIFFERENCE
ES,mad_U_1.5,family1,1226,1226,0,0,100.0,0.0,100.0,0.0,1.1687366536902686,0.20699402771327358,0.7412999999998848,0.8895599999999831,1.0378199999999196,1.111949999999979,1.3343399999997927,1.482599999999972,1.482599999999972,1.6679250000001957,0.0,19.575856443719413,76.91680261011419,3.507340946166395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1697473539119505,0.26903037264707585,0.5051213587696111,0.7657955755569543,1.0272752300759862,1.1940417223372606,1.3588280350586088,1.456525139946431,1.4898217720075928,1.9978879114221075,0.0,19.575856443719413,76.91680261011419,3.507340946166395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001010700221681926,-0.08209172233728168,0.026074860053540982,-0.007221772007620864,-0.004210814715448301,0.16231647634584012,0.05683619280944835,True,True,0.0,1.0,1020,0.831973898858075,1011,0.8246329526916802,0.0073409461663948,22,13,998,193,0.175465248990804,1.0,False,tested,,VALID_DISTANCE_MATCH,,VALID_NULL_TOUCH_RATE_DIFFERENCE
ES,mad_U_2.0,family1,1226,1226,0,0,100.0,0.0,100.0,0.0,1.558315538253634,0.2759920369510478,0.9883999999998802,1.1860799999998561,1.3837599999998929,1.482599999999972,1.7791199999999663,1.9767999999997603,1.9768000000000636,2.223899999999958,0.0,4.893964110929853,49.26590538336052,42.33278955954323,3.507340946166395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4811044165298484,0.38436492210501577,0.5012989289983428,1.0445091415335335,1.2067906267689523,1.4603891445739725,1.7409138818444052,1.9290183104597316,1.9836350031161083,2.991535150433125,0.0,4.893964110929853,49.26590538336052,42.33278955954323,3.507340946166395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07721112172378564,0.022210855425999432,0.047781689540028704,-0.00683500311604468,0.23075974826776877,0.2365415986949429,0.11271235801797182,True,True,0.0,1.0,944,0.7699836867862969,950,0.7748776508972267,-0.0048939641109297,13,19,931,263,0.3770855874754488,1.0,False,tested,,QUESTIONABLE_DISTANCE_MATCH,|SMD| 0.23 > 0.2,QUESTIONABLE_RESULT_REQUIRES_BETTER_MATCHING
ES,mult_D_0.5,family1,1226,1226,0,0,0.0,100.0,0.0,100.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7496689019973019,0.14680378564646768,0.500341395855988,0.5443691543794102,0.6192069673966216,0.7470920976530986,0.8755241578994173,0.9558763859164401,0.9767688432179836,0.9999131506334379,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24966890199730185,-0.24709209765309859,-0.4558763859164401,-0.47676884321798363,-2.40515015162948,1.0,0.2496689019973018,True,False,0.0,1.0,1140,0.929853181076672,1081,0.8817292006525286,0.0481239804241435,59,0,1081,86,3.469446951953614e-18,2.6367796834847473e-16,True,tested,,INVALID_DISTANCE_MATCH,|SMD| 2.41 > 0.5,INVALID_CONTROL_ARTIFACT
ES,mult_D_1.0,family1,1226,1226,0,0,0.0,100.0,0.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513153379430735,0.14593685036970175,1.0009729912989618,1.0467262287913592,1.1240990450234678,1.2566754118785561,1.3746770330505569,1.4481353202318739,1.4747657842955006,1.4997138565853674,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2513153379430735,-0.25667541187855614,-0.44813532023187386,-0.47476578429550065,-2.4353928322497245,1.0,0.2513153379430733,True,False,0.0,1.0,1050,0.8564437194127243,997,0.8132137030995106,0.0432300163132137,53,0,997,176,2.220446049250313e-16,1.6875389974302383e-14,True,tested,,INVALID_DISTANCE_MATCH,|SMD| 2.44 > 0.5,INVALID_CONTROL_ARTIFACT
ES,mult_D_1.5,family1,1226,1226,0,0,0.0,100.0,0.0,100.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7530950219508785,0.1421131825775413,1.5000920064816123,1.5556368783101107,1.6351532672680757,1.7564970792206318,1.8728520981045287,1.9469595000108795,1.9728984464409764,1.9983332532665372,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2530950219508785,-0.2564970792206318,-0.4469595000108795,-0.47289844644097645,-2.5186292089176936,1.0,0.2530950219508788,True,False,0.0,1.0,968,0.7895595432300163,934,0.7618270799347472,0.0277324632952691,34,0,934,258,1.1641532182693479e-10,8.847564458847046e-09,True,tested,,INVALID_DISTANCE_MATCH,|SMD| 2.52 > 0.5,INVALID_CONTROL_ARTIFACT
ES,mult_D_2.0,family1,1226,1226,0,0,0.0,100.0,0.0,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4958941096522564,0.29192320773205926,2.001414344286483,2.0922938456370503,2.237954065105712,2.4943290144394723,2.754139956827869,2.899237893924302,2.948256032003731,2.999607462351883,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49589410965225644,-0.4943290144394723,-0.899237893924302,-0.948256032003731,-2.402344715308958,1.0,0.4958941096522562,True,False,0.0,1.0,917,0.7479608482871125,843,0.6876019575856444,0.0603588907014681,74,0,843,309,1.0587911840678754e-22,8.046812998915853e-21,True,tested,,INVALID_DISTANCE_MATCH,|SMD| 2.40 > 0.5,INVALID_CONTROL_ARTIFACT
