instrument,level_id,n_mutually_eligible,n_real_touched,n_synth_touched,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_both_touched,n_neither_touched,n_discordant,paired_touch_rate_diff,diff_ci_lo,diff_ci_hi,discordant_odds_ratio,or_ci_lo,or_ci_hi,p_raw,confirmatory_eligible,status,p_bonferroni,bonferroni_alpha,bonferroni_survivor
ES,mad_D_1.0,1226,1065,1069,0.8686786296900489,0.8719412724306689,13,17,1052,144,30,-0.0032626427406199365,-0.012017150758301898,0.005491865277062094,0.7647058823529411,0.3714271279757291,1.5744005821335765,0.5846647117286922,True,tested,1.0,0.0006578947368421052,False
ES,mad_D_1.5,1226,999,996,0.8148450244698205,0.8123980424143556,12,9,987,218,21,0.002446982055464897,-0.004877877926284227,0.00977184203721408,1.3333333333333333,0.5618071209440296,3.1643916773260155,0.6636238098144531,True,tested,1.0,0.0006578947368421052,False
ES,mad_D_2.0,1226,953,952,0.7773246329526917,0.7765089722675367,10,9,943,264,19,0.0008156606851550396,-0.006152739432695565,0.007784060803005516,1.1111111111111112,0.4514921304144162,2.734417319968304,1.0,False,underpowered_descriptive,1.0,0.0006578947368421052,False
ES,mad_U_1.0,1226,1092,1098,0.8907014681892332,0.8955954323001631,8,14,1084,120,22,-0.004893964110929905,-0.012387502176491868,0.0025995739546321632,0.5714285714285714,0.2397177850543351,1.3621459591364302,0.28627872467041016,True,tested,1.0,0.0006578947368421052,False
ES,mad_U_1.5,1226,1020,1011,0.831973898858075,0.8246329526916802,22,13,998,193,35,0.007340946166394802,-0.0021081296412333453,0.016790021974022906,1.6923076923076923,0.8525152672910389,3.359359574338371,0.175465248990804,True,tested,1.0,0.0006578947368421052,False
ES,mad_U_2.0,1226,944,950,0.7699836867862969,0.7748776508972267,13,19,931,263,32,-0.004893964110929794,-0.013933398160951306,0.0041454699390916,0.6842105263157895,0.33791321591702167,1.3853972625808386,0.37708558747544885,True,tested,1.0,0.0006578947368421052,False
ES,q_D_p25,1226,1152,1135,0.9396411092985318,0.9257748776508973,31,14,1121,60,45,0.013866231647634564,0.003169985855172157,0.024562477440097014,2.2142857142857144,1.1779808779769834,4.1622587566193054,0.016094360031274842,True,tested,1.0,0.0006578947368421052,False
ES,q_D_p90,1226,828,850,0.6753670473083198,0.6933115823817292,16,38,812,360,54,-0.01794453507340943,-0.029649473769955817,-0.006239596376863105,0.42105263157894735,0.23477769132087956,0.7551199501201934,0.003838265880326096,True,tested,0.2917082069047833,0.0006578947368421052,False
ES,q_U_p90,1226,793,780,0.6468189233278956,0.636215334420881,35,22,758,411,57,0.010603588907014627,-0.0014516897154718891,0.022658867529501255,1.5909090909090908,0.9333587867211752,2.7117029073336187,0.11116111910399346,True,tested,1.0,0.0006578947368421052,False
NQ,mad_D_1.0,1224,1057,1058,0.863562091503268,0.8643790849673203,11,12,1046,155,23,-0.0008169934640522847,-0.008496456565682329,0.006862469637577753,0.9166666666666666,0.40447653877269973,2.0774450363114423,1.0,True,tested,1.0,0.0006578947368421052,False
