instrument,level_id,classification,family_a_p_bonferroni,family_b_p_bonferroni
ES,mad_D_1.0,NULL,1.0,1.0
ES,mad_D_1.5,NULL,1.0,1.0
ES,mad_D_2.0,UNDERPOWERED,1.0,1.0
ES,mad_U_1.0,NULL,1.0,1.0
ES,mad_U_1.5,NULL,1.0,1.0
ES,mad_U_2.0,NULL,1.0,1.0
ES,mult_D_0.5,SUPPORTED_TOUCH_RATE_DIFFERENCE,2.636779683484747e-16,1.0
ES,mult_D_1.0,SUPPORTED_TOUCH_RATE_DIFFERENCE,1.687538997430238e-14,1.0
ES,mult_D_1.5,SUPPORTED_TOUCH_RATE_DIFFERENCE,8.847564458847046e-09,1.0
ES,mult_D_2.0,SUPPORTED_TOUCH_RATE_DIFFERENCE,8.046812998915853e-21,1.0
ES,mult_U_0.5,SUPPORTED_TOUCH_RATE_DIFFERENCE,2.636779683484747e-16,1.0
ES,mult_U_1.0,SUPPORTED_TOUCH_RATE_DIFFERENCE,1.3183898417423734e-16,1.0
ES,mult_U_1.5,SUPPORTED_TOUCH_RATE_DIFFERENCE,1.3500311979441904e-13,1.0
ES,mult_U_2.0,SUPPORTED_TOUCH_RATE_DIFFERENCE,6.28657265540301e-23,1.0
ES,overnight_high,SUPPORTED_TOUCH_RATE_DIFFERENCE,3.557494949398956e-92,1.0
ES,overnight_low,SUPPORTED_TOUCH_RATE_DIFFERENCE,1.226026811958749e-130,1.0
ES,overnight_mid,SUPPORTED_TOUCH_RATE_DIFFERENCE,1.324596844862227e-23,1.0
ES,overnight_open,SUPPORTED_TOUCH_RATE_DIFFERENCE,3.621947976597273e-61,1.0
ES,prior_close,SUPPORTED_TOUCH_RATE_DIFFERENCE,3.9390313126841166e-84,1.0
ES,prior_high,SUPPORTED_TOUCH_RATE_DIFFERENCE,1.1792950306229061e-107,1.0
ES,prior_low,SUPPORTED_TOUCH_RATE_DIFFERENCE,2.2467853210530516e-162,1.0
ES,prior_rth_mid,SUPPORTED_TOUCH_RATE_DIFFERENCE,3.1572869301001083e-108,1.0
ES,prior_rth_vwap,SUPPORTED_TOUCH_RATE_DIFFERENCE,2.873210436829286e-109,1.0
ES,q_D_p25,NULL,1.0,1.0
ES,q_D_p75,SUPPORTED_TOUCH_RATE_DIFFERENCE,0.03274513522046618,1.0
ES,q_D_p90,NULL,0.2917082069047833,1.0
ES,q_D_p95,SUPPORTED_TOUCH_RATE_DIFFERENCE,5.025665490043546e-24,1.0
ES,q_U_p25,SUPPORTED_TOUCH_RATE_DIFFERENCE,0.0002512002699006644,1.0
ES,q_U_p75,SUPPORTED_TOUCH_RATE_DIFFERENCE,0.020636981806092084,1.0
ES,q_U_p90,NULL,1.0,1.0
ES,q_U_p95,SUPPORTED_TOUCH_RATE_DIFFERENCE,9.7951195749245e-11,1.0
ES,vwap_on_j+0,SUPPORTED_TOUCH_RATE_DIFFERENCE,1.2904736966120101e-14,1.0
