instrument,level_id,n_mutually_eligible,n_real_touched,n_synth_touched,real_touch_rate,synth_touch_rate,n_real_only,n_synth_only,n_both_touched,n_neither_touched,n_discordant,paired_touch_rate_diff,diff_ci_lo,diff_ci_hi,discordant_odds_ratio,or_ci_lo,or_ci_hi,p_raw,confirmatory_eligible,status,p_bonferroni,bonferroni_alpha,bonferroni_survivor
ES,mad_D_1.0,1226,1065,1069,0.8686786296900489,0.8719412724306689,13,17,1052,144,30,-0.0032626427406199365,-0.012017150758301898,0.005491865277062094,0.7647058823529411,0.3714271279757291,1.5744005821335765,0.5846647117286922,True,tested,1.0,0.0006578947368421052,False
ES,mad_D_1.5,1226,999,996,0.8148450244698205,0.8123980424143556,12,9,987,218,21,0.002446982055464897,-0.004877877926284227,0.00977184203721408,1.3333333333333333,0.5618071209440296,3.1643916773260155,0.6636238098144531,True,tested,1.0,0.0006578947368421052,False
ES,mad_D_2.0,1226,953,952,0.7773246329526917,0.7765089722675367,10,9,943,264,19,0.0008156606851550396,-0.006152739432695565,0.007784060803005516,1.1111111111111112,0.4514921304144162,2.734417319968304,1.0,False,underpowered_descriptive,1.0,0.0006578947368421052,False
ES,mad_U_1.0,1226,1092,1098,0.8907014681892332,0.8955954323001631,8,14,1084,120,22,-0.004893964110929905,-0.012387502176491868,0.0025995739546321632,0.5714285714285714,0.2397177850543351,1.3621459591364302,0.28627872467041016,True,tested,1.0,0.0006578947368421052,False
ES,mad_U_1.5,1226,1020,1011,0.831973898858075,0.8246329526916802,22,13,998,193,35,0.007340946166394802,-0.0021081296412333453,0.016790021974022906,1.6923076923076923,0.8525152672910389,3.359359574338371,0.175465248990804,True,tested,1.0,0.0006578947368421052,False
ES,mad_U_2.0,1226,944,950,0.7699836867862969,0.7748776508972267,13,19,931,263,32,-0.004893964110929794,-0.013933398160951306,0.0041454699390916,0.6842105263157895,0.33791321591702167,1.3853972625808386,0.37708558747544885,True,tested,1.0,0.0006578947368421052,False
ES,mult_D_0.5,1226,1140,1081,0.9298531810766721,0.8817292006525286,59,0,1081,86,59,0.048123980424143564,0.036143291280110804,0.06010466956817631,inf,7.356930626570331,1924.85164245753,3.469446951953614e-18,True,tested,2.636779683484747e-16,0.0006578947368421052,True
ES,mult_D_1.0,1226,1050,997,0.8564437194127243,0.8132137030995106,53,0,997,176,53,0.04323001631321377,0.03184569075125372,0.05461434187517368,inf,6.606458720426355,1733.001065245605,2.220446049250313e-16,True,tested,1.687538997430238e-14,0.0006578947368421052,True
ES,mult_D_1.5,1226,968,934,0.7895595432300163,0.7618270799347472,34,0,934,258,34,0.027732463295269127,0.018540718617405222,0.036924207973133116,inf,4.230136419785831,1125.4956170517667,1.1641532182693481e-10,True,tested,8.847564458847046e-09,0.0006578947368421052,True
ES,mult_D_2.0,1226,917,843,0.7479608482871125,0.6876019575856444,74,0,843,309,74,0.06035889070146816,0.04702789877233588,0.0736898826306005,inf,9.233163577832604,2404.4846398368977,1.0587911840678754e-22,True,tested,8.046812998915853e-21,0.0006578947368421052,True
