instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
ES,mad_D_1.0,directional_close_recross,1,1065,1054,tested,1.0,0.0,0.0,1.0
ES,mad_D_1.0,directional_close_recross,3,1065,1054,tested,0.954870195985616,0.17934272300469484,0.17836812144212524,1.0
ES,mad_D_1.0,directional_close_recross,5,1065,1054,tested,0.9242860803984618,0.29577464788732394,0.29791271347248577,0.949266785274096
ES,mad_D_1.0,directional_close_recross,10,1065,1054,tested,0.693438415317789,0.431924882629108,0.4411764705882353,0.912851286548062
ES,mad_D_1.0,directional_close_recross,15,1065,1054,tested,0.8619431658483059,0.5267605633802817,0.5227703984819735,0.9633482441834007
ES,mad_D_1.5,directional_close_recross,1,999,996,tested,1.0,0.0,0.0,1.0
ES,mad_D_1.5,directional_close_recross,3,999,996,tested,0.9538039298783267,0.1831831831831832,0.1817269076305221,1.0
ES,mad_D_1.5,directional_close_recross,5,999,996,tested,0.5923255589046987,0.3083083083083083,0.2971887550200803,0.8164508268046272
ES,mad_D_1.5,directional_close_recross,10,999,996,tested,0.9641917253475512,0.46346346346346345,0.46184738955823296,1.0
ES,mad_D_1.5,directional_close_recross,15,999,996,tested,0.9641155328391166,0.5515515515515516,0.5502008032128514,1.0
ES,mad_D_2.0,directional_close_recross,1,953,952,tested,1.0,0.0,0.0,1.0
ES,mad_D_2.0,directional_close_recross,3,953,952,tested,0.7712678302116054,0.1888772298006296,0.19432773109243698,1.0
ES,mad_D_2.0,directional_close_recross,5,953,952,tested,0.8434123900962841,0.31584470094438616,0.31092436974789917,0.949266785274096
ES,mad_D_2.0,directional_close_recross,10,953,952,tested,0.8905612420263962,0.4774396642182581,0.4737394957983193,0.9668950627715158
ES,mad_D_2.0,directional_close_recross,15,953,952,tested,0.7119655424649847,0.5561385099685204,0.5651260504201681,0.8727319552796586
ES,mad_U_1.0,directional_close_recross,1,1091,1081,tested,1.0,0.0,0.0,1.0
ES,mad_U_1.0,directional_close_recross,3,1091,1081,tested,0.28315851476826126,0.18331805682859761,0.16558741905642924,0.8435785343850275
ES,mad_U_1.0,directional_close_recross,5,1091,1081,tested,0.320695269611489,0.29880843263061413,0.2793709528214616,0.7275929326067936
ES,mad_U_1.0,directional_close_recross,10,1091,1081,tested,0.7619219874007709,0.4381301558203483,0.43108233117483813,0.9308066104332932
ES,mad_U_1.0,directional_close_recross,15,1091,1081,tested,0.6065104098456904,0.5160403299725023,0.5041628122109159,0.8727319552796586
ES,mad_U_1.5,directional_close_recross,1,1019,1010,tested,1.0,0.0,0.0,1.0
ES,mad_U_1.5,directional_close_recross,3,1019,1010,tested,1.0,0.18351324828263002,0.18316831683168316,1.0
ES,mad_U_1.5,directional_close_recross,5,1019,1010,tested,0.7679696746463895,0.281648675171737,0.2881188118811881,0.9119639886425875
ES,mad_U_1.5,directional_close_recross,10,1019,1010,tested,0.5913239618160079,0.43179587831207067,0.44455445544554456,0.912851286548062
ES,mad_U_1.5,directional_close_recross,15,1019,1010,tested,0.5637510665341756,0.5053974484789009,0.5188118811881188,0.8727319552796586
ES,mad_U_2.0,directional_close_recross,1,943,949,tested,1.0,0.0,0.0,1.0
ES,mad_U_2.0,directional_close_recross,3,943,949,tested,0.9042896800313844,0.17815482502651114,0.17597471022128555,1.0
ES,mad_U_2.0,directional_close_recross,5,943,949,tested,0.8785038421065912,0.28207847295864263,0.285563751317176,0.949266785274096
ES,mad_U_2.0,directional_close_recross,10,943,949,tested,1.0,0.4369034994697773,0.4362486828240253,1.0
ES,mad_U_2.0,directional_close_recross,15,943,949,tested,0.5199332321050532,0.5227995758218452,0.5079030558482613,0.8727319552796586
ES,mult_D_0.5,directional_close_recross,1,1139,1081,tested,1.0,0.0,0.0,1.0
ES,mult_D_0.5,directional_close_recross,3,1139,1081,tested,0.395885105662714,0.16242317822651448,0.17668825161887142,0.884919647951949
ES,mult_D_0.5,directional_close_recross,5,1139,1081,tested,0.40209083117743855,0.286215978928885,0.30249768732654947,0.7275929326067936
ES,mult_D_0.5,directional_close_recross,10,1139,1081,tested,0.5766526483187846,0.41878841088674273,0.43108233117483813,0.912851286548062
ES,mult_D_0.5,directional_close_recross,15,1139,1081,tested,0.3725032928063642,0.5013169446883231,0.5208140610545791,0.8727319552796586
ES,mult_D_1.0,directional_close_recross,1,1050,997,tested,1.0,0.0,0.0,1.0
ES,mult_D_1.0,directional_close_recross,3,1050,997,tested,0.13971382165717494,0.15619047619047619,0.1815446339017051,0.7888678823547709
ES,mult_D_1.0,directional_close_recross,5,1050,997,tested,0.1982690982984881,0.26285714285714284,0.2888665997993982,0.7275929326067936
ES,mult_D_1.0,directional_close_recross,10,1050,997,tested,0.07357524445787268,0.40476190476190477,0.44433299899699097,0.6989648223497905
ES,mult_D_1.0,directional_close_recross,15,1050,997,tested,0.11133033904288062,0.4990476190476191,0.5346038114343029,0.6123861650904062
ES,mult_D_1.5,directional_close_recross,1,968,934,tested,1.0,0.0,0.0,1.0
ES,mult_D_1.5,directional_close_recross,3,968,934,tested,0.3400088494667958,0.17148760330578514,0.18843683083511778,0.8435785343850275
ES,mult_D_1.5,directional_close_recross,5,968,934,tested,0.36750205799741364,0.2892561983471074,0.3083511777301927,0.7275929326067936
ES,mult_D_1.5,directional_close_recross,10,968,934,tested,0.4901047490284236,0.45144628099173556,0.4678800856531049,0.912851286548062
ES,mult_D_1.5,directional_close_recross,15,968,934,tested,0.5803774986382866,0.5413223140495868,0.5546038543897216,0.8727319552796586
ES,mult_D_2.0,directional_close_recross,1,917,843,tested,1.0,0.0,0.0,1.0
ES,mult_D_2.0,directional_close_recross,3,917,843,tested,0.07861763230115434,0.15921483097055616,0.19217081850533807,0.7888678823547709
ES,mult_D_2.0,directional_close_recross,5,917,843,tested,0.08242154619845876,0.27044711014176664,0.3084223013048636,0.7249213668293458
ES,mult_D_2.0,directional_close_recross,10,917,843,tested,0.5652232377932713,0.44383860414394766,0.4578884934756821,0.912851286548062
ES,mult_D_2.0,directional_close_recross,15,917,843,tested,0.47325466011025724,0.5256270447110142,0.5432977461447213,0.8727319552796586
ES,mult_U_0.5,directional_close_recross,1,1154,1095,tested,1.0,0.0,0.0,1.0
ES,mult_U_0.5,directional_close_recross,3,1154,1095,tested,0.1584014181510019,0.15684575389948008,0.17990867579908676,0.7888678823547709
ES,mult_U_0.5,directional_close_recross,5,1154,1095,tested,0.39967207803389104,0.2755632582322357,0.2922374429223744,0.7275929326067936
ES,mult_U_0.5,directional_close_recross,10,1154,1095,tested,0.17128455673556162,0.40467937608318894,0.4337899543378995,0.8037855627875593
ES,mult_U_0.5,directional_close_recross,15,1154,1095,tested,0.12892340317692763,0.4826689774696707,0.5150684931506849,0.6123861650904062
ES,mult_U_1.0,directional_close_recross,1,1055,995,tested,1.0,0.0,0.0,1.0
ES,mult_U_1.0,directional_close_recross,3,1055,995,tested,0.2213172649379906,0.16398104265402844,0.1849246231155779,0.8435785343850275
ES,mult_U_1.0,directional_close_recross,5,1055,995,tested,0.2760016502965674,0.26350710900473934,0.28542713567839195,0.7275929326067936
ES,mult_U_1.0,directional_close_recross,10,1055,995,tested,0.049187140509545146,0.4028436018957346,0.4462311557788945,0.6230371131209052
ES,mult_U_1.0,directional_close_recross,15,1055,995,tested,0.09307539496707616,0.47962085308056873,0.5175879396984925,0.6123861650904062
ES,mult_U_1.5,directional_close_recross,1,950,900,tested,1.0,0.0,0.0,1.0
ES,mult_U_1.5,directional_close_recross,3,950,900,tested,0.42804940105527955,0.1694736842105263,0.18444444444444444,0.9036598466722567
ES,mult_U_1.5,directional_close_recross,5,950,900,tested,0.23918400276736435,0.2789473684210526,0.30444444444444446,0.7275929326067936
ES,mult_U_1.5,directional_close_recross,10,950,900,tested,0.425131924250171,0.42526315789473684,0.4444444444444444,0.912851286548062
ES,mult_U_1.5,directional_close_recross,15,950,900,tested,0.4023412976282337,0.5031578947368421,0.5233333333333333,0.8727319552796586
ES,mult_U_2.0,directional_close_recross,1,862,781,tested,1.0,0.0,0.0,1.0
