instrument,level_id,arm,horizon,label_tau1.0,n
ES,mad_D_1.0,REAL,1,CONTINUATION,331
ES,mad_D_1.0,REAL,1,INCONCLUSIVE,432
ES,mad_D_1.0,REAL,1,REJECTION,302
ES,mad_D_1.0,REAL,3,CONTINUATION,391
ES,mad_D_1.0,REAL,3,INCONCLUSIVE,304
ES,mad_D_1.0,REAL,3,REJECTION,370
ES,mad_D_1.0,REAL,5,CONTINUATION,406
ES,mad_D_1.0,REAL,5,INCONCLUSIVE,258
ES,mad_D_1.0,REAL,5,REJECTION,401
ES,mad_D_1.0,REAL,10,CONTINUATION,433
ES,mad_D_1.0,REAL,10,INCONCLUSIVE,214
ES,mad_D_1.0,REAL,10,REJECTION,418
ES,mad_D_1.0,REAL,15,CONTINUATION,431
ES,mad_D_1.0,REAL,15,INCONCLUSIVE,184
ES,mad_D_1.0,REAL,15,REJECTION,450
ES,mad_D_1.0,SYNTHETIC,1,CONTINUATION,317
ES,mad_D_1.0,SYNTHETIC,1,INCONCLUSIVE,429
ES,mad_D_1.0,SYNTHETIC,1,REJECTION,308
ES,mad_D_1.0,SYNTHETIC,3,CONTINUATION,385
ES,mad_D_1.0,SYNTHETIC,3,INCONCLUSIVE,298
ES,mad_D_1.0,SYNTHETIC,3,REJECTION,371
ES,mad_D_1.0,SYNTHETIC,5,CONTINUATION,396
ES,mad_D_1.0,SYNTHETIC,5,INCONCLUSIVE,266
ES,mad_D_1.0,SYNTHETIC,5,REJECTION,392
ES,mad_D_1.0,SYNTHETIC,10,CONTINUATION,423
ES,mad_D_1.0,SYNTHETIC,10,INCONCLUSIVE,215
ES,mad_D_1.0,SYNTHETIC,10,REJECTION,416
ES,mad_D_1.0,SYNTHETIC,15,CONTINUATION,427
ES,mad_D_1.0,SYNTHETIC,15,INCONCLUSIVE,180
ES,mad_D_1.0,SYNTHETIC,15,REJECTION,447
ES,mad_D_1.5,REAL,1,CONTINUATION,287
ES,mad_D_1.5,REAL,1,INCONCLUSIVE,426
ES,mad_D_1.5,REAL,1,REJECTION,286
ES,mad_D_1.5,REAL,3,CONTINUATION,353
ES,mad_D_1.5,REAL,3,INCONCLUSIVE,289
ES,mad_D_1.5,REAL,3,REJECTION,357
