instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
ES,mad_D_1.0,post_touch_retouch,1,1065,1069,tested,0.6624229780724775,0.5596244131455399,0.5696913002806361,0.8680025229915223
ES,mad_D_1.0,post_touch_retouch,3,1065,1069,tested,0.8885038110708902,0.6901408450704225,0.686623012160898,1.0
ES,mad_D_1.0,post_touch_retouch,5,1065,1069,tested,0.9208251869371956,0.7455399061032864,0.7474275023386342,1.0
ES,mad_D_1.0,post_touch_retouch,10,1065,1069,tested,0.8725958845272892,0.7915492957746478,0.7951356407857811,1.0
ES,mad_D_1.0,post_touch_retouch,15,1065,1069,tested,1.0,0.8150234741784037,0.8157156220767072,1.0
ES,mad_D_1.5,post_touch_retouch,1,999,996,tested,0.7512920250435796,0.5705705705705706,0.5783132530120482,0.9068681684761281
ES,mad_D_1.5,post_touch_retouch,3,999,996,tested,0.8822450854869051,0.7127127127127127,0.7088353413654619,1.0
ES,mad_D_1.5,post_touch_retouch,5,999,996,tested,1.0,0.7707707707707707,0.7710843373493976,1.0
ES,mad_D_1.5,post_touch_retouch,10,999,996,tested,0.6821306946369059,0.8258258258258259,0.8182730923694779,1.0
ES,mad_D_1.5,post_touch_retouch,15,999,996,tested,0.6617285462504561,0.8528528528528528,0.8453815261044176,1.0
ES,mad_D_2.0,post_touch_retouch,1,953,952,tested,0.33083926696157223,0.5844700944386149,0.5619747899159664,0.6367256448043891
ES,mad_D_2.0,post_touch_retouch,3,953,952,tested,0.4798286460564165,0.7177334732423925,0.7027310924369747,0.9596572921128331
ES,mad_D_2.0,post_touch_retouch,5,953,952,tested,0.481873506512839,0.7733473242392445,0.759453781512605,0.9294594364341511
ES,mad_D_2.0,post_touch_retouch,10,953,952,tested,0.8147550782567488,0.8142707240293809,0.8098739495798319,1.0
ES,mad_D_2.0,post_touch_retouch,15,953,952,tested,0.8000614536918083,0.8478488982161595,0.8434873949579832,1.0
ES,mad_U_1.0,post_touch_retouch,1,1091,1097,tested,0.7636784576641078,0.5444546287809349,0.5515041020966271,0.9068681684761281
ES,mad_U_1.0,post_touch_retouch,3,1091,1097,tested,0.6782359928985708,0.692025664527956,0.6836827711941659,1.0
ES,mad_U_1.0,post_touch_retouch,5,1091,1097,tested,0.49790113863197527,0.7415215398716773,0.7283500455788514,0.9294594364341511
ES,mad_U_1.0,post_touch_retouch,10,1091,1097,tested,0.8727879055134296,0.8010999083409716,0.7976298997265269,1.0
ES,mad_U_1.0,post_touch_retouch,15,1091,1097,tested,1.0,0.8230980751604033,0.8231540565177757,1.0
ES,mad_U_1.5,post_touch_retouch,1,1019,1010,tested,0.9286238188078917,0.5672227674190383,0.5643564356435643,0.9802140309638856
ES,mad_U_1.5,post_touch_retouch,3,1019,1010,tested,0.8829870261221755,0.7114818449460255,0.7148514851485148,1.0
ES,mad_U_1.5,post_touch_retouch,5,1019,1010,tested,0.958414309606312,0.7634936211972522,0.7623762376237624,1.0
ES,mad_U_1.5,post_touch_retouch,10,1019,1010,tested,0.9532284863798371,0.8263002944062807,0.8277227722772277,1.0
ES,mad_U_1.5,post_touch_retouch,15,1019,1010,tested,0.6169565303381654,0.8478900883218842,0.8564356435643564,1.0
ES,mad_U_2.0,post_touch_retouch,1,943,949,tested,0.5468311206635624,0.5715800636267232,0.5574288724973656,0.7696141698227916
ES,mad_U_2.0,post_touch_retouch,3,943,949,tested,0.8380366099994345,0.721102863202545,0.7165437302423604,1.0
ES,mad_U_2.0,post_touch_retouch,5,943,949,tested,0.6617432294760008,0.7667020148462355,0.7755532139093783,0.9600167310352202
ES,mad_U_2.0,post_touch_retouch,10,943,949,tested,0.9023964045861675,0.8324496288441146,0.8292939936775553,1.0
ES,mad_U_2.0,post_touch_retouch,15,943,949,tested,0.7413144627555452,0.8621420996818664,0.8566912539515279,1.0
ES,mult_D_0.5,post_touch_retouch,1,1139,1081,tested,0.21731112289670945,0.5232660228270413,0.5494912118408881,0.6036320763010439
ES,mult_D_0.5,post_touch_retouch,3,1139,1081,tested,0.14954658284662992,0.6523266022827041,0.6817761332099908,0.6981175744313888
ES,mult_D_0.5,post_touch_retouch,5,1139,1081,tested,0.15547980308191106,0.707638279192274,0.7354301572617946,0.7051937256641272
ES,mult_D_0.5,post_touch_retouch,10,1139,1081,tested,0.12999621631992836,0.7568042142230026,0.7844588344125809,1.0
ES,mult_D_0.5,post_touch_retouch,15,1139,1081,tested,0.11525119354803764,0.781387181738367,0.8085106382978723,1.0
ES,mult_D_1.0,post_touch_retouch,1,1050,997,tested,0.17774601068614773,0.6028571428571429,0.5727181544633901,0.6036320763010439
ES,mult_D_1.0,post_touch_retouch,3,1050,997,tested,0.1555887693945413,0.7295238095238096,0.7011033099297894,0.6981175744313888
ES,mult_D_1.0,post_touch_retouch,5,1050,997,tested,0.46094640423570066,0.7790476190476191,0.765295887662989,0.9294594364341511
ES,mult_D_1.0,post_touch_retouch,10,1050,997,tested,0.7327450242861235,0.8180952380952381,0.8114343029087262,1.0
ES,mult_D_1.0,post_touch_retouch,15,1050,997,tested,0.7635425776481493,0.8419047619047619,0.8365095285857572,1.0
ES,mult_D_1.5,post_touch_retouch,1,968,934,tested,0.6394528403751408,0.5971074380165289,0.6081370449678801,0.8678288547948341
ES,mult_D_1.5,post_touch_retouch,3,968,934,tested,0.3770453503182347,0.7272727272727273,0.7451820128479657,0.8954827070058075
ES,mult_D_1.5,post_touch_retouch,5,968,934,tested,0.5370825396795826,0.7820247933884298,0.7944325481798715,0.9294594364341511
ES,mult_D_1.5,post_touch_retouch,10,968,934,tested,0.5800758112231194,0.8285123966942148,0.8383297644539615,1.0
ES,mult_D_1.5,post_touch_retouch,15,968,934,tested,0.6003071789836939,0.8533057851239669,0.8618843683083511,1.0
ES,mult_D_2.0,post_touch_retouch,1,917,843,tested,0.12777062052896135,0.6379498364231189,0.6026097271648873,0.5394759533445035
ES,mult_D_2.0,post_touch_retouch,3,917,843,tested,0.08617516594029744,0.7709923664122137,0.7354685646500593,0.6981175744313888
ES,mult_D_2.0,post_touch_retouch,5,917,843,tested,0.16701956660466172,0.816793893129771,0.7900355871886121,0.7051937256641272
ES,mult_D_2.0,post_touch_retouch,10,917,843,tested,0.31976867178080515,0.8560523446019629,0.8386714116251482,1.0
ES,mult_D_2.0,post_touch_retouch,15,917,843,tested,0.4330861101167023,0.8778625954198473,0.8647686832740213,1.0
ES,mult_U_0.5,post_touch_retouch,1,1154,1095,tested,0.42219498349359663,0.5216637781629117,0.5388127853881278,0.6367256448043891
ES,mult_U_0.5,post_touch_retouch,3,1154,1095,tested,0.4446092786731517,0.6655112651646448,0.6812785388127854,0.9596572921128331
ES,mult_U_0.5,post_touch_retouch,5,1154,1095,tested,0.8128747770557523,0.7244367417677643,0.7296803652968037,1.0
ES,mult_U_0.5,post_touch_retouch,10,1154,1095,tested,0.7966593532538107,0.7850953206239168,0.7899543378995434,1.0
ES,mult_U_0.5,post_touch_retouch,15,1154,1095,tested,0.6260459293950998,0.8102253032928943,0.8182648401826484,1.0
ES,mult_U_1.0,post_touch_retouch,1,1055,995,tested,0.0680424574007785,0.5800947867298578,0.5396984924623116,0.41958556225345556
ES,mult_U_1.0,post_touch_retouch,3,1055,995,tested,0.28259701578973084,0.7241706161137441,0.7025125628140704,0.7680294670362271
ES,mult_U_1.0,post_touch_retouch,5,1055,995,tested,0.4055927217279041,0.771563981042654,0.7557788944723618,0.9294594364341511
ES,mult_U_1.0,post_touch_retouch,10,1055,995,tested,0.6017627706175879,0.828436018957346,0.8190954773869347,1.0
ES,mult_U_1.0,post_touch_retouch,15,1055,995,tested,0.8522640984353971,0.8530805687203792,0.8492462311557789,1.0
ES,mult_U_1.5,post_touch_retouch,1,950,900,tested,0.34322440324551984,0.608421052631579,0.5866666666666667,0.6367256448043891
ES,mult_U_1.5,post_touch_retouch,3,950,900,tested,0.45959676883815853,0.7452631578947368,0.73,0.9596572921128331
ES,mult_U_1.5,post_touch_retouch,5,950,900,tested,0.6114864713382573,0.7884210526315789,0.7777777777777778,0.9294594364341511
ES,mult_U_1.5,post_touch_retouch,10,950,900,tested,0.4496737542032375,0.8442105263157895,0.8311111111111111,1.0
ES,mult_U_1.5,post_touch_retouch,15,950,900,tested,0.4949764208539091,0.871578947368421,0.86,1.0
ES,mult_U_2.0,post_touch_retouch,1,862,781,tested,0.006132013835931399,0.6473317865429234,0.5813060179257362,0.23301652576539317
ES,mult_U_2.0,post_touch_retouch,3,862,781,tested,0.07328156015033821,0.7540603248259861,0.7144686299615877,0.6981175744313888
ES,mult_U_2.0,post_touch_retouch,5,862,781,tested,0.07343801819472187,0.7981438515081206,0.7605633802816901,0.7051937256641272
ES,mult_U_2.0,post_touch_retouch,10,862,781,tested,0.02103200843177469,0.851508120649652,0.8079385403329066,0.7992163204074383
ES,mult_U_2.0,post_touch_retouch,15,862,781,tested,0.022508718516274725,0.8793503480278422,0.8399487836107554,0.8553313036184396
ES,overnight_high,post_touch_retouch,1,469,815,tested,0.9067224633561684,0.5756929637526652,0.5791411042944785,0.9802140309638856
ES,overnight_high,post_touch_retouch,3,469,815,tested,0.749004084931693,0.7185501066098081,0.7092024539877301,1.0
ES,overnight_high,post_touch_retouch,5,469,815,tested,0.7326443473689839,0.7718550106609808,0.7631901840490798,0.9600167310352202
ES,overnight_high,post_touch_retouch,10,469,815,tested,0.6466558358674183,0.8336886993603412,0.8233128834355828,1.0
ES,overnight_high,post_touch_retouch,15,469,815,tested,0.6184794387137622,0.8656716417910447,0.8552147239263803,1.0
ES,overnight_low,post_touch_retouch,1,386,847,tested,0.414003709260677,0.6243523316062176,0.5985832349468713,0.6367256448043891
ES,overnight_low,post_touch_retouch,3,386,847,tested,1.0,0.7409326424870466,0.7414403778040142,1.0
ES,overnight_low,post_touch_retouch,5,386,847,tested,0.9393471358911205,0.7979274611398963,0.79456906729634,1.0
ES,overnight_low,post_touch_retouch,10,386,847,tested,0.867422657535003,0.8367875647668394,0.8406139315230224,1.0
ES,overnight_low,post_touch_retouch,15,386,847,tested,1.0,0.8652849740932642,0.8642266824085005,1.0
ES,overnight_mid,post_touch_retouch,1,712,906,tested,0.9192047550014687,0.5786516853932584,0.5816777041942605,0.9802140309638856
ES,overnight_mid,post_touch_retouch,3,712,906,tested,0.9557050468004462,0.7176966292134831,0.7152317880794702,1.0
ES,overnight_mid,post_touch_retouch,5,712,906,tested,0.5945769081269241,0.7598314606741573,0.7715231788079471,0.9294594364341511
ES,overnight_mid,post_touch_retouch,10,712,906,tested,0.8445612415654984,0.8188202247191011,0.8233995584988962,1.0
ES,overnight_mid,post_touch_retouch,15,712,906,tested,0.8343815497760183,0.8455056179775281,0.8498896247240618,1.0
ES,overnight_open,post_touch_retouch,1,489,864,tested,0.027833031600023303,0.6441717791411042,0.5821759259259259,0.261557072708178
ES,overnight_open,post_touch_retouch,3,489,864,tested,0.007737121258477395,0.787321063394683,0.7210648148148148,0.294010607822141
ES,overnight_open,post_touch_retouch,5,489,864,tested,0.006103222870368354,0.83640081799591,0.7731481481481481,0.23192246907399744
ES,overnight_open,post_touch_retouch,10,489,864,tested,0.0829363695247918,0.8711656441717791,0.8344907407407407,1.0
ES,overnight_open,post_touch_retouch,15,489,864,tested,0.13701132210940237,0.8834355828220859,0.8541666666666666,1.0
ES,prior_close,post_touch_retouch,1,373,824,tested,0.03441540430370763,0.6595174262734584,0.5946601941747572,0.261557072708178
ES,prior_close,post_touch_retouch,3,373,824,tested,0.18371515116615494,0.7533512064343163,0.7160194174757282,0.6981175744313888
ES,prior_close,post_touch_retouch,5,373,824,tested,0.2540392892340213,0.806970509383378,0.7766990291262136,0.9294594364341511
ES,prior_close,post_touch_retouch,10,373,824,tested,0.19961238019260868,0.8632707774798928,0.8337378640776699,1.0
ES,prior_close,post_touch_retouch,15,373,824,tested,0.361725848192098,0.8793565683646113,0.8580097087378641,1.0
