instrument,horizon,class,n_before,n_after,delta_n,frac_before,frac_after
ES,1,DIRECT_BEARISH_EXPANSION,358,349,-9,0.2821,0.284
ES,1,DIRECT_BULLISH_EXPANSION,394,383,-11,0.3105,0.3116
ES,1,SAME_BAR_BEARISH_REVERSAL_PROXY,102,94,-8,0.0804,0.0765
ES,1,SAME_BAR_BULLISH_REVERSAL_PROXY,137,130,-7,0.108,0.1058
ES,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,11,10,-1,0.0087,0.0081
ES,1,TWO_SIDED_BALANCED,267,263,-4,0.2104,0.214
ES,3,BALANCE_FAILURE_TO_EXPAND,20,18,-2,0.0158,0.0147
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,147,139,-8,0.1159,0.1132
ES,3,DIRECT_BEARISH_EXPANSION,339,332,-7,0.2674,0.2704
ES,3,DIRECT_BULLISH_EXPANSION,348,338,-10,0.2744,0.2752
ES,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,60,58,-2,0.0473,0.0472
ES,3,INITIAL_UPSIDE_BEARISH_REVERSAL,76,75,-1,0.0599,0.0611
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,54,52,-2,0.0426,0.0423
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,18,15,-3,0.0142,0.0122
ES,3,NOT_APPLICABLE_AMBIGUOUS_PROXY,11,10,-1,0.0087,0.0081
ES,3,TWO_SIDED_BALANCED,195,191,-4,0.1538,0.1555
ES,5,BALANCE_FAILURE_TO_EXPAND,8,7,-1,0.0063,0.0057
ES,5,CONTINUATION_EXPANSION_PROXY_DIRECTION,144,135,-9,0.1136,0.1099
ES,5,DIRECT_BEARISH_EXPANSION,333,326,-7,0.2626,0.2655
ES,5,DIRECT_BULLISH_EXPANSION,314,304,-10,0.2476,0.2476
ES,5,INITIAL_DOWNSIDE_BULLISH_REVERSAL,81,79,-2,0.0639,0.0643
ES,5,INITIAL_UPSIDE_BEARISH_REVERSAL,127,125,-2,0.1002,0.1018
ES,5,LATER_OPPOSITE_SIDE_TAKEOVER,56,54,-2,0.0442,0.044
ES,5,LATER_ORDERED_REVERSAL_AFTER_PROXY,31,28,-3,0.0244,0.0228
ES,5,NOT_APPLICABLE_AMBIGUOUS_PROXY,11,10,-1,0.0087,0.0081
ES,5,TWO_SIDED_BALANCED,163,160,-3,0.1285,0.1303
ES,10,CONTINUATION_EXPANSION_PROXY_DIRECTION,128,120,-8,0.1011,0.0979
ES,10,DIRECT_BEARISH_EXPANSION,288,284,-4,0.2275,0.2316
ES,10,DIRECT_BULLISH_EXPANSION,290,282,-8,0.2291,0.23
ES,10,INITIAL_DOWNSIDE_BULLISH_REVERSAL,106,103,-3,0.0837,0.084
ES,10,INITIAL_UPSIDE_BEARISH_REVERSAL,171,168,-3,0.1351,0.137
ES,10,LATER_OPPOSITE_SIDE_TAKEOVER,60,58,-2,0.0474,0.0473
ES,10,LATER_ORDERED_REVERSAL_AFTER_PROXY,50,45,-5,0.0395,0.0367
ES,10,NOT_APPLICABLE_AMBIGUOUS_PROXY,11,10,-1,0.0087,0.0082
ES,10,TWO_SIDED_BALANCED,162,156,-6,0.128,0.1272
ES,15,CONTINUATION_EXPANSION_PROXY_DIRECTION,120,112,-8,0.0948,0.0914
ES,15,DIRECT_BEARISH_EXPANSION,282,278,-4,0.2227,0.2268
ES,15,DIRECT_BULLISH_EXPANSION,287,278,-9,0.2267,0.2268
ES,15,INITIAL_DOWNSIDE_BULLISH_REVERSAL,121,117,-4,0.0956,0.0954
ES,15,INITIAL_UPSIDE_BEARISH_REVERSAL,183,179,-4,0.1445,0.146
ES,15,LATER_OPPOSITE_SIDE_TAKEOVER,60,58,-2,0.0474,0.0473
ES,15,LATER_ORDERED_REVERSAL_AFTER_PROXY,58,53,-5,0.0458,0.0432
ES,15,NOT_APPLICABLE_AMBIGUOUS_PROXY,11,10,-1,0.0087,0.0082
ES,15,TWO_SIDED_BALANCED,144,141,-3,0.1137,0.115
ES,30,CONTINUATION_EXPANSION_PROXY_DIRECTION,110,102,-8,0.0869,0.0832
ES,30,DIRECT_BEARISH_EXPANSION,279,273,-6,0.2204,0.2227
ES,30,DIRECT_BULLISH_EXPANSION,275,268,-7,0.2172,0.2186
ES,30,INITIAL_DOWNSIDE_BULLISH_REVERSAL,143,139,-4,0.113,0.1134
ES,30,INITIAL_UPSIDE_BEARISH_REVERSAL,196,192,-4,0.1548,0.1566
ES,30,LATER_OPPOSITE_SIDE_TAKEOVER,62,60,-2,0.049,0.0489
ES,30,LATER_ORDERED_REVERSAL_AFTER_PROXY,66,61,-5,0.0521,0.0498
ES,30,NOT_APPLICABLE_AMBIGUOUS_PROXY,11,10,-1,0.0087,0.0082
ES,30,TWO_SIDED_BALANCED,124,121,-3,0.0979,0.0987
ES,60,CONTINUATION_EXPANSION_PROXY_DIRECTION,98,90,-8,0.0775,0.0735
ES,60,DIRECT_BEARISH_EXPANSION,249,245,-4,0.1968,0.2
ES,60,DIRECT_BULLISH_EXPANSION,260,253,-7,0.2055,0.2065
ES,60,INITIAL_DOWNSIDE_BULLISH_REVERSAL,162,156,-6,0.1281,0.1273
ES,60,INITIAL_UPSIDE_BEARISH_REVERSAL,217,213,-4,0.1715,0.1739
ES,60,LATER_OPPOSITE_SIDE_TAKEOVER,63,61,-2,0.0498,0.0498
ES,60,LATER_ORDERED_REVERSAL_AFTER_PROXY,77,72,-5,0.0609,0.0588
ES,60,NOT_APPLICABLE_AMBIGUOUS_PROXY,11,10,-1,0.0087,0.0082
ES,60,TWO_SIDED_BALANCED,128,125,-3,0.1012,0.102
NQ,1,DIRECT_BEARISH_EXPANSION,392,385,-7,0.3094,0.3138
NQ,1,DIRECT_BULLISH_EXPANSION,432,413,-19,0.341,0.3366
NQ,1,SAME_BAR_BEARISH_REVERSAL_PROXY,78,73,-5,0.0616,0.0595
NQ,1,SAME_BAR_BULLISH_REVERSAL_PROXY,114,110,-4,0.09,0.0896
NQ,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,13,13,0,0.0103,0.0106
NQ,1,TWO_SIDED_BALANCED,238,233,-5,0.1878,0.1899
NQ,3,BALANCE_FAILURE_TO_EXPAND,12,11,-1,0.0095,0.009
NQ,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,139,133,-6,0.1098,0.1085
NQ,3,DIRECT_BEARISH_EXPANSION,366,359,-7,0.2891,0.2928
NQ,3,DIRECT_BULLISH_EXPANSION,371,356,-15,0.293,0.2904
NQ,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,75,71,-4,0.0592,0.0579
NQ,3,INITIAL_UPSIDE_BEARISH_REVERSAL,80,79,-1,0.0632,0.0644
NQ,3,LATER_OPPOSITE_SIDE_TAKEOVER,32,30,-2,0.0253,0.0245
NQ,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,9,9,0,0.0071,0.0073
NQ,3,NOT_APPLICABLE_AMBIGUOUS_PROXY,13,13,0,0.0103,0.0106
NQ,3,TWO_SIDED_BALANCED,169,165,-4,0.1335,0.1346
NQ,5,BALANCE_FAILURE_TO_EXPAND,6,6,0,0.0047,0.0049
NQ,5,CONTINUATION_EXPANSION_PROXY_DIRECTION,124,119,-5,0.098,0.0971
NQ,5,DIRECT_BEARISH_EXPANSION,341,335,-6,0.2696,0.2735
NQ,5,DIRECT_BULLISH_EXPANSION,353,337,-16,0.2791,0.2751
NQ,5,INITIAL_DOWNSIDE_BULLISH_REVERSAL,98,94,-4,0.0775,0.0767
NQ,5,INITIAL_UPSIDE_BEARISH_REVERSAL,115,113,-2,0.0909,0.0922
NQ,5,LATER_OPPOSITE_SIDE_TAKEOVER,32,30,-2,0.0253,0.0245
NQ,5,LATER_ORDERED_REVERSAL_AFTER_PROXY,30,28,-2,0.0237,0.0229
NQ,5,NOT_APPLICABLE_AMBIGUOUS_PROXY,13,13,0,0.0103,0.0106
NQ,5,TWO_SIDED_BALANCED,153,150,-3,0.1209,0.1224
NQ,10,BALANCE_FAILURE_TO_EXPAND,1,1,0,0.0008,0.0008
NQ,10,CONTINUATION_EXPANSION_PROXY_DIRECTION,109,105,-4,0.0862,0.0858
NQ,10,DIRECT_BEARISH_EXPANSION,319,314,-5,0.2524,0.2565
NQ,10,DIRECT_BULLISH_EXPANSION,320,307,-13,0.2532,0.2508
NQ,10,INITIAL_DOWNSIDE_BULLISH_REVERSAL,131,125,-6,0.1036,0.1021
NQ,10,INITIAL_UPSIDE_BEARISH_REVERSAL,159,155,-4,0.1258,0.1266
NQ,10,LATER_OPPOSITE_SIDE_TAKEOVER,32,30,-2,0.0253,0.0245
NQ,10,LATER_ORDERED_REVERSAL_AFTER_PROXY,49,46,-3,0.0388,0.0376
NQ,10,NOT_APPLICABLE_AMBIGUOUS_PROXY,13,13,0,0.0103,0.0106
NQ,10,TWO_SIDED_BALANCED,131,128,-3,0.1036,0.1046
NQ,15,CONTINUATION_EXPANSION_PROXY_DIRECTION,103,99,-4,0.0815,0.0809
NQ,15,DIRECT_BEARISH_EXPANSION,305,300,-5,0.2413,0.2451
NQ,15,DIRECT_BULLISH_EXPANSION,310,298,-12,0.2453,0.2435
NQ,15,INITIAL_DOWNSIDE_BULLISH_REVERSAL,143,137,-6,0.1131,0.1119
NQ,15,INITIAL_UPSIDE_BEARISH_REVERSAL,170,165,-5,0.1345,0.1348
NQ,15,LATER_OPPOSITE_SIDE_TAKEOVER,32,30,-2,0.0253,0.0245
NQ,15,LATER_ORDERED_REVERSAL_AFTER_PROXY,56,53,-3,0.0443,0.0433
NQ,15,NOT_APPLICABLE_AMBIGUOUS_PROXY,13,13,0,0.0103,0.0106
NQ,15,TWO_SIDED_BALANCED,132,129,-3,0.1044,0.1054
NQ,30,CONTINUATION_EXPANSION_PROXY_DIRECTION,93,89,-4,0.0736,0.0727
NQ,30,DIRECT_BEARISH_EXPANSION,295,290,-5,0.2334,0.2369
NQ,30,DIRECT_BULLISH_EXPANSION,300,289,-11,0.2373,0.2361
NQ,30,INITIAL_DOWNSIDE_BULLISH_REVERSAL,161,155,-6,0.1274,0.1266
NQ,30,INITIAL_UPSIDE_BEARISH_REVERSAL,193,188,-5,0.1527,0.1536
NQ,30,LATER_OPPOSITE_SIDE_TAKEOVER,32,30,-2,0.0253,0.0245
NQ,30,LATER_ORDERED_REVERSAL_AFTER_PROXY,66,63,-3,0.0522,0.0515
NQ,30,NOT_APPLICABLE_AMBIGUOUS_PROXY,13,13,0,0.0103,0.0106
NQ,30,TWO_SIDED_BALANCED,111,107,-4,0.0878,0.0874
NQ,60,CONTINUATION_EXPANSION_PROXY_DIRECTION,74,70,-4,0.0586,0.0572
NQ,60,DIRECT_BEARISH_EXPANSION,288,284,-4,0.228,0.2322
NQ,60,DIRECT_BULLISH_EXPANSION,278,267,-11,0.2201,0.2183
NQ,60,INITIAL_DOWNSIDE_BULLISH_REVERSAL,173,166,-7,0.137,0.1357
NQ,60,INITIAL_UPSIDE_BEARISH_REVERSAL,210,205,-5,0.1663,0.1676
NQ,60,LATER_OPPOSITE_SIDE_TAKEOVER,32,30,-2,0.0253,0.0245
NQ,60,LATER_ORDERED_REVERSAL_AFTER_PROXY,85,82,-3,0.0673,0.067
NQ,60,NOT_APPLICABLE_AMBIGUOUS_PROXY,13,13,0,0.0103,0.0106
NQ,60,TWO_SIDED_BALANCED,110,106,-4,0.0871,0.0867
