instrument,side,threshold,reach_rate,n
ES,UP,0.5,0.9535066981875493,1269
ES,UP,1.0,0.8896769109535066,1269
ES,UP,1.5,0.8195429472025216,1269
ES,UP,2.0,0.7675334909377463,1269
ES,DOWN,0.5,0.9432624113475178,1269
ES,DOWN,1.0,0.8928289992119779,1269
ES,DOWN,1.5,0.8337273443656422,1269
ES,DOWN,2.0,0.7911741528762806,1269
NQ,UP,0.5,0.9392265193370166,1267
NQ,UP,1.0,0.8839779005524862,1267
NQ,UP,1.5,0.824782951854775,1267
NQ,UP,2.0,0.771112865035517,1267
NQ,DOWN,0.5,0.9313338595106551,1267
NQ,DOWN,1.0,0.8745067087608525,1267
NQ,DOWN,1.5,0.8153117600631413,1267
NQ,DOWN,2.0,0.7719021310181531,1267
