instrument,session,direction,horizon,n_efficient,n_inefficient,non_tied_efficient,non_tied_inefficient,efficient_continuation_rate,inefficient_continuation_rate,difference
ES,ASIA,-1,5,1985,59,1567,59,0.4377791959157626,0.4406779661016949,-0.00289877018593232
ES,ASIA,1,5,2045,59,1595,59,0.4652037617554859,0.3898305084745763,0.0753732532809096
ES,LONDON,-1,5,1333,33,1049,33,0.4699714013346044,0.5151515151515151,-0.04518011381691073
ES,LONDON,1,5,1369,30,1041,29,0.4678194044188281,0.5172413793103449,-0.049421974891516784
ES,NEW_YORK,-1,5,1602,30,1237,30,0.4761519805982215,0.5,-0.023848019401778497
ES,NEW_YORK,1,5,1393,34,1012,33,0.47035573122529645,0.5151515151515151,-0.04479578392621869
NQ,ASIA,-1,5,2027,49,1551,47,0.475177304964539,0.5531914893617021,-0.07801418439716312
NQ,ASIA,1,5,2104,59,1517,59,0.4970336189848385,0.4745762711864407,0.02245734779839781
NQ,LONDON,-1,5,1300,21,1010,21,0.5168316831683168,0.2857142857142857,0.23111739745403115
NQ,LONDON,1,5,1374,19,1033,19,0.4995159728944821,0.42105263157894735,0.07846334131553473
NQ,NEW_YORK,-1,5,1731,36,1342,36,0.5208643815201193,0.5277777777777778,-0.006913396257658522
NQ,NEW_YORK,1,5,1580,36,1088,35,0.5027573529411765,0.45714285714285713,0.04561449579831939
ES,ASIA,-1,10,1985,59,1836,59,0.4444444444444444,0.4406779661016949,0.003766478342749513
ES,ASIA,1,10,2045,59,1867,59,0.4611676486341725,0.3898305084745763,0.07133714015959619
ES,LONDON,-1,10,1333,33,1223,33,0.4742436631234669,0.5151515151515151,-0.04090785202804825
ES,LONDON,1,10,1369,30,1254,30,0.4585326953748006,0.5,-0.041467304625199375
ES,NEW_YORK,-1,10,1602,30,1483,30,0.47403910991233983,0.5,-0.02596089008766017
ES,NEW_YORK,1,10,1393,34,1260,34,0.4857142857142857,0.5294117647058824,-0.04369747899159665
NQ,ASIA,-1,10,2027,49,1865,49,0.47935656836461127,0.5510204081632653,-0.07166383979865398
NQ,ASIA,1,10,2104,59,1862,59,0.49624060150375937,0.4745762711864407,0.02166433031731868
NQ,LONDON,-1,10,1300,21,1199,21,0.51209341117598,0.2857142857142857,0.22637912546169425
NQ,LONDON,1,10,1374,19,1256,19,0.49522292993630573,0.42105263157894735,0.07417029835735839
NQ,NEW_YORK,-1,10,1731,36,1608,36,0.5118159203980099,0.5277777777777778,-0.015961857379767852
NQ,NEW_YORK,1,10,1580,36,1394,36,0.5078909612625538,0.4722222222222222,0.03566873904033163
ES,ASIA,-1,15,1985,59,1920,59,0.4432291666666667,0.4406779661016949,0.0025512005649717673
ES,ASIA,1,15,2045,59,1967,59,0.4641586171835282,0.3898305084745763,0.0743281087089519
ES,LONDON,-1,15,1333,33,1285,33,0.47704280155642026,0.5151515151515151,-0.03810871359509488
ES,LONDON,1,15,1369,30,1336,30,0.4595808383233533,0.5,-0.04041916167664672
ES,NEW_YORK,-1,15,1602,30,1561,30,0.47533632286995514,0.5,-0.02466367713004486
ES,NEW_YORK,1,15,1393,34,1331,34,0.49361382419233657,0.5294117647058824,-0.03579794051354579
NQ,ASIA,-1,15,2027,49,1952,49,0.47797131147540983,0.5510204081632653,-0.07304909668785542
NQ,ASIA,1,15,2104,59,1981,59,0.49570923775870773,0.4745762711864407,0.021132966572267042
NQ,LONDON,-1,15,1300,21,1257,21,0.5115354017501988,0.2857142857142857,0.22582111603591315
NQ,LONDON,1,15,1374,19,1330,19,0.49022556390977445,0.42105263157894735,0.06917293233082711
NQ,NEW_YORK,-1,15,1731,36,1689,36,0.5121373593842511,0.5277777777777778,-0.0156404183935267
NQ,NEW_YORK,1,15,1580,36,1504,36,0.5099734042553191,0.4722222222222222,0.03775118203309691
ES,ASIA,-1,30,1985,59,1985,59,0.44231738035264484,0.4406779661016949,0.0016394142509499332
ES,ASIA,1,30,2045,59,2045,59,0.4606356968215159,0.3898305084745763,0.07080518834693961
ES,LONDON,-1,30,1333,33,1333,33,0.47186796699174793,0.5151515151515151,-0.043283548159767204
ES,LONDON,1,30,1369,30,1369,30,0.4601899196493791,0.5,-0.03981008035062089
ES,NEW_YORK,-1,30,1602,30,1602,30,0.4731585518102372,0.5,-0.026841448189762807
ES,NEW_YORK,1,30,1393,34,1393,34,0.4910265613783202,0.5294117647058824,-0.03838520332756218
NQ,ASIA,-1,30,2027,49,2027,49,0.4750863344844598,0.5510204081632653,-0.07593407367880545
NQ,ASIA,1,30,2104,59,2104,59,0.49334600760456276,0.4745762711864407,0.018769736418122074
NQ,LONDON,-1,30,1300,21,1300,21,0.5053846153846154,0.2857142857142857,0.21967032967032973
NQ,LONDON,1,30,1374,19,1374,19,0.49344978165938863,0.42105263157894735,0.07239715008044129
NQ,NEW_YORK,-1,30,1731,36,1731,36,0.512998266897747,0.5277777777777778,-0.014779510880030822
NQ,NEW_YORK,1,30,1580,36,1580,36,0.5126582278481012,0.4722222222222222,0.04043600562587901
