instrument,confirmation,state,outcome,n
ES,CONFIRMED,EFFICIENT_DISPLACEMENT,CONTINUATION_FIRST,2230
ES,CONFIRMED,EFFICIENT_DISPLACEMENT,NEITHER,438
ES,CONFIRMED,EFFICIENT_DISPLACEMENT,REVERSAL_FIRST,2444
ES,CONFIRMED,EFFICIENT_DISPLACEMENT,SAME_BAR_TIE,25
ES,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,CONTINUATION_FIRST,39
ES,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,NEITHER,13
ES,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,REVERSAL_FIRST,39
ES,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,SAME_BAR_TIE,3
ES,CONFIRMED,INTERMEDIATE,CONTINUATION_FIRST,1737
ES,CONFIRMED,INTERMEDIATE,NEITHER,336
ES,CONFIRMED,INTERMEDIATE,REVERSAL_FIRST,1847
ES,CONFIRMED,INTERMEDIATE,SAME_BAR_TIE,75
ES,NO_MATCH,EFFICIENT_DISPLACEMENT,CONTINUATION_FIRST,2291
ES,NO_MATCH,EFFICIENT_DISPLACEMENT,NEITHER,497
ES,NO_MATCH,EFFICIENT_DISPLACEMENT,REVERSAL_FIRST,2762
ES,NO_MATCH,EFFICIENT_DISPLACEMENT,SAME_BAR_TIE,45
ES,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,CONTINUATION_FIRST,74
ES,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,NEITHER,21
ES,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,REVERSAL_FIRST,92
ES,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,SAME_BAR_TIE,23
ES,NO_MATCH,INTERMEDIATE,CONTINUATION_FIRST,2664
ES,NO_MATCH,INTERMEDIATE,NEITHER,475
ES,NO_MATCH,INTERMEDIATE,REVERSAL_FIRST,2969
ES,NO_MATCH,INTERMEDIATE,SAME_BAR_TIE,168
ES,UNCONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,CONTINUATION_FIRST,1
ES,UNCONFIRMED,INTERMEDIATE,CONTINUATION_FIRST,1
NQ,CONFIRMED,EFFICIENT_DISPLACEMENT,CONTINUATION_FIRST,2317
NQ,CONFIRMED,EFFICIENT_DISPLACEMENT,NEITHER,453
NQ,CONFIRMED,EFFICIENT_DISPLACEMENT,REVERSAL_FIRST,2329
NQ,CONFIRMED,EFFICIENT_DISPLACEMENT,SAME_BAR_TIE,14
NQ,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,CONTINUATION_FIRST,34
NQ,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,NEITHER,9
NQ,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,REVERSAL_FIRST,37
NQ,CONFIRMED,INEFFICIENT_DISPLACEMENT_CONTROL,SAME_BAR_TIE,2
NQ,CONFIRMED,INTERMEDIATE,CONTINUATION_FIRST,1831
NQ,CONFIRMED,INTERMEDIATE,NEITHER,307
NQ,CONFIRMED,INTERMEDIATE,REVERSAL_FIRST,1830
NQ,CONFIRMED,INTERMEDIATE,SAME_BAR_TIE,63
NQ,NO_MATCH,EFFICIENT_DISPLACEMENT,CONTINUATION_FIRST,2717
NQ,NO_MATCH,EFFICIENT_DISPLACEMENT,NEITHER,491
NQ,NO_MATCH,EFFICIENT_DISPLACEMENT,REVERSAL_FIRST,2753
NQ,NO_MATCH,EFFICIENT_DISPLACEMENT,SAME_BAR_TIE,27
NQ,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,CONTINUATION_FIRST,71
NQ,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,NEITHER,14
NQ,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,REVERSAL_FIRST,78
NQ,NO_MATCH,INEFFICIENT_DISPLACEMENT_CONTROL,SAME_BAR_TIE,19
NQ,NO_MATCH,INTERMEDIATE,CONTINUATION_FIRST,2888
NQ,NO_MATCH,INTERMEDIATE,NEITHER,483
NQ,NO_MATCH,INTERMEDIATE,REVERSAL_FIRST,2910
NQ,NO_MATCH,INTERMEDIATE,SAME_BAR_TIE,124
NQ,UNCONFIRMED,INTERMEDIATE,REVERSAL_FIRST,2
