instrument,session,direction,n_efficient,n_inefficient,non_tied,efficient_continuation_rate,inefficient_continuation_rate,difference,p_value,matched_strata,classification,q_value
ES,ASIA,-1,1985,59,2044,0.44231738035264484,0.4406779661016949,0.0016394142509499332,1.0,27,UNDERPOWERED,1.0
ES,ASIA,1,2045,59,2104,0.4606356968215159,0.3898305084745763,0.07080518834693961,0.3150684931506849,27,UNDERPOWERED,1.0
ES,LONDON,-1,1333,33,1366,0.47186796699174793,0.5151515151515151,-0.043283548159767204,0.7534246575342466,15,UNDERPOWERED,1.0
ES,LONDON,1,1369,30,1399,0.4601899196493791,0.5,-0.03981008035062089,0.7306269373062694,15,UNDERPOWERED,1.0
ES,NEW_YORK,-1,1602,30,1632,0.4731585518102372,0.5,-0.026841448189762807,0.8893110688931107,21,UNDERPOWERED,1.0
ES,NEW_YORK,1,1393,34,1427,0.4910265613783202,0.5294117647058824,-0.03838520332756218,0.7553244675532447,21,UNDERPOWERED,1.0
NQ,ASIA,-1,2027,49,2076,0.4750863344844598,0.5510204081632653,-0.07593407367880545,0.6140385961403859,27,UNDERPOWERED,1.0
NQ,ASIA,1,2104,59,2163,0.49334600760456276,0.4745762711864407,0.018769736418122074,0.9042095790420958,27,UNDERPOWERED,1.0
NQ,LONDON,-1,1300,21,1321,0.5053846153846154,0.2857142857142857,0.21967032967032973,0.1633836616338366,15,UNDERPOWERED,1.0
NQ,LONDON,1,1374,19,1393,0.49344978165938863,0.42105263157894735,0.07239715008044129,0.7216278372162783,15,UNDERPOWERED,1.0
NQ,NEW_YORK,-1,1731,36,1767,0.512998266897747,0.5277777777777778,-0.014779510880030822,0.9689031096890312,21,UNDERPOWERED,1.0
NQ,NEW_YORK,1,1580,36,1616,0.5126582278481012,0.4722222222222222,0.04043600562587901,0.7464253574642535,21,UNDERPOWERED,1.0
