instrument,ema_session_definition,approach_side,time_stratum,ema20_classification,ema21_classification,ema22_classification,ema20_effect_pp,ema21_effect_pp,ema22_effect_pp,specificity
ES,FULL_SESSION_EMA,FROM_ABOVE,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,3.4995625546806686,3.0782761653474044,5.555555555555558,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_ABOVE,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,3.2810685249709595,4.159343878148797,4.608980077311919,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_ABOVE,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.606525911708248,6.439024390243903,5.953582240161453,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_ABOVE,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,2.361111111111114,2.1097046413502127,1.4347202295552364,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_ABOVE,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,1.4842300556586308,4.805914972273567,4.251386321626615,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_BELOW,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.699453551912569,4.347826086956524,4.411764705882348,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_BELOW,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,3.8229376257545242,3.6382182930975837,3.86206896551724,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_BELOW,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,1.3714285714285679,1.0452961672473837,1.895734597156401,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_BELOW,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,5.303030303030304,5.116279069767443,4.245283018867929,GENERIC_EMA_ZONE
ES,FULL_SESSION_EMA,FROM_BELOW,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.511278195488721,4.832713754646839,5.597014925373134,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_ABOVE,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,1.9999999999999962,2.443280977312395,5.6288478452066855,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_ABOVE,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,1.4420062695924774,2.7249683143219294,3.7311032486330054,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_ABOVE,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.8732943469785575,6.355511420059578,4.577822990844354,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_ABOVE,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,7.058823529411767,4.321907600596125,2.2761760242792137,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_ABOVE,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,6.287425149700598,6.927710843373491,6.666666666666665,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_BELOW,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,2.3051591657519244,2.34375,2.853881278538811,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_BELOW,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,3.7257824143070053,3.36866010598032,3.5162287480680066,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_BELOW,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,2.941176470588236,3.659976387249114,3.140096618357485,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_BELOW,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,9.193548387096772,7.73109243697479,8.460236886632828,GENERIC_EMA_ZONE
ES,RTH_EMA,FROM_BELOW,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,0.990099009900991,2.9605263157894743,3.4129692832764515,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_ABOVE,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.873803307223673,6.483126110124338,6.1883408071748915,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_ABOVE,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,2.085168869309839,1.739652069586084,2.4367956137678948,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_ABOVE,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.3310875842155925,4.429133858267714,6.030150753768843,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_ABOVE,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.782608695652174,7.6923076923076925,5.614567526555386,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_ABOVE,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,0.5692599620493344,1.550387596899222,2.3346303501945496,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_BELOW,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,0.5688282138794076,0.0,1.7321016166281789,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_BELOW,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,1.4236111111111116,0.9193776520509234,1.9010043041606917,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_BELOW,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.556074766355139,4.44711538461538,5.679012345679013,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_BELOW,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.0650406504065035,4.333333333333334,3.3898305084745726,GENERIC_EMA_ZONE
NQ,FULL_SESSION_EMA,FROM_BELOW,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.150943396226414,2.8462998102466774,2.298850574712646,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_ABOVE,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,4.010462074978205,4.893238434163699,5.81915846016115,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_ABOVE,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,3.581352269218896,2.2179974651457544,2.142161635832518,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_ABOVE,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,6.1716489874638345,3.489531405782648,4.5595854922279795,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_ABOVE,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,0.56899004267425,1.9117647058823517,5.954198473282441,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_ABOVE,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,0.5681818181818177,2.0057306590257893,1.1627906976744151,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_BELOW,AFTERNOON,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,1.0273972602739712,0.11574074074073848,0.9334889148191416,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_BELOW,ALL_RTH,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,0.4198473282442772,1.272657153875817,1.021209740769835,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_BELOW,MIDDAY,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,2.305825242718446,2.208588957055213,2.719406674907293,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_BELOW,MID_MORNING,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,0.8333333333333304,1.011804384485665,0.8710801393728262,GENERIC_EMA_ZONE
NQ,RTH_EMA,FROM_BELOW,OPEN,MIXED_OR_NULL,MIXED_OR_NULL,MIXED_OR_NULL,1.874999999999999,2.492211838006231,2.94117647058823,GENERIC_EMA_ZONE
