instrument,session,touch_time_bucket,approach_side,horizon_bars,barrier_atr,eligible_armed_excursions,touch_events,touch_rate,same_bar_rejection_count,same_bar_breakthrough_count,same_bar_neutral_count,same_bar_rejection_rate,same_bar_breakthrough_rate,same_bar_rej_minus_brk,same_bar_binom_p,median_signed_close_atr,median_rejection_exc_atr,median_breakthrough_exc_atr,median_dominance,p_rejection_exc_gt_breakthrough_exc,p_breakthrough_exc_gt_rejection_exc,post_touch_retouch_rate,barrier_rejection_first_n,barrier_breakthrough_first_n,barrier_tie_n,barrier_neither_n,barrier_rejection_first_rate,barrier_breakthrough_first_rate,barrier_tie_rate,barrier_neither_rate,barrier_rej_minus_brk_first_rate,barrier_nontied_n,barrier_binom_p,sample_status
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,1,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.03204094538308378,0.2639055372090564,0.24966206039036334,-0.042668128294280905,0.4823529411764706,0.5176470588235295,0.9176470588235294,11,22,1,51,0.12941176470588237,0.25882352941176473,0.011764705882352941,0.6,-0.12941176470588237,33,0.08014331245794892,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,1,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.03204094538308378,0.2639055372090564,0.24966206039036334,-0.042668128294280905,0.4823529411764706,0.5176470588235295,0.9176470588235294,1,9,0,75,0.011764705882352941,0.10588235294117647,0.0,0.8823529411764706,-0.09411764705882353,10,0.021484375,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,2,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.05151675494714929,0.3689287748119963,0.38694004525257325,-0.016889987295144276,0.49411764705882355,0.5058823529411764,0.9176470588235294,19,27,2,37,0.2235294117647059,0.3176470588235294,0.023529411764705882,0.43529411764705883,-0.0941176470588235,46,0.3019956131896606,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,2,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.05151675494714929,0.3689287748119963,0.38694004525257325,-0.016889987295144276,0.49411764705882355,0.5058823529411764,0.9176470588235294,3,13,0,69,0.03529411764705882,0.15294117647058825,0.0,0.8117647058823529,-0.11764705882352942,16,0.021270751953125,UNDERPOWERED
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,3,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.07569800340280229,0.4037292470942096,0.4730665654027468,-0.028973829170641476,0.47058823529411764,0.5294117647058824,0.9176470588235294,26,33,2,24,0.3058823529411765,0.38823529411764707,0.023529411764705882,0.2823529411764706,-0.08235294117647057,59,0.43499280512215344,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,3,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.07569800340280229,0.4037292470942096,0.4730665654027468,-0.028973829170641476,0.47058823529411764,0.5294117647058824,0.9176470588235294,8,14,0,63,0.09411764705882353,0.16470588235294117,0.0,0.7411764705882353,-0.07058823529411765,22,0.28627872467041016,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,4,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.07433207749341662,0.4323542127947862,0.4919651325886453,0.05514534361682308,0.5058823529411764,0.49411764705882355,0.9176470588235294,31,36,2,16,0.36470588235294116,0.4235294117647059,0.023529411764705882,0.18823529411764706,-0.05882352941176472,67,0.6254068289416483,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,4,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.07433207749341662,0.4323542127947862,0.4919651325886453,0.05514534361682308,0.5058823529411764,0.49411764705882355,0.9176470588235294,8,17,0,60,0.09411764705882353,0.2,0.0,0.7058823529411765,-0.10588235294117648,25,0.10775214433670044,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,6,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.08953688649585513,0.5400793085341518,0.5141750586156916,0.07676623234389507,0.5294117647058824,0.47058823529411764,0.9176470588235294,35,38,2,10,0.4117647058823529,0.4470588235294118,0.023529411764705882,0.11764705882352941,-0.035294117647058865,73,0.8151212352249976,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,6,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.08953688649585513,0.5400793085341518,0.5141750586156916,0.07676623234389507,0.5294117647058824,0.47058823529411764,0.9176470588235294,12,22,0,51,0.1411764705882353,0.25882352941176473,0.0,0.6,-0.11764705882352944,34,0.12144948495551944,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,9,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.10977356763349587,0.653721533133762,0.6022680982921129,0.11437796667281265,0.5294117647058824,0.47058823529411764,0.9176470588235294,39,39,2,5,0.4588235294117647,0.4588235294117647,0.023529411764705882,0.058823529411764705,0.0,78,1.0,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,9,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.10977356763349587,0.653721533133762,0.6022680982921129,0.11437796667281265,0.5294117647058824,0.47058823529411764,0.9176470588235294,18,28,0,39,0.21176470588235294,0.32941176470588235,0.0,0.4588235294117647,-0.11764705882352941,46,0.18392482137699062,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,12,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.020331519888982668,0.7417656319401951,0.7245344237512822,0.0694440863859469,0.5176470588235295,0.4823529411764706,0.9176470588235294,40,41,2,2,0.47058823529411764,0.4823529411764706,0.023529411764705882,0.023529411764705882,-0.011764705882352955,81,1.0,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,12,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,0.020331519888982668,0.7417656319401951,0.7245344237512822,0.0694440863859469,0.5176470588235295,0.4823529411764706,0.9176470588235294,24,35,0,26,0.2823529411764706,0.4117647058823529,0.0,0.3058823529411765,-0.12941176470588234,59,0.19252645776146274,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,18,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.2061924624910413,0.8077696511346136,1.094291300317967,-0.09985626521440627,0.4588235294117647,0.5411764705882353,0.9176470588235294,41,42,2,0,0.4823529411764706,0.49411764705882355,0.023529411764705882,0.0,-0.011764705882352955,83,1.0,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,18,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.2061924624910413,0.8077696511346136,1.094291300317967,-0.09985626521440627,0.4588235294117647,0.5411764705882353,0.9176470588235294,29,44,0,12,0.3411764705882353,0.5176470588235295,0.0,0.1411764705882353,-0.17647058823529416,73,0.10064367752023572,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,24,0.5,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.15898257026082221,0.9347245494569005,1.3753217452828381,-0.22461208997927834,0.4470588235294118,0.5529411764705883,0.9176470588235294,41,42,2,0,0.4823529411764706,0.49411764705882355,0.023529411764705882,0.0,-0.011764705882352955,83,1.0,OK
ES,ASIA,SESSION_0_TO_30,FROM_ABOVE,24,1.0,557,85,0.1526032315978456,44,41,0,0.5176470588235295,0.4823529411764706,0.03529411764705882,0.8284232741648999,-0.15898257026082221,0.9347245494569005,1.3753217452828381,-0.22461208997927834,0.4470588235294118,0.5529411764705883,0.9176470588235294,34,49,0,2,0.4,0.5764705882352941,0.0,0.023529411764705882,-0.17647058823529405,83,0.12385305946180147,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,1,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.05446724411182888,0.3516043305391934,0.26588211623273716,0.16563136763498837,0.5482456140350878,0.4517543859649123,0.9342105263157895,66,67,4,91,0.2894736842105263,0.29385964912280704,0.017543859649122806,0.3991228070175439,-0.004385964912280715,133,1.0,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,1,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.05446724411182888,0.3516043305391934,0.26588211623273716,0.16563136763498837,0.5482456140350878,0.4517543859649123,0.9342105263157895,17,20,0,191,0.07456140350877193,0.08771929824561403,0.0,0.8377192982456141,-0.013157894736842105,37,0.7428293587290682,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,2,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,-0.030852339329673836,0.4315150564281108,0.37971814883767363,0.1489275915014332,0.543859649122807,0.45614035087719296,0.9342105263157895,95,76,4,53,0.4166666666666667,0.3333333333333333,0.017543859649122806,0.2324561403508772,0.08333333333333337,171,0.16848371748885838,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,2,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,-0.030852339329673836,0.4315150564281108,0.37971814883767363,0.1489275915014332,0.543859649122807,0.45614035087719296,0.9342105263157895,30,35,0,163,0.13157894736842105,0.15350877192982457,0.0,0.7149122807017544,-0.02192982456140352,65,0.6201447650813029,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,3,0.5,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.05947316592230141,0.5085050757645614,0.42151344411393643,0.11397676865309916,0.5350877192982456,0.4649122807017544,0.9342105263157895,103,83,5,37,0.4517543859649123,0.36403508771929827,0.021929824561403508,0.16228070175438597,0.08771929824561403,186,0.16339823196739325,OK
ES,ASIA,SESSION_30_TO_60,FROM_ABOVE,3,1.0,194,228,1.175257731958763,112,116,0,0.49122807017543857,0.5087719298245614,-0.017543859649122806,0.8425681064325894,0.05947316592230141,0.5085050757645614,0.42151344411393643,0.11397676865309916,0.5350877192982456,0.4649122807017544,0.9342105263157895,44,50,1,133,0.19298245614035087,0.21929824561403508,0.0043859649122807015,0.5833333333333334,-0.02631578947368421,94,0.6062959376939658,OK
