leg,leader_direction,same_direction_es_nq,event_class,n,closure_rate
ASIA,DOWN,False,EXTREME_UNSUPPORTED_MOVE,53,0.49056603773584906
ASIA,DOWN,False,MODERATE_UNSUPPORTED_MOVE,262,0.6450381679389313
ASIA,DOWN,True,EXTREME_UNSUPPORTED_MOVE,235,0.4723404255319149
ASIA,DOWN,True,MODERATE_UNSUPPORTED_MOVE,4914,0.5838420838420838
ASIA,UP,False,EXTREME_UNSUPPORTED_MOVE,62,0.45161290322580644
ASIA,UP,False,MODERATE_UNSUPPORTED_MOVE,246,0.6097560975609756
ASIA,UP,True,EXTREME_UNSUPPORTED_MOVE,218,0.41284403669724773
ASIA,UP,True,MODERATE_UNSUPPORTED_MOVE,4936,0.5723257698541329
LONDON,DOWN,False,EXTREME_UNSUPPORTED_MOVE,33,0.5151515151515151
LONDON,DOWN,False,MODERATE_UNSUPPORTED_MOVE,160,0.45
LONDON,DOWN,True,EXTREME_UNSUPPORTED_MOVE,146,0.4452054794520548
LONDON,DOWN,True,MODERATE_UNSUPPORTED_MOVE,3031,0.5080831408775982
LONDON,UP,False,EXTREME_UNSUPPORTED_MOVE,25,0.64
LONDON,UP,False,MODERATE_UNSUPPORTED_MOVE,125,0.456
LONDON,UP,True,EXTREME_UNSUPPORTED_MOVE,140,0.35714285714285715
LONDON,UP,True,MODERATE_UNSUPPORTED_MOVE,3139,0.5402994584262504
NEW_YORK,DOWN,False,EXTREME_UNSUPPORTED_MOVE,10,0.5
NEW_YORK,DOWN,False,MODERATE_UNSUPPORTED_MOVE,135,0.3851851851851852
NEW_YORK,DOWN,True,EXTREME_UNSUPPORTED_MOVE,121,0.3140495867768595
NEW_YORK,DOWN,True,MODERATE_UNSUPPORTED_MOVE,3676,0.47959738846572364
NEW_YORK,UP,False,EXTREME_UNSUPPORTED_MOVE,5,0.6
NEW_YORK,UP,False,MODERATE_UNSUPPORTED_MOVE,124,0.4435483870967742
NEW_YORK,UP,True,EXTREME_UNSUPPORTED_MOVE,85,0.29411764705882354
NEW_YORK,UP,True,MODERATE_UNSUPPORTED_MOVE,3722,0.47743148844707145
