instrument,session,direction,horizon,resolved_high,resolved_low,high_reversal_rate,low_reversal_rate,difference
ES,ASIA,-1,5,165,200,0.503030303030303,0.57,-0.0669696969696969
ES,ASIA,1,5,170,236,0.5058823529411764,0.5,0.00588235294117645
ES,LONDON,-1,5,128,127,0.546875,0.5905511811023622,-0.043676181102362155
ES,LONDON,1,5,114,165,0.4473684210526316,0.5151515151515151,-0.06778309409888356
ES,NEW_YORK,-1,5,150,86,0.5133333333333333,0.4418604651162791,0.07147286821705423
ES,NEW_YORK,1,5,129,130,0.4186046511627907,0.49230769230769234,-0.07370304114490162
NQ,ASIA,-1,5,133,147,0.42105263157894735,0.5102040816326531,-0.08915145005370573
NQ,ASIA,1,5,160,194,0.45,0.4793814432989691,-0.02938144329896908
NQ,LONDON,-1,5,100,93,0.4,0.46236559139784944,-0.06236559139784942
NQ,LONDON,1,5,122,118,0.5081967213114754,0.5169491525423728,-0.008752431230897417
NQ,NEW_YORK,-1,5,119,112,0.42857142857142855,0.5089285714285714,-0.08035714285714285
NQ,NEW_YORK,1,5,125,138,0.472,0.4420289855072464,0.029971014492753578
ES,ASIA,-1,10,206,228,0.5194174757281553,0.5570175438596491,-0.03760006813149375
ES,ASIA,1,10,224,278,0.5,0.5035971223021583,-0.003597122302158251
ES,LONDON,-1,10,166,156,0.5542168674698795,0.532051282051282,0.022165585418597478
ES,LONDON,1,10,161,208,0.4658385093167702,0.5096153846153846,-0.043776875298614404
ES,NEW_YORK,-1,10,181,110,0.4972375690607735,0.4818181818181818,0.015419387242591676
ES,NEW_YORK,1,10,180,168,0.4444444444444444,0.48214285714285715,-0.03769841269841273
NQ,ASIA,-1,10,185,180,0.4540540540540541,0.49444444444444446,-0.040390390390390385
NQ,ASIA,1,10,227,238,0.44933920704845814,0.47058823529411764,-0.021249028245659496
NQ,LONDON,-1,10,133,116,0.42105263157894735,0.46551724137931033,-0.044464609800362986
NQ,LONDON,1,10,150,152,0.49333333333333335,0.5460526315789473,-0.052719298245614
NQ,NEW_YORK,-1,10,161,144,0.43478260869565216,0.5486111111111112,-0.113828502415459
NQ,NEW_YORK,1,10,182,187,0.43956043956043955,0.45989304812834225,-0.0203326085679027
ES,ASIA,-1,30,247,236,0.5060728744939271,0.559322033898305,-0.05324915940437791
ES,ASIA,1,30,268,302,0.5261194029850746,0.5033112582781457,0.022808144706928934
ES,LONDON,-1,30,181,152,0.5248618784530387,0.5394736842105263,-0.014611805757487661
ES,LONDON,1,30,178,213,0.47752808988764045,0.5117370892018779,-0.03420899931423743
ES,NEW_YORK,-1,30,203,115,0.49261083743842365,0.4956521739130435,-0.003041336474619849
ES,NEW_YORK,1,30,204,185,0.45098039215686275,0.4864864864864865,-0.03550609432962376
NQ,ASIA,-1,30,219,189,0.4977168949771689,0.5132275132275133,-0.015510618250344332
NQ,ASIA,1,30,292,258,0.4657534246575342,0.46124031007751937,0.004513114580014854
NQ,LONDON,-1,30,159,116,0.44025157232704404,0.47413793103448276,-0.033886358707438724
NQ,LONDON,1,30,177,165,0.4971751412429379,0.5333333333333333,-0.03615819209039545
NQ,NEW_YORK,-1,30,190,149,0.4421052631578947,0.5503355704697986,-0.10823030731190392
NQ,NEW_YORK,1,30,215,208,0.40930232558139534,0.44711538461538464,-0.037813059033989294
