instrument,session,direction,n_high_volume_decay,n_low_volume_control,resolved_high,resolved_low,ambiguous_high,ambiguous_low,neither_high,neither_low,incomplete_high,incomplete_low,matched_strata,high_reversal_rate,low_reversal_rate,difference,p_value,q_value,classification
ES,ASIA,-1,265,261,234,242,0,1,28,8,3,10,13,0.5213675213675214,0.5619834710743802,-0.04061594970685878,0.5014498550144986,1.0,NULL_OR_MIXED
ES,ASIA,1,306,331,248,298,0,1,49,25,9,7,24,0.5,0.5100671140939598,-0.010067114093959773,0.9998000199980002,1.0,NULL_OR_MIXED
ES,LONDON,-1,196,170,180,158,0,1,9,3,7,8,5,0.5333333333333333,0.5316455696202531,0.0016877637130802148,1.0,1.0,NULL_OR_MIXED
ES,LONDON,1,197,241,169,219,0,0,18,6,10,16,11,0.47928994082840237,0.4977168949771689,-0.01842695414876655,0.2556744325567443,1.0,NULL_OR_MIXED
ES,NEW_YORK,-1,220,130,196,118,0,0,14,1,10,11,4,0.49489795918367346,0.5,-0.005102040816326536,1.0,1.0,NULL_OR_MIXED
ES,NEW_YORK,1,216,194,195,179,1,0,18,10,2,5,8,0.441025641025641,0.48044692737430167,-0.039421286348660656,0.9394060593940606,1.0,NULL_OR_MIXED
NQ,ASIA,-1,244,206,208,190,1,2,28,9,7,5,10,0.4807692307692308,0.5210526315789473,-0.04028340080971654,0.49975002499750026,1.0,NULL_OR_MIXED
NQ,ASIA,1,332,279,264,250,0,1,60,16,8,12,11,0.4583333333333333,0.472,-0.01366666666666666,0.4116588341165883,1.0,NULL_OR_MIXED
NQ,LONDON,-1,173,129,154,121,0,0,11,4,8,4,6,0.44155844155844154,0.48760330578512395,-0.046044864226682414,0.5035496450354965,1.0,NULL_OR_MIXED
NQ,LONDON,1,204,184,167,167,0,2,31,6,6,9,8,0.5149700598802395,0.5269461077844312,-0.011976047904191711,1.0,1.0,NULL_OR_MIXED
NQ,NEW_YORK,-1,205,166,177,150,1,1,18,3,9,12,9,0.4406779661016949,0.54,-0.09932203389830513,0.041495850414958506,0.49795020497950204,NULL_OR_MIXED
NQ,NEW_YORK,1,230,228,202,208,0,0,24,9,4,11,6,0.42574257425742573,0.4567307692307692,-0.030988194973343486,1.0,1.0,NULL_OR_MIXED
