instrument,level_id,year,n_continuation_state,n_reversal_state,continuation_rate_given_continuation_state,continuation_rate_given_reversal_state,diff
ES,LOWER_k0,2018,40,84,0.475,0.40476190476190477,0.07023809523809521
ES,LOWER_k0,2019,49,84,0.5102040816326531,0.44047619047619047,0.0697278911564626
ES,LOWER_k0,2020,77,53,0.5324675324675324,0.5849056603773585,-0.05243812790982605
ES,LOWER_k0,2021,83,58,0.5783132530120482,0.5172413793103449,0.061071873701703305
ES,LOWER_k0,2022,79,62,0.5569620253164557,0.4838709677419355,0.07309105757452017
ES,LOWER_k1,2018,37,64,0.35135135135135137,0.453125,-0.10177364864864863
ES,LOWER_k1,2019,64,65,0.546875,0.47692307692307695,0.06995192307692305
ES,LOWER_k1,2020,30,98,0.4666666666666667,0.3979591836734694,0.06870748299319729
ES,LOWER_k1,2021,69,62,0.5507246376811594,0.46774193548387094,0.08298270219728848
ES,LOWER_k1,2022,77,38,0.4935064935064935,0.6842105263157895,-0.190704032809296
ES,LOWER_k2,2018,35,63,0.4857142857142857,0.3968253968253968,0.0888888888888889
ES,LOWER_k2,2019,70,44,0.5428571428571428,0.5227272727272727,0.02012987012987011
ES,LOWER_k2,2020,39,54,0.358974358974359,0.5370370370370371,-0.17806267806267811
ES,LOWER_k2,2021,27,70,0.4444444444444444,0.45714285714285713,-0.012698412698412709
ES,LOWER_k2,2022,40,75,0.4,0.4533333333333333,-0.05333333333333329
ES,LOWER_k3,2018,5,69,0.4,0.3333333333333333,0.06666666666666671
ES,LOWER_k3,2019,27,58,0.5555555555555556,0.4482758620689655,0.10727969348659006
ES,LOWER_k3,2020,40,25,0.375,0.72,-0.345
ES,LOWER_k3,2021,10,66,0.2,0.3333333333333333,-0.1333333333333333
ES,LOWER_k3,2022,56,44,0.5,0.5681818181818182,-0.06818181818181823
ES,UPPER_k0,2018,71,62,0.5915492957746479,0.4838709677419355,0.10767832803271238
ES,UPPER_k0,2019,45,76,0.4444444444444444,0.4868421052631579,-0.04239766081871349
ES,UPPER_k0,2020,55,77,0.4,0.4935064935064935,-0.09350649350649348
ES,UPPER_k0,2021,78,54,0.5256410256410257,0.5370370370370371,-0.01139601139601143
ES,UPPER_k0,2022,112,31,0.5178571428571429,0.5483870967741935,-0.0305299539170506
ES,UPPER_k1,2018,58,61,0.5689655172413793,0.4098360655737705,0.15912945166760883
ES,UPPER_k1,2019,61,56,0.5573770491803278,0.4642857142857143,0.09309133489461352
ES,UPPER_k1,2020,64,58,0.546875,0.43103448275862066,0.11584051724137934
ES,UPPER_k1,2021,76,53,0.5263157894736842,0.49056603773584906,0.03574975173783512
ES,UPPER_k1,2022,97,11,0.5567010309278351,0.7272727272727273,-0.17057169634489222
ES,UPPER_k2,2018,25,62,0.32,0.5,-0.18
ES,UPPER_k2,2019,71,26,0.6056338028169014,0.7307692307692307,-0.12513542795232935
ES,UPPER_k2,2020,68,12,0.4852941176470588,0.75,-0.2647058823529412
ES,UPPER_k2,2021,32,61,0.375,0.5245901639344263,-0.14959016393442626
ES,UPPER_k2,2022,74,43,0.5945945945945946,0.5813953488372093,0.013199245757385292
ES,UPPER_k3,2018,20,65,0.3,0.4153846153846154,-0.11538461538461542
ES,UPPER_k3,2019,64,37,0.59375,0.4864864864864865,0.10726351351351349
ES,UPPER_k3,2020,27,38,0.3333333333333333,0.5526315789473685,-0.21929824561403516
ES,UPPER_k3,2021,54,17,0.46296296296296297,0.7647058823529411,-0.30174291938997816
ES,UPPER_k3,2022,80,23,0.6125,0.391304347826087,0.22119565217391307
NQ,LOWER_k0,2018,29,97,0.3448275862068966,0.422680412371134,-0.07785282616423744
NQ,LOWER_k0,2019,50,87,0.48,0.4482758620689655,0.03172413793103446
NQ,LOWER_k0,2020,81,52,0.48148148148148145,0.5192307692307693,-0.03774928774928782
NQ,LOWER_k0,2021,73,78,0.5068493150684932,0.48717948717948717,0.01966982788900601
NQ,LOWER_k0,2022,69,60,0.5217391304347826,0.5833333333333334,-0.061594202898550776
NQ,LOWER_k1,2018,48,53,0.4583333333333333,0.5283018867924528,-0.06996855345911951
NQ,LOWER_k1,2019,26,91,0.38461538461538464,0.3626373626373626,0.02197802197802201
NQ,LOWER_k1,2020,53,64,0.5471698113207547,0.46875,0.0784198113207547
