instrument,level_id,same_bar_classification,direction,anchor_activation_window,n_qualifying_cells
ES,LOWER_k0,SAME_BAR_REVERSAL_BIASED,reversal,1.0,2
ES,LOWER_k1,SAME_BAR_MIXED,,,0
ES,LOWER_k2,SAME_BAR_MIXED,,,0
ES,LOWER_k3,SAME_BAR_MIXED,,,0
ES,UPPER_k0,SAME_BAR_MIXED,,,0
ES,UPPER_k1,SAME_BAR_MIXED,,,0
ES,UPPER_k2,SAME_BAR_MIXED,,,0
ES,UPPER_k3,SAME_BAR_MIXED,,,0
NQ,LOWER_k0,SAME_BAR_REVERSAL_BIASED,reversal,1.0,5
NQ,LOWER_k1,SAME_BAR_MIXED,reversal,1.0,1
NQ,LOWER_k2,SAME_BAR_REVERSAL_BIASED,reversal,1.0,3
NQ,LOWER_k3,SAME_BAR_MIXED,,,0
NQ,UPPER_k0,SAME_BAR_BLAST_THROUGH_BIASED,blast_through,2.0,6
NQ,UPPER_k1,SAME_BAR_MIXED,blast_through,3.0,1
NQ,UPPER_k2,SAME_BAR_MIXED,,,0
NQ,UPPER_k3,SAME_BAR_MIXED,,,0
