instrument,level_id,activation_window,n_touch_in_A,n_nonneutral_samebar,same_bar_reversal_rate,same_bar_blast_through_rate,same_bar_rev_minus_blast_diff,p_raw,q_value
ES,LOWER_k0,1,540,537,0.5814814814814815,0.412962962962963,0.1685185185185185,9.927291089278647e-05,0.008736016158565209
ES,LOWER_k0,2,706,702,0.5594900849858357,0.4348441926345609,0.12464589235127478,0.0010110364191495526,0.04448560244258032
ES,LOWER_k0,3,786,782,0.5508905852417303,0.4440203562340967,0.10687022900763359,0.002972632393081757,0.08719721686373154
ES,LOWER_k0,4,840,836,0.5416666666666666,0.45357142857142857,0.0880952380952381,0.011533208600724532,0.19352225763180378
ES,LOWER_k0,5,883,879,0.5390713476783692,0.4563986409966025,0.08267270668176671,0.015114249483133516,0.19352225763180378
ES,LOWER_k0,10,972,966,0.5288065843621399,0.46502057613168724,0.06378600823045268,0.049631509472516384,0.3359671410447263
ES,LOWER_k0,15,994,988,0.5271629778672032,0.46680080482897385,0.060362173038229376,0.060457828735284824,0.38002063776464745
ES,LOWER_k0,20,1019,1013,0.5230618253189402,0.47105004906771347,0.052011776251226695,0.10225393590550559,0.42333927680197375
ES,LOWER_k0,30,1048,1040,0.5248091603053435,0.4675572519083969,0.05725190839694656,0.06727137461232521,0.3946587310589746
ES,LOWER_k0,60,1090,1081,0.5211009174311927,0.4706422018348624,0.05045871559633028,0.10046107019274904,0.42333927680197375
ES,LOWER_k0,120,1114,1104,0.5197486535008977,0.47127468581687615,0.04847396768402154,0.11064549280051587,0.42333927680197375
ES,LOWER_k1,1,234,234,0.5811965811965812,0.4188034188034188,0.1623931623931624,0.01539381594798439,0.19352225763180378
ES,LOWER_k1,2,404,404,0.5420792079207921,0.45792079207920794,0.08415841584158416,0.10051002788092246,0.42333927680197375
ES,LOWER_k1,3,513,513,0.5458089668615984,0.45419103313840153,0.09161793372319688,0.04215538646734573,0.3282553571511399
ES,LOWER_k1,4,576,576,0.5364583333333334,0.4635416666666667,0.07291666666666667,0.08748654237253474,0.42333927680197375
ES,LOWER_k1,5,633,633,0.5244865718799369,0.4755134281200632,0.04897314375987362,0.23308135451902268,0.6012933945446992
ES,LOWER_k1,10,778,778,0.5167095115681234,0.4832904884318766,0.033419023136246784,0.37010624221298577,0.6834573205720947
ES,LOWER_k1,15,829,829,0.5162846803377563,0.4837153196622437,0.032569360675512665,0.3665256714413094,0.6834573205720947
ES,LOWER_k1,20,873,873,0.5097365406643757,0.49026345933562426,0.019473081328751432,0.5881758594079838,0.8678764686399579
ES,LOWER_k1,30,923,923,0.5037919826652221,0.4962080173347779,0.007583965330444204,0.8434556534204094,0.970914499787947
ES,LOWER_k1,60,991,991,0.49747729566094856,0.5025227043390514,-0.005045408678102927,0.8988979282041702,0.9775369189215822
ES,LOWER_k1,120,1029,1028,0.4936831875607386,0.5053449951409135,-0.011661807580174927,0.7315563339218486,0.9196708197874669
ES,LOWER_k2,1,110,110,0.6,0.4,0.2,0.044762094156973624,0.3282553571511399
ES,LOWER_k2,2,223,223,0.5560538116591929,0.4439461883408072,0.11210762331838565,0.10781097222614845,0.42333927680197375
ES,LOWER_k2,3,326,326,0.5306748466257669,0.46932515337423314,0.06134969325153374,0.2926433452701047,0.6281125459455905
ES,LOWER_k2,4,384,384,0.5286458333333334,0.4713541666666667,0.057291666666666664,0.2838612964859414,0.6281125459455905
ES,LOWER_k2,5,453,453,0.5364238410596026,0.46357615894039733,0.0728476821192053,0.13262264530488135,0.4502445667349313
ES,LOWER_k2,10,606,606,0.5363036303630363,0.4636963696369637,0.07260726072607261,0.08059419606338057,0.4233381296775721
