instrument,level_id,year,activation_window,horizon,touches,continuation_first_rate,reversal_first_rate,cont_minus_rev_diff,median_signed_close,same_bar_reversal_rate,same_bar_blast_through_rate,mean_annual_effect,sd_annual_effect,n_years_within_1sd,n_years_with_pooled_sign,max_annual_effect,min_annual_effect,is_2020_largest_abs,one_year_gt_35pct_touches
ES,LOWER_k0,2018,1,1,106,0.27184466019417475,0.4563106796116505,-0.18446601941747573,-0.5,0.5283018867924528,0.4716981132075472,-0.07832516167082257,0.06483754651977548,3,5,-0.009433962264150943,-0.18446601941747573,False,False
ES,LOWER_k0,2019,1,1,112,0.34579439252336447,0.411214953271028,-0.06542056074766354,0.3000000000001819,0.6306306306306306,0.36936936936936937,-0.07832516167082257,0.06483754651977548,3,5,-0.009433962264150943,-0.18446601941747573,False,False
ES,LOWER_k0,2020,1,1,114,0.35398230088495575,0.40707964601769914,-0.05309734513274336,-0.27500000000009095,0.6140350877192983,0.38596491228070173,-0.07832516167082257,0.06483754651977548,3,5,-0.009433962264150943,-0.18446601941747573,False,False
ES,LOWER_k0,2021,1,1,107,0.37735849056603776,0.3867924528301887,-0.009433962264150943,0.04999999999972715,0.5333333333333333,0.4666666666666667,-0.07832516167082257,0.06483754651977548,3,5,-0.009433962264150943,-0.18446601941747573,False,False
ES,LOWER_k0,2022,1,1,101,0.3465346534653465,0.42574257425742573,-0.07920792079207921,0.1750000000001819,0.6138613861386139,0.38613861386138615,-0.07832516167082257,0.06483754651977548,3,5,-0.009433962264150943,-0.18446601941747573,False,False
ES,LOWER_k1,2018,1,1,49,0.22916666666666666,0.4166666666666667,-0.1875,-0.7060387509318389,0.5306122448979592,0.46938775510204084,-0.09814278305721413,0.11348303845769464,3,4,0.06666666666666667,-0.2127659574468085,True,False
ES,LOWER_k1,2019,1,1,46,0.3181818181818182,0.4318181818181818,-0.11363636363636363,0.3388719255556225,0.6956521739130435,0.30434782608695654,-0.09814278305721413,0.11348303845769464,3,4,0.06666666666666667,-0.2127659574468085,True,False
ES,LOWER_k1,2020,1,1,48,0.2765957446808511,0.48936170212765956,-0.2127659574468085,-1.2063222380634215,0.6041666666666666,0.3958333333333333,-0.09814278305721413,0.11348303845769464,3,4,0.06666666666666667,-0.2127659574468085,True,False
ES,LOWER_k1,2021,1,1,46,0.3695652173913043,0.41304347826086957,-0.043478260869565216,0.4975130907107541,0.6086956521739131,0.391304347826087,-0.09814278305721413,0.11348303845769464,3,4,0.06666666666666667,-0.2127659574468085,True,False
ES,LOWER_k1,2022,1,1,45,0.37777777777777777,0.3111111111111111,0.06666666666666667,0.6537328441231693,0.4666666666666667,0.5333333333333333,-0.09814278305721413,0.11348303845769464,3,4,0.06666666666666667,-0.2127659574468085,True,False
ES,LOWER_k2,2018,1,1,24,0.20833333333333334,0.5,-0.2916666666666667,-0.7563954211032069,0.4166666666666667,0.5833333333333334,-0.1705630473533287,0.22995955041905233,4,4,0.23529411764705882,-0.3181818181818182,False,False
