run_id,timestamp_utc,git_sha,dataset_hash,stage,hypothesis_id,config_hash,parent_run_id,change_reason,train_period,validation_period,test_period,seed,command,status,primary_metric,selected,notes
g4_0001,2026-07-11T11:19:07.196599+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,ccb29c605ff6,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""norm_ret"", ""window"": 1}",ok,0.011479114579703246,,
g4_0002,2026-07-11T11:19:09.552364+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,ec47318a0592,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""norm_ret"", ""window"": 5}",ok,0.011124622186956144,,
g4_0003,2026-07-11T11:19:11.770320+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,41ac07f8091d,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""norm_ret"", ""window"": 10}",ok,-0.017422247975539224,,
g4_0004,2026-07-11T11:19:14.144364+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,dbe1eaf679e4,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""norm_ret"", ""window"": 15}",ok,-0.00886905769066138,,
g4_0005,2026-07-11T11:19:16.532549+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,cdf867da7063,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""norm_ret"", ""window"": 30}",ok,-0.012353603522973116,,
g4_0006,2026-07-11T11:19:18.796354+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,1efe9a4e017f,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""norm_ret"", ""window"": 60}",ok,0.00031973312282957214,,
g4_0007,2026-07-11T11:19:21.046897+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,45c8d1714bf5,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""range_ratio"", ""window"": 1}",ok,0.031140599404586848,,
g4_0008,2026-07-11T11:19:23.532499+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,54cddada5f48,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""range_ratio"", ""window"": 5}",ok,0.026483822644718553,,
g4_0009,2026-07-11T11:19:25.811853+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,13fdbc7ec6ab,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""range_ratio"", ""window"": 10}",ok,0.014280064687173006,,
g4_0010,2026-07-11T11:19:27.947725+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,56533a8e5ed8,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""range_ratio"", ""window"": 15}",ok,0.013056140335673613,,
g4_0011,2026-07-11T11:19:30.062934+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,daec37c308f2,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""range_ratio"", ""window"": 30}",ok,0.030319781492560482,,
g4_0012,2026-07-11T11:19:32.269015+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,6a9282ea3b65,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""range_ratio"", ""window"": 60}",ok,0.027294763836361813,,
g4_0013,2026-07-11T11:19:34.491898+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,442a2f78253f,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""close_location"", ""window"": 1}",ok,-0.0043075048520225525,,
g4_0014,2026-07-11T11:19:36.757285+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,d473d9de096a,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""close_location"", ""window"": 5}",ok,0.009402427724572716,,
g4_0015,2026-07-11T11:19:38.996481+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,6845a046e5f8,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""close_location"", ""window"": 10}",ok,-0.0013217548933864604,,
g4_0016,2026-07-11T11:19:41.330800+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,1c38831d3121,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""close_location"", ""window"": 15}",ok,-0.00569728690194622,,
g4_0017,2026-07-11T11:19:43.797881+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,820e94eb8bd3,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""close_location"", ""window"": 30}",ok,-0.010144955982030185,,
g4_0018,2026-07-11T11:19:46.004403+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,b19b2a5da98c,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""close_location"", ""window"": 60}",ok,0.0012232212187893198,,
g4_0019,2026-07-11T11:19:48.137250+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,da388fa266b4,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""signed_efficiency"", ""window"": 1}",ok,0.0004833146034386258,,
g4_0020,2026-07-11T11:19:50.508809+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,b49c2ba54729,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""signed_efficiency"", ""window"": 5}",ok,0.017532574782977244,,
g4_0021,2026-07-11T11:19:52.795979+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,da953ecaedfc,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""signed_efficiency"", ""window"": 10}",ok,-0.01558499436814712,,
g4_0022,2026-07-11T11:19:55.038283+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,ac87ab6b60ef,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""signed_efficiency"", ""window"": 15}",ok,-0.009550068095437523,,
g4_0023,2026-07-11T11:19:57.307523+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,aac6238914a5,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""signed_efficiency"", ""window"": 30}",ok,-0.01895402169889846,,
g4_0024,2026-07-11T11:19:59.631332+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,99ba2d42d479,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""signed_efficiency"", ""window"": 60}",ok,0.0026577589527706936,,
g4_0025,2026-07-11T11:20:01.864026+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,0160fb173ccd,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""volume_ratio"", ""window"": 1}",ok,-0.0022587573358333547,,
g4_0026,2026-07-11T11:20:04.084750+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,6d8e11b299d8,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""volume_ratio"", ""window"": 5}",ok,-0.0030282946354968044,,
g4_0027,2026-07-11T11:20:06.360721+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,0ee510a779a2,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""volume_ratio"", ""window"": 10}",ok,0.011160479912464372,,
g4_0028,2026-07-11T11:20:08.617716+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,0ad027613c60,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""volume_ratio"", ""window"": 15}",ok,0.01585192052798678,,
g4_0029,2026-07-11T11:20:10.882250+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,ce22c00fc074,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""volume_ratio"", ""window"": 30}",ok,0.012632537660654596,,
g4_0030,2026-07-11T11:20:13.100274+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,eed0fb34f9e8,,,2018-2022,,,20260711,"{""instrument"": ""ES"", ""feature"": ""volume_ratio"", ""window"": 60}",ok,0.020285741785668634,,
g4_0031,2026-07-11T11:20:15.483314+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,c7c00a68da89,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""norm_ret"", ""window"": 1}",ok,-0.013787868042983027,,
g4_0032,2026-07-11T11:20:17.770354+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,04f31ab2d247,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""norm_ret"", ""window"": 5}",ok,0.02646131284082783,,
g4_0033,2026-07-11T11:20:20.009376+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,414cb99dd6a7,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""norm_ret"", ""window"": 10}",ok,-0.015317278459367515,,
g4_0034,2026-07-11T11:20:22.230886+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,8be597fe9e0e,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""norm_ret"", ""window"": 15}",ok,-0.03546490717389408,,
g4_0035,2026-07-11T11:20:24.442266+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,0a94d089264d,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""norm_ret"", ""window"": 30}",ok,-0.02941931202658656,,
g4_0036,2026-07-11T11:20:26.741447+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,1397278b9e99,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""norm_ret"", ""window"": 60}",ok,-0.02079522139644891,,
g4_0037,2026-07-11T11:20:28.978958+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,9ae906278ea6,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""range_ratio"", ""window"": 1}",ok,0.007773525780517467,,
g4_0038,2026-07-11T11:20:31.193104+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,48ee22c644da,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""range_ratio"", ""window"": 5}",ok,0.013552683267170402,,
g4_0039,2026-07-11T11:20:33.309613+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,9262a0fab65c,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""range_ratio"", ""window"": 10}",ok,0.0059354698131071325,,
g4_0040,2026-07-11T11:20:35.561939+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,bedab027703d,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""range_ratio"", ""window"": 15}",ok,0.008901049446798169,,
g4_0041,2026-07-11T11:20:37.780683+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,ac310635e89b,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""range_ratio"", ""window"": 30}",ok,0.014686503082801014,,
g4_0042,2026-07-11T11:20:39.989671+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,8d19d63dea26,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""range_ratio"", ""window"": 60}",ok,-0.011013920163290634,,
g4_0043,2026-07-11T11:20:42.354174+00:00,1f4bc6fbb57822e5bd32fda83590545ec20f6524,see DATA_CONTRACT.md,predictor_screen,feature_window_screen,687ba24584e3,,,2018-2022,,,20260711,"{""instrument"": ""NQ"", ""feature"": ""close_location"", ""window"": 1}",ok,0.006035531460648265,,
