member_level_ids,n_sessions
"lower_N20_mean_k3,lower_N20_ema_k3",271
"upper_N20_mean_k3,upper_N20_ema_k3",268
"upper_N5_mean_k3,upper_N5_ema_k3",233
"lower_N10_mean_k3,lower_N10_ema_k3",225
"lower_N5_mean_k3,lower_N5_ema_k3",218
"upper_N10_mean_k3,upper_N10_ema_k3",209
"upper_N20_mean_k2,upper_N20_ema_k2",189
"upper_N20_mean_k3,upper_N20_median_k3,upper_N20_ema_k3",175
"lower_N20_mean_k2,lower_N20_ema_k2",171
"upper_N5_mean_k0,upper_N5_median_k0,upper_N5_ema_k0,upper_N10_mean_k0,upper_N10_median_k0,upper_N10_ema_k0,upper_N20_mean_k0,upper_N20_median_k0,upper_N20_ema_k0",168
"lower_N5_mean_k0,lower_N5_median_k0,lower_N5_ema_k0,lower_N10_mean_k0,lower_N10_median_k0,lower_N10_ema_k0,lower_N20_mean_k0,lower_N20_median_k0,lower_N20_ema_k0",144
"upper_N10_mean_k2,upper_N10_ema_k2",144
"lower_N10_mean_k2,lower_N10_ema_k2",143
"lower_N10_median_k0,lower_N20_median_k0",140
"lower_N10_mean_k1,lower_N10_ema_k1",137
"upper_N10_mean_k1,upper_N10_ema_k1",133
"upper_N10_median_k0,upper_N20_median_k0",132
"lower_N20_mean_k1,lower_N20_ema_k1",131
"lower_N20_mean_k3,lower_N20_median_k3,lower_N20_ema_k3",129
"upper_N5_mean_k1,upper_N5_ema_k1",124
"upper_N5_mean_k0,upper_N5_ema_k0",124
"lower_N20_mean_k0,lower_N20_ema_k0",123
"upper_N5_mean_k2,upper_N5_ema_k2",123
"lower_N5_mean_k0,lower_N5_ema_k0",122
"upper_N20_mean_k1,upper_N20_ema_k1",121
"upper_N20_median_k3,upper_N20_ema_k3",119
"lower_N5_mean_k2,lower_N5_ema_k2",117
"upper_N20_mean_k0,upper_N20_ema_k0",117
"lower_N20_median_k3,lower_N20_ema_k3",113
"lower_N5_mean_k3,lower_N5_median_k3,lower_N5_ema_k3",107
