instrument,level_id,n_valid,n_touched,touch_rate,touch_by_30_rate,touch_by_60_rate,touch_by_120_rate
ES,ON_VWAP_0,1289,945,0.7331264546159814,0.604344453064391,0.6710628394103957,0.7331264546159814
ES,ON_VWAP_m1,1289,845,0.6555469356089992,0.5128006206361521,0.5888285492629945,0.6555469356089992
ES,ON_VWAP_m2,1289,633,0.4910783553141971,0.3157486423584174,0.4057408844065167,0.4910783553141971
ES,ON_VWAP_m3,1289,458,0.35531419705197825,0.16757176105508145,0.2699767261442979,0.35531419705197825
ES,ON_VWAP_p1,1289,886,0.6873545384018619,0.5717610550814585,0.6338246702870443,0.6873545384018619
ES,ON_VWAP_p2,1289,671,0.5205585725368502,0.3529868114817688,0.44763382467028706,0.5205585725368502
ES,ON_VWAP_p3,1289,438,0.33979829325058186,0.16757176105508145,0.2505818463925524,0.33979829325058186
ES,PR_VWAP_0,1245,476,0.3823293172690763,0.2281124497991968,0.3036144578313253,0.3823293172690763
ES,PR_VWAP_m1,1245,429,0.344578313253012,0.21526104417670683,0.2714859437751004,0.344578313253012
ES,PR_VWAP_m2,1245,328,0.26345381526104417,0.16224899598393575,0.21526104417670683,0.26345381526104417
ES,PR_VWAP_m3,1245,246,0.19759036144578312,0.1140562248995984,0.15100401606425704,0.19759036144578312
ES,PR_VWAP_p1,1245,480,0.3855421686746988,0.25381526104417673,0.3220883534136546,0.3855421686746988
ES,PR_VWAP_p2,1245,394,0.3164658634538153,0.19839357429718876,0.2497991967871486,0.3164658634538153
ES,PR_VWAP_p3,1245,327,0.26265060240963856,0.17269076305220885,0.22329317269076304,0.26265060240963856
ES,lower_N10_ema_k0,1279,1113,0.8702111024237685,0.818608287724785,0.8537920250195465,0.8702111024237685
ES,lower_N10_ema_k1,1279,1025,0.8014073494917905,0.7216575449569976,0.7732603596559813,0.8014073494917905
ES,lower_N10_ema_k2,1279,937,0.7326035965598123,0.6207974980453479,0.6919468334636435,0.7326035965598123
ES,lower_N10_ema_k3,1279,869,0.6794370602032838,0.5261923377638781,0.6270523846755277,0.6794370602032838
ES,lower_N10_mean_k0,1279,1114,0.870992963252541,0.8193901485535575,0.8522283033620016,0.870992963252541
ES,lower_N10_mean_k1,1279,1029,0.8045347928068803,0.7216575449569976,0.7748240813135262,0.8045347928068803
ES,lower_N10_mean_k2,1279,942,0.7365129007036747,0.6270523846755277,0.6982017200938233,0.7365129007036747
ES,lower_N10_mean_k3,1279,867,0.6778733385457388,0.5285379202501954,0.6254886630179828,0.6778733385457388
ES,lower_N10_median_k0,1279,1139,0.890539483971853,0.8467552775605942,0.8764659890539483,0.890539483971853
ES,lower_N10_median_k1,1279,1044,0.8162627052384676,0.7412040656763096,0.7904612978889758,0.8162627052384676
ES,lower_N10_median_k2,1279,962,0.7521501172791243,0.6465989053948398,0.7130570758405004,0.7521501172791243
ES,lower_N10_median_k3,1279,882,0.689601250977326,0.54573885848319,0.6364347146207975,0.689601250977326
