instrument,level_id,year,n_valid,n_touched,touch_rate
ES,ON_VWAP_0,2018,256,202,0.7890625
ES,ON_VWAP_0,2019,258,189,0.7325581395348837
ES,ON_VWAP_0,2020,259,188,0.7258687258687259
ES,ON_VWAP_0,2021,258,176,0.6821705426356589
ES,ON_VWAP_0,2022,258,190,0.7364341085271318
ES,ON_VWAP_m1,2018,256,176,0.6875
ES,ON_VWAP_m1,2019,258,169,0.6550387596899225
ES,ON_VWAP_m1,2020,259,162,0.6254826254826255
ES,ON_VWAP_m1,2021,258,159,0.6162790697674418
ES,ON_VWAP_m1,2022,258,179,0.6937984496124031
ES,ON_VWAP_m2,2018,256,130,0.5078125
ES,ON_VWAP_m2,2019,258,129,0.5
ES,ON_VWAP_m2,2020,259,118,0.4555984555984556
ES,ON_VWAP_m2,2021,258,120,0.46511627906976744
ES,ON_VWAP_m2,2022,258,136,0.5271317829457365
ES,ON_VWAP_m3,2018,256,95,0.37109375
ES,ON_VWAP_m3,2019,258,94,0.3643410852713178
ES,ON_VWAP_m3,2020,259,77,0.2972972972972973
ES,ON_VWAP_m3,2021,258,87,0.3372093023255814
ES,ON_VWAP_m3,2022,258,105,0.4069767441860465
ES,ON_VWAP_p1,2018,256,198,0.7734375
ES,ON_VWAP_p1,2019,258,173,0.6705426356589147
ES,ON_VWAP_p1,2020,259,171,0.6602316602316602
ES,ON_VWAP_p1,2021,258,172,0.6666666666666666
ES,ON_VWAP_p1,2022,258,172,0.6666666666666666
ES,ON_VWAP_p2,2018,256,148,0.578125
ES,ON_VWAP_p2,2019,258,143,0.5542635658914729
ES,ON_VWAP_p2,2020,259,113,0.4362934362934363
ES,ON_VWAP_p2,2021,258,144,0.5581395348837209
ES,ON_VWAP_p2,2022,258,123,0.47674418604651164
ES,ON_VWAP_p3,2018,256,99,0.38671875
ES,ON_VWAP_p3,2019,258,92,0.35658914728682173
ES,ON_VWAP_p3,2020,259,69,0.26640926640926643
ES,ON_VWAP_p3,2021,258,97,0.375968992248062
ES,ON_VWAP_p3,2022,258,81,0.313953488372093
ES,PR_VWAP_0,2018,246,96,0.3902439024390244
ES,PR_VWAP_0,2019,249,94,0.37751004016064255
ES,PR_VWAP_0,2020,249,96,0.3855421686746988
ES,PR_VWAP_0,2021,251,95,0.3784860557768924
ES,PR_VWAP_0,2022,250,95,0.38
ES,PR_VWAP_m1,2018,246,80,0.3252032520325203
ES,PR_VWAP_m1,2019,249,86,0.3453815261044177
ES,PR_VWAP_m1,2020,249,83,0.3333333333333333
ES,PR_VWAP_m1,2021,251,81,0.32270916334661354
ES,PR_VWAP_m1,2022,250,99,0.396
ES,PR_VWAP_m2,2018,246,58,0.23577235772357724
ES,PR_VWAP_m2,2019,249,67,0.26907630522088355
ES,PR_VWAP_m2,2020,249,65,0.26104417670682734
ES,PR_VWAP_m2,2021,251,58,0.23107569721115537
ES,PR_VWAP_m2,2022,250,80,0.32
ES,PR_VWAP_m3,2018,246,48,0.1951219512195122
ES,PR_VWAP_m3,2019,249,57,0.2289156626506024
ES,PR_VWAP_m3,2020,249,45,0.18072289156626506
ES,PR_VWAP_m3,2021,251,41,0.16334661354581673
ES,PR_VWAP_m3,2022,250,55,0.22
ES,PR_VWAP_p1,2018,246,99,0.4024390243902439
ES,PR_VWAP_p1,2019,249,83,0.3333333333333333
ES,PR_VWAP_p1,2020,249,91,0.3654618473895582
ES,PR_VWAP_p1,2021,251,111,0.44223107569721115
ES,PR_VWAP_p1,2022,250,96,0.384
ES,PR_VWAP_p2,2018,246,81,0.32926829268292684
ES,PR_VWAP_p2,2019,249,78,0.3132530120481928
ES,PR_VWAP_p2,2020,249,66,0.26506024096385544
ES,PR_VWAP_p2,2021,251,87,0.3466135458167331
ES,PR_VWAP_p2,2022,250,82,0.328
ES,PR_VWAP_p3,2018,246,60,0.24390243902439024
ES,PR_VWAP_p3,2019,249,77,0.3092369477911647
ES,PR_VWAP_p3,2020,249,65,0.26104417670682734
ES,PR_VWAP_p3,2021,251,76,0.30278884462151395
ES,PR_VWAP_p3,2022,250,49,0.196
ES,lower_N10_ema_k0,2018,246,220,0.8943089430894309
ES,lower_N10_ema_k0,2019,258,221,0.8565891472868217
ES,lower_N10_ema_k0,2020,259,227,0.8764478764478765
ES,lower_N10_ema_k0,2021,258,215,0.8333333333333334
ES,lower_N10_ema_k0,2022,258,230,0.8914728682170543
ES,lower_N10_ema_k1,2018,246,205,0.8333333333333334
ES,lower_N10_ema_k1,2019,258,202,0.7829457364341085
ES,lower_N10_ema_k1,2020,259,205,0.7915057915057915
ES,lower_N10_ema_k1,2021,258,192,0.7441860465116279
ES,lower_N10_ema_k1,2022,258,221,0.8565891472868217
ES,lower_N10_ema_k2,2018,246,188,0.7642276422764228
ES,lower_N10_ema_k2,2019,258,183,0.7093023255813954
ES,lower_N10_ema_k2,2020,259,182,0.7027027027027027
ES,lower_N10_ema_k2,2021,258,172,0.6666666666666666
ES,lower_N10_ema_k2,2022,258,212,0.8217054263565892
ES,lower_N10_ema_k3,2018,246,172,0.6991869918699187
ES,lower_N10_ema_k3,2019,258,170,0.6589147286821705
ES,lower_N10_ema_k3,2020,259,165,0.637065637065637
ES,lower_N10_ema_k3,2021,258,161,0.624031007751938
ES,lower_N10_ema_k3,2022,258,201,0.7790697674418605
ES,lower_N10_mean_k0,2018,246,220,0.8943089430894309
ES,lower_N10_mean_k0,2019,258,221,0.8565891472868217
ES,lower_N10_mean_k0,2020,259,227,0.8764478764478765
ES,lower_N10_mean_k0,2021,258,215,0.8333333333333334
ES,lower_N10_mean_k0,2022,258,231,0.8953488372093024
ES,lower_N10_mean_k1,2018,246,205,0.8333333333333334
ES,lower_N10_mean_k1,2019,258,204,0.7906976744186046
ES,lower_N10_mean_k1,2020,259,205,0.7915057915057915
ES,lower_N10_mean_k1,2021,258,194,0.751937984496124
ES,lower_N10_mean_k1,2022,258,221,0.8565891472868217
ES,lower_N10_mean_k2,2018,246,189,0.7682926829268293
ES,lower_N10_mean_k2,2019,258,184,0.7131782945736435
ES,lower_N10_mean_k2,2020,259,182,0.7027027027027027
ES,lower_N10_mean_k2,2021,258,174,0.6744186046511628
ES,lower_N10_mean_k2,2022,258,213,0.8255813953488372
ES,lower_N10_mean_k3,2018,246,172,0.6991869918699187
ES,lower_N10_mean_k3,2019,258,169,0.6550387596899225
ES,lower_N10_mean_k3,2020,259,165,0.637065637065637
ES,lower_N10_mean_k3,2021,258,161,0.624031007751938
ES,lower_N10_mean_k3,2022,258,200,0.7751937984496124
ES,lower_N10_median_k0,2018,246,227,0.9227642276422764
ES,lower_N10_median_k0,2019,258,224,0.8682170542635659
ES,lower_N10_median_k0,2020,259,231,0.8918918918918919
ES,lower_N10_median_k0,2021,258,219,0.8488372093023255
ES,lower_N10_median_k0,2022,258,238,0.9224806201550387
ES,lower_N10_median_k1,2018,246,210,0.8536585365853658
ES,lower_N10_median_k1,2019,258,206,0.7984496124031008
ES,lower_N10_median_k1,2020,259,208,0.803088803088803
ES,lower_N10_median_k1,2021,258,198,0.7674418604651163
ES,lower_N10_median_k1,2022,258,222,0.8604651162790697
ES,lower_N10_median_k2,2018,246,191,0.7764227642276422
ES,lower_N10_median_k2,2019,258,187,0.7248062015503876
ES,lower_N10_median_k2,2020,259,192,0.7413127413127413
ES,lower_N10_median_k2,2021,258,176,0.6821705426356589
ES,lower_N10_median_k2,2022,258,216,0.8372093023255814
ES,lower_N10_median_k3,2018,246,174,0.7073170731707317
ES,lower_N10_median_k3,2019,258,171,0.6627906976744186
ES,lower_N10_median_k3,2020,259,168,0.6486486486486487
ES,lower_N10_median_k3,2021,258,166,0.6434108527131783
ES,lower_N10_median_k3,2022,258,203,0.7868217054263565
ES,lower_N20_ema_k0,2018,236,212,0.8983050847457628
ES,lower_N20_ema_k0,2019,258,222,0.8604651162790697
ES,lower_N20_ema_k0,2020,259,222,0.8571428571428571
ES,lower_N20_ema_k0,2021,258,220,0.8527131782945736
ES,lower_N20_ema_k0,2022,258,230,0.8914728682170543
ES,lower_N20_ema_k1,2018,236,195,0.826271186440678
ES,lower_N20_ema_k1,2019,258,201,0.7790697674418605
ES,lower_N20_ema_k1,2020,259,204,0.7876447876447876
ES,lower_N20_ema_k1,2021,258,189,0.7325581395348837
ES,lower_N20_ema_k1,2022,258,220,0.8527131782945736
ES,lower_N20_ema_k2,2018,236,173,0.7330508474576272
ES,lower_N20_ema_k2,2019,258,178,0.689922480620155
ES,lower_N20_ema_k2,2020,259,185,0.7142857142857143
ES,lower_N20_ema_k2,2021,258,168,0.6511627906976745
ES,lower_N20_ema_k2,2022,258,209,0.810077519379845
ES,lower_N20_ema_k3,2018,236,163,0.690677966101695
ES,lower_N20_ema_k3,2019,258,163,0.6317829457364341
ES,lower_N20_ema_k3,2020,259,157,0.6061776061776062
ES,lower_N20_ema_k3,2021,258,155,0.6007751937984496
ES,lower_N20_ema_k3,2022,258,203,0.7868217054263565
ES,lower_N20_mean_k0,2018,236,212,0.8983050847457628
ES,lower_N20_mean_k0,2019,258,222,0.8604651162790697
ES,lower_N20_mean_k0,2020,259,224,0.8648648648648649
ES,lower_N20_mean_k0,2021,258,219,0.8488372093023255
ES,lower_N20_mean_k0,2022,258,231,0.8953488372093024
ES,lower_N20_mean_k1,2018,236,191,0.809322033898305
ES,lower_N20_mean_k1,2019,258,199,0.7713178294573644
