instrument,level_type,side,breach_magnitude_band,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15
ES,overnight_high,upper,0.25_TO_0.50_ATR,185,137,32,7,0,169,0.7405405405405405,0.17297297297297298,0.5675675675675675,1.1223949781577776e-16,OK,0.01694915254237288,1.8656220418521279,1.2974296205630353,0.17519181585677748
ES,overnight_high,upper,0.50_TO_1.00_ATR,133,96,14,17,0,110,0.7218045112781954,0.10526315789473684,0.6165413533834586,3.3006329251564556e-16,OK,0.3846153846153846,2.0289855072463765,1.286549707602339,0.23809523809523808
ES,overnight_high,upper,0_TO_0.25_ATR,284,212,45,14,0,257,0.7464788732394366,0.15845070422535212,0.5880281690140845,4.2549001846621974e-27,OK,0.3278688524590164,2.1073558648111335,1.0084033613445378,0.368421052631579
ES,overnight_high,upper,ABOVE_1.00_ATR,45,29,4,10,0,33,0.6444444444444445,0.08888888888888889,0.5555555555555556,1.0928604751825333e-05,UNDERPOWERED,0.4587155963302752,2.8378378378378377,1.639344262295082,0.1666666666666667
ES,overnight_low,lower,0.25_TO_0.50_ATR,218,142,42,24,0,184,0.6513761467889908,0.1926605504587156,0.45871559633027525,6.761099047365994e-14,OK,0.7465025831543507,2.174177283572683,1.4152911030331923,0.18245838668373876
ES,overnight_low,lower,0.50_TO_1.00_ATR,139,102,17,15,0,119,0.7338129496402878,0.1223021582733813,0.6115107913669064,5.860119505182689e-16,OK,0.9281929191306352,2.3837412587412588,1.1707595659623071,0.34888438133874244
ES,overnight_low,lower,0_TO_0.25_ATR,299,225,42,18,0,267,0.7525083612040134,0.14046822742474915,0.6120401337792643,2.0008747004985608e-31,OK,0.4195804195804196,2.1176470588235294,1.1904761904761905,0.3333333333333333
ES,overnight_low,lower,ABOVE_1.00_ATR,52,35,9,7,0,44,0.6730769230769231,0.17307692307692307,0.5,0.00010604466626773501,OK,-0.09259259259259259,2.127659574468085,1.3793103448275863,0.19999999999999998
ES,prev_rth_high,upper,0.25_TO_0.50_ATR,204,149,29,19,0,178,0.7303921568627451,0.14215686274509803,0.5882352941176471,1.1953898175766888e-20,OK,0.2247191011235955,2.0168067226890756,1.1320754716981132,0.23809523809523814
ES,prev_rth_high,upper,0.50_TO_1.00_ATR,97,61,13,12,0,74,0.6288659793814433,0.13402061855670103,0.4948453608247423,1.3936467518320873e-08,OK,0.10309278350515465,2.0435860628996476,1.3873295910184442,0.19090909090909092
ES,prev_rth_high,upper,0_TO_0.25_ATR,245,189,29,15,0,218,0.7714285714285715,0.11836734693877551,0.6530612244897959,5.888431660937675e-30,OK,0.425531914893617,1.9767441860465118,0.9090909090909091,0.38461538461538464
ES,prev_rth_high,upper,ABOVE_1.00_ATR,19,13,1,5,0,14,0.6842105263157895,0.05263157894736842,0.631578947368421,0.0018310546875,UNDERPOWERED,-0.15625,2.121212121212121,2.73972602739726,-0.05263157894736838
ES,prev_rth_low,lower,0.25_TO_0.50_ATR,224,161,28,16,0,189,0.71875,0.125,0.59375,6.771944840094066e-24,OK,1.0678210678210678,2.390438247011952,1.0337972166998013,0.41666666666666663
ES,prev_rth_low,lower,0.50_TO_1.00_ATR,138,87,22,17,0,109,0.6304347826086957,0.15942028985507245,0.47101449275362317,2.489280605223287e-10,OK,0.40322990198567876,2.3529411764705883,1.2582714245118338,0.32820512820512815
ES,prev_rth_low,lower,0_TO_0.25_ATR,326,228,51,25,0,279,0.6993865030674846,0.15644171779141106,0.5429447852760736,6.931265556990469e-28,OK,0.3329792638433473,1.9744124488650037,1.3202758356479265,0.22941970310391363
ES,prev_rth_low,lower,ABOVE_1.00_ATR,36,23,2,10,0,25,0.6388888888888888,0.05555555555555555,0.5833333333333334,1.9431114196777344e-05,UNDERPOWERED,1.8264840182648403,3.4074074074074074,0.8219178082191781,0.48148148148148157
NQ,overnight_high,upper,0.25_TO_0.50_ATR,328,224,72,18,0,296,0.6829268292682927,0.21951219512195122,0.4634146341463415,2.588293141025128e-19,OK,0.6361360504277058,2.189778019120962,1.2716668394376034,0.2845238095238095
NQ,overnight_high,upper,0.50_TO_1.00_ATR,164,105,35,11,0,140,0.6402439024390244,0.21341463414634146,0.4268292682926829,2.5588303858648052e-09,OK,-0.07117437722419928,2.0422535211267605,1.5030946065428825,0.09090909090909093
NQ,overnight_high,upper,0_TO_0.25_ATR,571,418,105,28,0,523,0.7320490367775832,0.18388791593695272,0.5481611208406305,3.3534667932279875e-45,OK,0.22172949002217293,1.9487179487179487,1.185595567867036,0.23333333333333336
NQ,overnight_high,upper,ABOVE_1.00_ATR,39,30,5,2,0,35,0.7692307692307693,0.1282051282051282,0.6410256410256411,2.2361520677804947e-05,UNDERPOWERED,1.1963589076723016,2.798913043478261,0.8469055374592834,0.4693877551020409
NQ,overnight_low,lower,0.25_TO_0.50_ATR,274,177,58,31,0,235,0.6459854014598541,0.2116788321167883,0.4343065693430657,3.4588008316519287e-15,OK,0.012360939431396786,1.995415034864839,1.591041589151604,0.17879948914431676
NQ,overnight_low,lower,0.50_TO_1.00_ATR,198,132,44,13,0,176,0.6666666666666666,0.2222222222222222,0.4444444444444444,2.0630091377688624e-11,OK,0.26666666666666666,2.2170900692840645,1.461988304093567,0.23711340206185566
NQ,overnight_low,lower,0_TO_0.25_ATR,545,377,91,52,0,468,0.691743119266055,0.1669724770642202,0.5247706422018349,2.125910063958757e-42,OK,0.2326272961976724,1.8768308659022876,1.4448788892938798,0.12660256410256412
NQ,overnight_low,lower,ABOVE_1.00_ATR,47,28,6,9,0,34,0.5957446808510638,0.1276595744680851,0.46808510638297873,0.00019512558355927467,UNDERPOWERED,0.0,2.693877551020408,1.741424802110818,0.04687499999999998
NQ,prev_rth_high,upper,0.25_TO_0.50_ATR,250,178,40,12,0,218,0.712,0.16,0.552,5.682967304246937e-22,OK,0.2778836492152039,2.0268798035020996,1.149520213937392,0.2884164713759625
NQ,prev_rth_high,upper,0.50_TO_1.00_ATR,137,100,21,10,0,121,0.7299270072992701,0.15328467153284672,0.5766423357664233,1.606311290539171e-13,OK,0.5627705627705627,2.3378582202111615,1.1095305832147937,0.38078291814946613
NQ,prev_rth_high,upper,0_TO_0.25_ATR,498,371,101,11,0,472,0.7449799196787149,0.20281124497991967,0.5421686746987951,2.6840971015360458e-37,OK,0.05029337803855826,1.859582542694497,1.2872467222884385,0.13888888888888887
NQ,prev_rth_high,upper,ABOVE_1.00_ATR,32,17,6,6,0,23,0.53125,0.1875,0.34375,0.03468966484069824,UNDERPOWERED,-0.5361930294906166,2.079879427279578,2.241379310344828,0.01639344262295085
NQ,prev_rth_low,lower,0.25_TO_0.50_ATR,235,166,36,19,0,202,0.7063829787234043,0.15319148936170213,0.5531914893617021,3.7828998059670334e-21,OK,0.7528641571194763,2.3228995057660624,1.3237924865831843,0.31147540983606564
NQ,prev_rth_low,lower,0.50_TO_1.00_ATR,135,88,31,11,0,119,0.6518518518518519,0.22962962962962963,0.4222222222222222,1.668715688008364e-07,OK,0.4330176461065242,1.9538434842963732,1.3745452001119507,0.15896654158849277
NQ,prev_rth_low,lower,0_TO_0.25_ATR,491,334,97,40,0,431,0.6802443991853361,0.1975560081466395,0.48268839103869654,1.5088575462762703e-31,OK,0.2874743326488706,1.9772727272727273,1.3744493392070485,0.18644067796610173
NQ,prev_rth_low,lower,ABOVE_1.00_ATR,37,26,7,3,0,33,0.7027027027027027,0.1891891891891892,0.5135135135135135,0.0013187271542847157,UNDERPOWERED,-0.11201761201761201,1.76010101010101,1.5421669706453613,0.001792114695340519
