instrument,level_type,side,confirmation,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15
ES,overnight_high,upper,CONFIRMED_BREACH,73,53,12,6,0,65,0.726027397260274,0.1643835616438356,0.5616438356164384,2.7862343424643344e-07,OK,0.32608695652173914,1.6964285714285716,1.3114754098360657,0.16279069767441867
ES,overnight_high,upper,PARTIAL_CONFIRMATION,2,2,0,0,0,2,1.0,0.0,1.0,0.5,UNDERPOWERED,2.2617373250284643,3.571093697675976,0.052910052910052914,0.9714285714285713
ES,overnight_high,upper,UNCONFIRMED_BREACH,572,419,83,42,0,502,0.7325174825174825,0.1451048951048951,0.5874125874125874,5.266116874036563e-55,OK,0.2191797273764487,2.1089543143151146,1.2183055040197897,0.27012940330697344
ES,overnight_low,lower,CONFIRMED_BREACH,84,48,19,14,0,67,0.5714285714285714,0.2261904761904762,0.34523809523809523,0.000521612756811516,OK,0.358974358974359,2.2145328719723185,1.6504854368932038,0.16666666666666666
ES,overnight_low,lower,PARTIAL_CONFIRMATION,3,2,0,1,0,2,0.6666666666666666,0.0,0.6666666666666666,0.5,UNDERPOWERED,0.7627118644067796,2.2033898305084745,1.271186440677966,0.2682926829268293
ES,overnight_low,lower,UNCONFIRMED_BREACH,621,454,91,49,0,545,0.7310789049919485,0.14653784219001612,0.5845410628019324,5.712907031161912e-59,OK,0.6224736223573928,2.201321585903084,1.2074751214996529,0.26383701188455005
ES,prev_rth_high,upper,CONFIRMED_BREACH,47,34,8,4,0,42,0.723404255319149,0.1702127659574468,0.5531914893617021,6.87711149112147e-05,UNDERPOWERED,0.4020979020979021,2.653174639929607,1.3251081072908162,0.3562765086687997
ES,prev_rth_high,upper,UNCONFIRMED_BREACH,518,378,64,47,0,442,0.7297297297297297,0.12355212355212356,0.6061776061776062,2.7938794863633924e-55,OK,0.2061855670103093,1.9867549668874174,1.1235955056179774,0.2363636363636364
ES,prev_rth_low,lower,CONFIRMED_BREACH,72,49,8,13,0,57,0.6805555555555556,0.1111111111111111,0.5694444444444444,2.716852566531091e-08,OK,0.88478772689299,2.6153846153846154,1.0460619530490345,0.42209856915739274
ES,prev_rth_low,lower,PARTIAL_CONFIRMATION,3,3,0,0,0,3,1.0,0.0,1.0,0.25,UNDERPOWERED,-0.8333333333333334,1.8245614035087718,1.875,-0.2
ES,prev_rth_low,lower,UNCONFIRMED_BREACH,649,447,95,55,0,542,0.6887519260400616,0.14637904468412943,0.5423728813559322,1.4314832183599585e-55,OK,0.5847953216374269,2.158273381294964,1.2286689419795223,0.2727272727272728
NQ,overnight_high,upper,CONFIRMED_BREACH,77,48,17,9,0,65,0.6233766233766234,0.22077922077922077,0.4025974025974026,0.00015210657584807538,OK,0.5562197750505706,2.2697667420644283,1.1884543795843894,0.2867049593723732
NQ,overnight_high,upper,PARTIAL_CONFIRMATION,16,10,4,2,0,14,0.625,0.25,0.375,0.1795654296875,UNDERPOWERED,-0.37627217214306485,1.816060177446316,1.4737793851717904,0.14585888316572643
NQ,overnight_high,upper,UNCONFIRMED_BREACH,1009,719,196,48,0,915,0.7125867195242814,0.19425173439048563,0.5183349851337958,8.573656496742836e-71,OK,0.3468208092485549,2.0425531914893615,1.2598425196850394,0.23333333333333336
NQ,overnight_low,lower,CONFIRMED_BREACH,94,53,27,11,0,80,0.5638297872340425,0.2872340425531915,0.2765957446808511,0.004868154149559423,OK,0.028050490883590466,2.1371610845295055,1.6103739445114595,0.2159090909090909
NQ,overnight_low,lower,PARTIAL_CONFIRMATION,21,15,3,3,0,18,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.007537841796875,UNDERPOWERED,-0.734341252699784,2.558922558922559,2.139917695473251,-0.1320754716981132
NQ,overnight_low,lower,UNCONFIRMED_BREACH,949,646,169,91,0,815,0.6807165437302424,0.1780821917808219,0.5026343519494204,1.9964285504944147e-66,OK,0.2254303610918492,2.0032102728731944,1.4623137068957501,0.1693421142896343
NQ,prev_rth_high,upper,CONFIRMED_BREACH,51,33,9,7,0,42,0.6470588235294118,0.17647058823529413,0.47058823529411764,0.0002715392342906853,OK,0.3709949409780776,2.108262108262108,1.5853658536585364,0.09090909090909088
NQ,prev_rth_high,upper,PARTIAL_CONFIRMATION,12,8,3,0,0,11,0.6666666666666666,0.25,0.4166666666666667,0.2265625,UNDERPOWERED,-0.4182879377431907,1.8343195266272192,1.4792899408284026,0.10714285714285714
NQ,prev_rth_high,upper,UNCONFIRMED_BREACH,854,625,156,32,0,781,0.7318501170960188,0.18266978922716628,0.5491803278688525,3.028304577134301e-67,OK,0.2150537634408602,1.9863013698630139,1.1900826446280992,0.2048192771084337
NQ,prev_rth_low,lower,CONFIRMED_BREACH,78,55,13,7,0,68,0.7051282051282052,0.16666666666666666,0.5384615384615384,2.7465771122682156e-07,OK,0.8888888888888888,2.2982885085574574,1.277533039647577,0.425925925925926
NQ,prev_rth_low,lower,PARTIAL_CONFIRMATION,13,7,4,2,0,11,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.548828125,UNDERPOWERED,-0.5405405405405405,1.9601328903654485,0.9859154929577465,0.23636363636363633
NQ,prev_rth_low,lower,UNCONFIRMED_BREACH,807,552,154,64,0,706,0.6840148698884758,0.19083023543990088,0.49318463444857497,2.008931432408579e-53,OK,0.3490910937341323,2.05802888531299,1.377490156329188,0.18581293157564344
