instrument,level_type,side,touch_sub,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h5,median_rotation_exc_atr_h5,median_breakout_exc_atr_h5,median_dominance_h5,horizon_min,barrier,median_signed_close_atr_h10,median_rotation_exc_atr_h10,median_breakout_exc_atr_h10,median_dominance_h10,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15,median_signed_close_atr_h30,median_rotation_exc_atr_h30,median_breakout_exc_atr_h30,median_dominance_h30,median_signed_close_atr_h60,median_rotation_exc_atr_h60,median_breakout_exc_atr_h60,median_dominance_h60
ES,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,58,26,9,23,0,35,0.4482758620689655,0.15517241379310345,0.29310344827586204,0.005988120567053557,OK,0.0,0.9672619047619048,0.8695652173913044,0.05555555555555556,5,0.25,,,,,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_INSIDE,332,222,19,88,0,241,0.6686746987951807,0.0572289156626506,0.6114457831325302,4.447751416480466e-45,OK,0.3755868544600939,1.3605442176870748,0.5797101449275363,0.42857142857142855,5,0.25,,,,,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,48,24,13,11,0,37,0.5,0.2708333333333333,0.22916666666666666,0.09887174959294498,UNDERPOWERED,0.3013193360760391,1.2424513132035018,0.7759398496240602,0.251793400286944,5,0.25,,,,,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_INSIDE,259,164,13,78,0,177,0.6332046332046332,0.05019305019305019,0.583011583011583,1.938296898630695e-34,OK,0.5882352941176471,1.5384615384615385,0.49079754601226994,0.5238095238095238,5,0.25,,,,,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,115,55,9,49,0,64,0.4782608695652174,0.0782608695652174,0.4,3.542223380175076e-09,OK,0.0,0.9375,0.7317073170731708,0.09090909090909088,5,0.25,,,,,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,371,249,15,100,0,264,0.6711590296495957,0.04043126684636118,0.6307277628032345,7.71678590587481e-56,OK,0.47905909351692477,1.4625668449197862,0.3519091847265222,0.6000000000000001,5,0.25,,,,,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,36,15,6,15,0,21,0.4166666666666667,0.16666666666666666,0.25,0.0783538818359375,UNDERPOWERED,0.2857142857142857,1.2765957446808511,1.0172413793103448,-0.17156862745098042,5,0.25,,,,,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,307,196,12,93,0,208,0.6384364820846905,0.03908794788273615,0.5993485342019544,5.127818183715181e-44,OK,0.5555555555555555,1.566820276497696,0.5357142857142857,0.5294117647058824,5,0.25,,,,,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,6,3,0,3,0,3,0.5,0.0,0.5,0.25,UNDERPOWERED,0.5685011709601874,1.2572215281849934,0.43484023752297474,0.5591397849462365,5,0.25,,,,,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_INSIDE,131,103,4,24,0,107,0.7862595419847328,0.030534351145038167,0.7557251908396947,6.612717750057298e-26,OK,0.39215686274509803,1.380271871732311,0.39215686274509803,0.6249999999999999,5,0.25,,,,,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,2,0,0,2,0,0,0.0,0.0,0.0,,UNDERPOWERED,-1.5108821895672373,0.39918194212998026,2.0580215118921377,-0.6770833333333333,5,0.25,,,,,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_INSIDE,87,56,4,25,0,60,0.6436781609195402,0.04597701149425287,0.5977011494252874,9.084503982403902e-13,OK,0.31007751937984496,1.3782051282051282,0.72,0.2920353982300885,5,0.25,,,,,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,9,3,3,3,0,6,0.3333333333333333,0.3333333333333333,0.0,1.0,UNDERPOWERED,0.2469135802469136,0.7495069033530571,0.7058823529411765,0.2258064516129032,5,0.25,,,,,,,,,,,,,,,,
