instrument,level_type,side,volume_stratum,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15
ES,overnight_high,upper,HIGH_VOLUME,309,228,53,25,0,281,0.7378640776699029,0.1715210355987055,0.5663430420711975,5.002496581124721e-27,OK,0.20025344315870208,2.040133779264214,1.35669498381877,0.18065034122842233
ES,overnight_high,upper,LOW_VOLUME,36,20,6,4,0,26,0.5555555555555556,0.16666666666666666,0.3888888888888889,0.009355306625366211,UNDERPOWERED,-0.18114555427988266,1.8219533275713051,1.8544973544973544,0.07024265644955296
ES,overnight_high,upper,NORMAL_VOLUME,270,200,31,18,0,231,0.7407407407407407,0.11481481481481481,0.6259259259259259,1.8915021013313603e-31,OK,0.3278688524590164,2.1311475409836067,1.0582010582010584,0.375
ES,overnight_low,lower,HIGH_VOLUME,397,289,60,35,0,349,0.7279596977329975,0.15113350125944586,0.5768261964735516,4.480682594811372e-37,OK,0.48390243902439023,2.245335071647246,1.2642912642912645,0.23042671614100182
ES,overnight_low,lower,LOW_VOLUME,18,12,2,1,0,14,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.012939453125,UNDERPOWERED,0.0,1.4471243042671615,0.7792207792207793,0.30000000000000004
ES,overnight_low,lower,NORMAL_VOLUME,257,178,41,25,0,219,0.6926070038910506,0.15953307392996108,0.5330739299610895,1.5286010457167913e-21,OK,0.624463909754893,2.1233994166213477,1.2497559705863215,0.2554347826086957
ES,prev_rth_high,upper,HIGH_VOLUME,207,154,27,18,0,181,0.7439613526570048,0.13043478260869565,0.6135265700483091,8.524111847939963e-23,OK,0.2061855670103093,1.9095477386934674,1.0869565217391306,0.21739130434782608
ES,prev_rth_high,upper,LOW_VOLUME,42,32,6,3,0,38,0.7619047619047619,0.14285714285714285,0.6190476190476191,2.4342560209333897e-05,UNDERPOWERED,0.6451612903225806,2.0547945205479454,0.9302325581395349,0.0769230769230769
ES,prev_rth_high,upper,NORMAL_VOLUME,292,207,37,29,0,244,0.708904109589041,0.1267123287671233,0.5821917808219178,7.57622456179495e-30,OK,0.2061855670103093,2.019543973941368,1.2140575079872205,0.2363636363636364
ES,prev_rth_low,lower,HIGH_VOLUME,409,284,57,47,0,341,0.6943765281173594,0.1393643031784841,0.5550122249388753,2.239509699469044e-37,OK,0.7215080167557417,2.2604491624406764,1.1371788358810941,0.3484848484848485
ES,prev_rth_low,lower,LOW_VOLUME,16,7,3,1,0,10,0.4375,0.1875,0.25,0.34375,UNDERPOWERED,0.44025157232704404,1.8439716312056738,1.6666666666666665,0.17647058823529416
ES,prev_rth_low,lower,NORMAL_VOLUME,262,178,39,19,0,217,0.6793893129770993,0.14885496183206107,0.5305343511450382,2.0708134577353609e-22,OK,0.5006893094372729,1.9674840726048803,1.435932669185847,0.14285714285714288
NQ,overnight_high,upper,HIGH_VOLUME,458,319,95,30,0,414,0.6965065502183406,0.2074235807860262,0.4890829694323144,2.187575512109061e-29,OK,0.4266001718531498,2.0394333967189864,1.251943162496964,0.23763440860215057
NQ,overnight_high,upper,LOW_VOLUME,62,37,11,3,0,48,0.5967741935483871,0.1774193548387097,0.41935483870967744,0.0002222449626216872,OK,-0.9076682316118936,1.574803149606299,1.7886178861788617,-0.049645390070921995
NQ,overnight_high,upper,NORMAL_VOLUME,536,387,102,23,0,489,0.7220149253731343,0.19029850746268656,0.5317164179104478,4.235074342471666e-40,OK,0.3513509343126514,2.1322990566773212,1.2121633762950124,0.2803221288515406
NQ,overnight_low,lower,HIGH_VOLUME,552,373,103,66,0,476,0.6757246376811594,0.18659420289855072,0.4891304347826087,5.864632254310617e-37,OK,0.12373285629099584,1.9534074950044111,1.550759309340545,0.12094155844155846
NQ,overnight_low,lower,LOW_VOLUME,38,21,8,3,0,29,0.5526315789473685,0.21052631578947367,0.34210526315789475,0.0241195447742939,UNDERPOWERED,0.7271735138846234,1.7917448405253285,1.6026547135957605,0.04808680753854942
NQ,overnight_low,lower,NORMAL_VOLUME,429,290,79,32,0,369,0.675990675990676,0.18414918414918416,0.49184149184149184,1.9331498894161495e-29,OK,0.27397260273972607,2.113821138211382,1.305263157894737,0.23076923076923073
NQ,prev_rth_high,upper,HIGH_VOLUME,316,228,59,18,0,287,0.7215189873417721,0.18670886075949367,0.5348101265822784,1.3219814217998585e-24,OK,0.19002375296912113,1.9336219336219338,1.2,0.19205298013245034
NQ,prev_rth_high,upper,LOW_VOLUME,82,59,15,1,0,74,0.7195121951219512,0.18292682926829268,0.5365853658536586,2.5534220074411045e-07,OK,0.6746987951807228,2.1195652173913047,1.090617481956696,0.33333333333333337
NQ,prev_rth_high,upper,NORMAL_VOLUME,475,343,88,19,0,431,0.7221052631578947,0.18526315789473685,0.5368421052631579,1.2643696682275546e-36,OK,0.14175157452939835,1.9432850854493953,1.2379515983634977,0.1617262423714037
NQ,prev_rth_low,lower,HIGH_VOLUME,450,310,88,42,0,398,0.6888888888888889,0.19555555555555557,0.49333333333333335,4.304650057232239e-30,OK,0.36804232804232806,2.1353691448282763,1.316025215660252,0.20334034897141692
NQ,prev_rth_low,lower,LOW_VOLUME,41,28,7,3,0,35,0.6829268292682927,0.17073170731707318,0.5121951219512195,0.0005082604475319386,UNDERPOWERED,0.31840965540740473,1.6192510208467654,1.9032538499751612,0.008333333333333331
NQ,prev_rth_low,lower,NORMAL_VOLUME,357,240,68,25,0,308,0.6722689075630253,0.19047619047619047,0.48179271708683474,1.1942883401809898e-23,OK,0.5141388174807198,2.1641791044776117,1.3385826771653544,0.25179856115107907
