instrument,candle_state,horizon_min,n_observations,n_nontied,cont_minus_rev_first_rate,median_signed_close_atr,binom_p,is_primary,q_value,n_years_ge10,max_year_sign_agreement,effect_pp,classification
ES,BEARISH_1000,1,599,35,0.05843071786310518,0.11538461538461539,5.820766091346741e-11,False,1.358178754647573e-10,5,5,5.843071786310518,TEN_AM_CONTINUATION
ES,BEARISH_1000,3,599,82,0.1302170283806344,0.10526315789473684,1.4078614025652531e-21,False,4.927514908978386e-21,5,5,13.02170283806344,TEN_AM_CONTINUATION
ES,BEARISH_1000,5,599,136,0.18030050083472454,0.10416666666666667,1.0997594280179854e-22,False,7.698315996125898e-22,5,5,18.030050083472453,TEN_AM_CONTINUATION
ES,BEARISH_1000,10,599,218,0.25375626043405675,0.1125,7.630719008894817e-27,False,1.0683006612452743e-25,5,5,25.375626043405674,TEN_AM_CONTINUATION
ES,BEARISH_1000,15,599,290,0.2704507512520868,0.09803921568627451,2.3314506341191103e-22,True,1.0880102959222516e-21,5,5,27.04507512520868,TEN_AM_CONTINUATION
ES,BEARISH_1000,30,599,423,0.27545909849749584,0.10344827586206896,6.581600306539273e-16,False,1.8428480858309962e-15,5,4,27.545909849749584,TEN_AM_CONTINUATION
ES,BEARISH_1000,60,599,529,0.24874791318864775,0.08333333333333333,9.359749863534038e-11,False,1.8719499727068075e-10,5,4,24.874791318864776,TEN_AM_CONTINUATION
ES,BULLISH_1000,1,609,33,0.047619047619047616,0.10843373493975904,1.3085082173347473e-07,False,1.4091626955912665e-07,5,5,4.761904761904762,TEN_AM_MIXED_OR_NULL
ES,BULLISH_1000,3,609,69,0.08374384236453201,0.1,2.2444496451277593e-10,False,3.927786878973579e-10,5,5,8.374384236453201,TEN_AM_CONTINUATION
ES,BULLISH_1000,5,609,104,0.09852216748768473,0.1111111111111111,2.5683019697996157e-09,False,3.5956227577194617e-09,5,5,9.852216748768473,TEN_AM_CONTINUATION
ES,BULLISH_1000,10,609,198,0.1444991789819376,0.1,3.232443814205239e-10,False,5.02824593320815e-10,5,5,14.449917898193759,TEN_AM_CONTINUATION
ES,BULLISH_1000,15,609,269,0.11658456486042693,0.1079002079002079,1.77619055069139e-05,True,1.77619055069139e-05,5,5,11.658456486042693,TEN_AM_CONTINUATION
ES,BULLISH_1000,30,609,412,0.1839080459770115,0.176730869338886,3.76744000426419e-08,False,4.3953466716415556e-08,5,5,18.39080459770115,TEN_AM_CONTINUATION
ES,BULLISH_1000,60,609,521,0.20853858784893267,0.20618556701030927,2.9103007446621076e-08,False,3.704019129569955e-08,5,5,20.853858784893266,TEN_AM_CONTINUATION
NQ,BEARISH_1000,1,634,20,0.031545741324921134,0.10269010043041607,1.9073486328125e-06,False,2.2252400716145835e-06,5,5,3.1545741324921135,TEN_AM_MIXED_OR_NULL
NQ,BEARISH_1000,3,634,59,0.07728706624605679,0.1003875968992248,1.9067358802971057e-11,False,5.338860464831896e-11,5,5,7.728706624605679,TEN_AM_CONTINUATION
NQ,BEARISH_1000,5,634,116,0.1608832807570978,0.09723282789716738,1.1979893557656218e-24,False,1.6771850980718705e-23,5,5,16.08832807570978,TEN_AM_CONTINUATION
NQ,BEARISH_1000,10,634,198,0.21451104100946372,0.09014156033771345,9.765660002940914e-24,False,6.83596200205864e-23,5,5,21.451104100946374,TEN_AM_CONTINUATION
NQ,BEARISH_1000,15,634,289,0.23186119873817035,0.0997737556561086,1.5286735174529524e-18,True,7.133809748113777e-18,5,5,23.186119873817034,TEN_AM_CONTINUATION
NQ,BEARISH_1000,30,634,419,0.27287066246056785,0.08418871959369154,1.5043665515646046e-17,False,5.265282930476116e-17,5,4,27.287066246056785,TEN_AM_CONTINUATION
NQ,BEARISH_1000,60,634,533,0.23501577287066247,0.05732484076433121,1.1042545355018411e-10,False,2.5765939161709626e-10,5,4,23.501577287066247,TEN_AM_CONTINUATION
NQ,BULLISH_1000,1,631,17,0.02377179080824089,0.096045197740113,0.000274658203125,False,0.000274658203125,5,5,2.3771790808240887,UNDERPOWERED
NQ,BULLISH_1000,3,631,50,0.06656101426307448,0.08430232558139535,4.461782054931973e-10,False,8.923564109863946e-10,5,5,6.656101426307448,TEN_AM_CONTINUATION
NQ,BULLISH_1000,5,631,82,0.07923930269413629,0.09779179810725552,2.251979591393417e-08,False,3.94096428493848e-08,5,5,7.923930269413629,TEN_AM_CONTINUATION
NQ,BULLISH_1000,10,631,175,0.10301109350237718,0.09734513274336283,9.969346247665245e-07,False,1.3957084746731342e-06,5,5,10.301109350237718,TEN_AM_CONTINUATION
NQ,BULLISH_1000,15,631,255,0.10301109350237718,0.10164141414141414,5.624686518180996e-05,True,6.0573547118872266e-05,5,5,10.301109350237718,TEN_AM_CONTINUATION
NQ,BULLISH_1000,30,631,402,0.15530903328050713,0.15825771324863885,1.1686653404565874e-06,False,1.487392251490202e-06,5,5,15.530903328050712,TEN_AM_CONTINUATION
NQ,BULLISH_1000,60,631,527,0.1949286846275753,0.15592315110155033,9.410566969447514e-08,False,1.4638659730251688e-07,5,5,19.492868462757528,TEN_AM_CONTINUATION
