instrument,candle_state,horizon_min,year,n_observations,cont_minus_rev_first_rate,median_signed_close_atr,sign
ES,BEARISH_1000,1,2018,107,0.028037383177570093,0.1,1.0
ES,BEARISH_1000,1,2019,118,0.06779661016949153,0.125,1.0
ES,BEARISH_1000,1,2020,117,0.05128205128205128,0.10843373493975904,1.0
ES,BEARISH_1000,1,2021,119,0.0,0.09615384615384616,1.0
ES,BEARISH_1000,1,2022,138,0.13043478260869565,0.14326765188834154,1.0
ES,BEARISH_1000,3,2018,107,0.08411214953271028,0.09836065573770492,1.0
ES,BEARISH_1000,3,2019,118,0.1440677966101695,0.10154462242562928,1.0
ES,BEARISH_1000,3,2020,117,0.09401709401709402,0.0975609756097561,1.0
ES,BEARISH_1000,3,2021,119,0.09243697478991597,0.09090909090909091,1.0
ES,BEARISH_1000,3,2022,138,0.21739130434782608,0.13933265925176946,1.0
ES,BEARISH_1000,5,2018,107,0.19626168224299065,0.11538461538461539,1.0
ES,BEARISH_1000,5,2019,118,0.1864406779661017,0.10643115942028986,1.0
ES,BEARISH_1000,5,2020,117,0.11965811965811966,0.09523809523809523,1.0
ES,BEARISH_1000,5,2021,119,0.13445378151260504,0.07407407407407407,1.0
ES,BEARISH_1000,5,2022,138,0.2536231884057971,0.1446560907827698,1.0
ES,BEARISH_1000,10,2018,107,0.27102803738317754,0.075,1.0
ES,BEARISH_1000,10,2019,118,0.2542372881355932,0.1281524926686217,1.0
ES,BEARISH_1000,10,2020,117,0.23931623931623933,0.0603448275862069,1.0
ES,BEARISH_1000,10,2021,119,0.20168067226890757,0.08695652173913043,1.0
ES,BEARISH_1000,10,2022,138,0.2971014492753623,0.14717348927875243,1.0
ES,BEARISH_1000,15,2018,107,0.2523364485981308,0.08695652173913043,1.0
ES,BEARISH_1000,15,2019,118,0.2627118644067797,0.06666666666666667,1.0
ES,BEARISH_1000,15,2020,117,0.24786324786324787,0.03125,1.0
ES,BEARISH_1000,15,2021,119,0.2689075630252101,0.07936507936507936,1.0
ES,BEARISH_1000,15,2022,138,0.3115942028985507,0.177109440267335,1.0
ES,BEARISH_1000,30,2018,107,0.2803738317757009,0.10909090909090909,1.0
ES,BEARISH_1000,30,2019,118,0.2627118644067797,0.07378129117259552,1.0
ES,BEARISH_1000,30,2020,117,0.23076923076923078,-0.012195121951219513,-1.0
ES,BEARISH_1000,30,2021,119,0.25210084033613445,0.11363636363636363,1.0
ES,BEARISH_1000,30,2022,138,0.34057971014492755,0.1608997818934605,1.0
ES,BEARISH_1000,60,2018,107,0.24299065420560748,0.14285714285714285,1.0
ES,BEARISH_1000,60,2019,118,0.22033898305084745,0.0,0.0
ES,BEARISH_1000,60,2020,117,0.23076923076923078,0.1794871794871795,1.0
ES,BEARISH_1000,60,2021,119,0.23529411764705882,0.015873015873015872,1.0
ES,BEARISH_1000,60,2022,138,0.30434782608695654,0.1068539804171988,1.0
ES,BULLISH_1000,1,2018,123,0.056910569105691054,0.125,1.0
ES,BULLISH_1000,1,2019,123,0.032520325203252036,0.09090909090909091,1.0
ES,BULLISH_1000,1,2020,125,0.04,0.10126582278481013,1.0
ES,BULLISH_1000,1,2021,123,0.016260162601626018,0.07339449541284404,1.0
ES,BULLISH_1000,1,2022,115,0.09565217391304348,0.11650485436893204,1.0
ES,BULLISH_1000,3,2018,123,0.13821138211382114,0.12121212121212122,1.0
ES,BULLISH_1000,3,2019,123,0.06504065040650407,0.09090909090909091,1.0
ES,BULLISH_1000,3,2020,125,0.072,0.10204081632653061,1.0
ES,BULLISH_1000,3,2021,123,0.024390243902439025,0.10416666666666667,1.0
ES,BULLISH_1000,3,2022,115,0.12173913043478261,0.06976744186046512,1.0
ES,BULLISH_1000,5,2018,123,0.17073170731707318,0.09859154929577464,1.0
ES,BULLISH_1000,5,2019,123,0.08943089430894309,0.1276595744680851,1.0
ES,BULLISH_1000,5,2020,125,0.08,0.15,1.0
ES,BULLISH_1000,5,2021,123,0.0,0.07692307692307693,1.0
ES,BULLISH_1000,5,2022,115,0.1565217391304348,0.1,1.0
ES,BULLISH_1000,10,2018,123,0.24390243902439024,0.08695652173913043,1.0
ES,BULLISH_1000,10,2019,123,0.10569105691056911,0.07692307692307693,1.0
ES,BULLISH_1000,10,2020,125,0.16,0.13793103448275862,1.0
ES,BULLISH_1000,10,2021,123,0.07317073170731707,0.10091743119266056,1.0
ES,BULLISH_1000,10,2022,115,0.1391304347826087,0.0915032679738562,1.0
ES,BULLISH_1000,15,2018,123,0.1951219512195122,0.06896551724137931,1.0
ES,BULLISH_1000,15,2019,123,0.032520325203252036,0.0625,1.0
ES,BULLISH_1000,15,2020,125,0.16,0.14703436807095344,1.0
ES,BULLISH_1000,15,2021,123,0.04878048780487805,0.10526315789473684,1.0
ES,BULLISH_1000,15,2022,115,0.14782608695652175,0.14545454545454545,1.0
ES,BULLISH_1000,30,2018,123,0.22764227642276422,0.18115942028985507,1.0
ES,BULLISH_1000,30,2019,123,0.08130081300813008,0.1111111111111111,1.0
ES,BULLISH_1000,30,2020,125,0.256,0.26541666666666663,1.0
ES,BULLISH_1000,30,2021,123,0.08943089430894309,0.15384615384615385,1.0
ES,BULLISH_1000,30,2022,115,0.26956521739130435,0.17391304347826086,1.0
ES,BULLISH_1000,60,2018,123,0.22764227642276422,0.2727272727272727,1.0
ES,BULLISH_1000,60,2019,123,0.2032520325203252,0.21428571428571427,1.0
ES,BULLISH_1000,60,2020,125,0.272,0.125,1.0
ES,BULLISH_1000,60,2021,123,0.08943089430894309,0.14285714285714285,1.0
ES,BULLISH_1000,60,2022,115,0.25217391304347825,0.22641509433962265,1.0
NQ,BEARISH_1000,1,2018,115,0.008695652173913044,0.09523809523809523,1.0
NQ,BEARISH_1000,1,2019,118,0.0423728813559322,0.0946378124833431,1.0
NQ,BEARISH_1000,1,2020,121,0.008264462809917356,0.09040590405904059,1.0
NQ,BEARISH_1000,1,2021,134,0.007462686567164179,0.11305202661826981,1.0
NQ,BEARISH_1000,1,2022,146,0.0821917808219178,0.1340697341742235,1.0
NQ,BEARISH_1000,3,2018,115,0.043478260869565216,0.0967741935483871,1.0
NQ,BEARISH_1000,3,2019,118,0.11016949152542373,0.093891151425398,1.0
NQ,BEARISH_1000,3,2020,121,0.008264462809917356,0.09876543209876543,1.0
NQ,BEARISH_1000,3,2021,134,0.08208955223880597,0.09166350213326781,1.0
NQ,BEARISH_1000,3,2022,146,0.13013698630136986,0.13975962319311352,1.0
NQ,BEARISH_1000,5,2018,115,0.12173913043478261,0.0967741935483871,1.0
NQ,BEARISH_1000,5,2019,118,0.2033898305084746,0.058616173742224165,1.0
NQ,BEARISH_1000,5,2020,121,0.12396694214876033,0.08671586715867159,1.0
NQ,BEARISH_1000,5,2021,134,0.16417910447761194,0.10285644477021834,1.0
NQ,BEARISH_1000,5,2022,146,0.18493150684931506,0.12831534662520577,1.0
NQ,BEARISH_1000,10,2018,115,0.22608695652173913,0.06748466257668712,1.0
NQ,BEARISH_1000,10,2019,118,0.19491525423728814,0.08055650979045001,1.0
NQ,BEARISH_1000,10,2020,121,0.21487603305785125,0.07508532423208192,1.0
NQ,BEARISH_1000,10,2021,134,0.21641791044776118,0.09534877613194663,1.0
NQ,BEARISH_1000,10,2022,146,0.2191780821917808,0.1159608283399386,1.0
NQ,BEARISH_1000,15,2018,115,0.16521739130434782,0.033707865168539325,1.0
NQ,BEARISH_1000,15,2019,118,0.17796610169491525,0.03881655357906963,1.0
NQ,BEARISH_1000,15,2020,121,0.2644628099173554,0.10887096774193548,1.0
NQ,BEARISH_1000,15,2021,134,0.27611940298507465,0.11017409880522935,1.0
NQ,BEARISH_1000,15,2022,146,0.2602739726027397,0.1576887936973909,1.0
NQ,BEARISH_1000,30,2018,115,0.26956521739130435,0.0821256038647343,1.0
NQ,BEARISH_1000,30,2019,118,0.19491525423728814,-0.03540853765069012,-1.0
NQ,BEARISH_1000,30,2020,121,0.30578512396694213,0.09422492401215805,1.0
NQ,BEARISH_1000,30,2021,134,0.2462686567164179,0.06215806825269536,1.0
NQ,BEARISH_1000,30,2022,146,0.3356164383561644,0.13739194578271594,1.0
NQ,BEARISH_1000,60,2018,115,0.2956521739130435,0.07784431137724551,1.0
NQ,BEARISH_1000,60,2019,118,0.1016949152542373,-0.017103109656301147,-1.0
NQ,BEARISH_1000,60,2020,121,0.2809917355371901,0.05113611131670491,1.0
NQ,BEARISH_1000,60,2021,134,0.20149253731343283,0.06356353429623998,1.0
NQ,BEARISH_1000,60,2022,146,0.2876712328767123,0.1425317095557669,1.0
NQ,BULLISH_1000,1,2018,134,0.03731343283582089,0.11170639603493038,1.0
NQ,BULLISH_1000,1,2019,134,0.014925373134328358,0.10117753320175292,1.0
NQ,BULLISH_1000,1,2020,131,0.015267175572519083,0.08717948717948718,1.0
NQ,BULLISH_1000,1,2021,123,0.008130081300813009,0.07109004739336493,1.0
NQ,BULLISH_1000,1,2022,109,0.045871559633027525,0.11566265060240964,1.0
NQ,BULLISH_1000,3,2018,134,0.1044776119402985,0.10582306830907054,1.0
NQ,BULLISH_1000,3,2019,134,0.04477611940298507,0.09271822704658525,1.0
NQ,BULLISH_1000,3,2020,131,0.06870229007633588,0.05416666666666667,1.0
NQ,BULLISH_1000,3,2021,123,0.04065040650406504,0.08430232558139535,1.0
NQ,BULLISH_1000,3,2022,109,0.07339449541284404,0.08357348703170028,1.0
NQ,BULLISH_1000,5,2018,134,0.1044776119402985,0.07212401928348616,1.0
NQ,BULLISH_1000,5,2019,134,0.07462686567164178,0.10994321614111394,1.0
NQ,BULLISH_1000,5,2020,131,0.06870229007633588,0.10588235294117647,1.0
NQ,BULLISH_1000,5,2021,123,0.04878048780487805,0.10344827586206896,1.0
NQ,BULLISH_1000,5,2022,109,0.10091743119266056,0.10919540229885058,1.0
NQ,BULLISH_1000,10,2018,134,0.15671641791044777,0.056157996752056155,1.0
NQ,BULLISH_1000,10,2019,134,0.029850746268656716,0.06358398669517701,1.0
NQ,BULLISH_1000,10,2020,131,0.10687022900763359,0.1223021582733813,1.0
NQ,BULLISH_1000,10,2021,123,0.06504065040650407,0.11003236245954692,1.0
NQ,BULLISH_1000,10,2022,109,0.1651376146788991,0.11216730038022814,1.0
NQ,BULLISH_1000,15,2018,134,0.1044776119402985,0.06494060310691441,1.0
NQ,BULLISH_1000,15,2019,134,0.06716417910447761,0.04906204906204906,1.0
NQ,BULLISH_1000,15,2020,131,0.1450381679389313,0.1227532289292454,1.0
NQ,BULLISH_1000,15,2021,123,0.056910569105691054,0.15384615384615385,1.0
NQ,BULLISH_1000,15,2022,109,0.14678899082568808,0.11428571428571428,1.0
NQ,BULLISH_1000,30,2018,134,0.12686567164179105,0.14487535520537329,1.0
NQ,BULLISH_1000,30,2019,134,0.11940298507462686,0.16228070175438597,1.0
NQ,BULLISH_1000,30,2020,131,0.183206106870229,0.21514447884416926,1.0
NQ,BULLISH_1000,30,2021,123,0.13008130081300814,0.13786008230452676,1.0
NQ,BULLISH_1000,30,2022,109,0.22935779816513763,0.12824675324675325,1.0
NQ,BULLISH_1000,60,2018,134,0.17164179104477612,0.09158218125960062,1.0
NQ,BULLISH_1000,60,2019,134,0.22388059701492538,0.2028726840047595,1.0
NQ,BULLISH_1000,60,2020,131,0.20610687022900764,0.1313813400814171,1.0
NQ,BULLISH_1000,60,2021,123,0.14634146341463414,0.1509433962264151,1.0
NQ,BULLISH_1000,60,2022,109,0.22935779816513763,0.23897058823529413,1.0
