instrument,side,freshness,activation_window,horizon_min,n_observations,n_nontied,rev_minus_brk_first_rate,median_signed_close_atr,binom_p,is_primary,q_value,n_years_ge10,max_year_sign_agreement,effect_pp,classification
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,5,97,20,0.08247422680412371,0.07079646017699115,0.11531829833984375,False,0.30518952358937296,5,3,8.24742268041237,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,10,97,44,0.10309278350515463,0.08108108108108109,0.17417114727072658,False,0.376407965587597,5,4,10.309278350515463,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,15,97,50,0.12371134020618557,0.06451612903225806,0.11892045255943628,False,0.30518952358937296,5,4,12.371134020618557,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,30,97,74,0.18556701030927836,0.0,0.04739297550405176,False,0.16587541426418118,5,2,18.556701030927837,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,60,97,90,0.16494845360824742,0.14432989690721648,0.11334435404342058,False,0.30518952358937296,5,3,16.49484536082474,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_5MIN,3,197,21,0.03553299492385787,0.02857142857142857,0.18924713134765625,False,0.387725830078125,5,3,3.5532994923857872,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_5MIN,5,197,37,0.06598984771573604,0.0684931506849315,0.04703102743951604,False,0.16587541426418118,5,4,6.598984771573605,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_5MIN,10,197,78,0.10152284263959391,0.017857142857142856,0.030786495821399938,False,0.1261495438535412,5,3,10.152284263959391,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_5MIN,15,197,97,0.08629441624365482,0.06,0.10376938287271803,False,0.30057338487270047,5,3,8.629441624365482,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_5MIN,30,197,151,0.16751269035532995,0.05357142857142857,0.008986616457699267,False,0.06680297212701748,5,4,16.751269035532996,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_5MIN,60,197,180,0.14213197969543148,0.08108108108108109,0.043871011453903486,False,0.16378510942790633,5,5,14.213197969543149,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_10MIN,3,255,28,0.03137254901960784,0.0273972602739726,0.1849333420395851,False,0.38356545015617655,5,4,3.1372549019607843,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_10MIN,5,255,49,0.07450980392156863,0.06756756756756757,0.009399241523873059,False,0.06680297212701748,5,4,7.450980392156863,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_10MIN,60,255,231,0.1607843137254902,0.08108108108108109,0.008352148678445725,False,0.06680297212701748,5,3,16.07843137254902,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_15MIN,3,304,30,0.02631578947368421,0.0,0.20048842206597334,False,0.4058078904467894,5,4,2.631578947368421,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_15MIN,5,304,54,0.05921052631578947,0.06284461152882205,0.01983432672806828,False,0.10413021532235846,5,3,5.921052631578947,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_15MIN,15,304,144,0.10526315789473684,0.05692307692307692,0.009543281732431068,False,0.06680297212701748,5,4,10.526315789473683,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_15MIN,60,304,275,0.13486842105263158,0.07082082082082082,0.015707685358507206,False,0.08796303800764035,5,4,13.486842105263158,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_30MIN,3,359,34,0.022284122562674095,0.0,0.22948101302608848,False,0.4432167184763941,5,3,2.2284122562674096,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_30MIN,5,359,63,0.052924791086350974,0.06060606060606061,0.022574972673257185,False,0.10560125896093571,5,4,5.2924791086350975,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_30MIN,60,359,318,0.116991643454039,0.07547169811320754,0.02134858027673847,False,0.10560125896093571,5,4,11.699164345403899,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_60MIN,3,411,41,0.012165450121654502,0.0,0.5327092552361137,False,0.7715099558591991,5,3,1.2165450121654502,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_60MIN,5,411,74,0.0340632603406326,0.05,0.13017768031912758,False,0.31242643276590615,5,4,3.40632603406326,MIXED_OR_NULL
ES,lower,PRETOUCHED,WITHIN_60MIN,10,411,145,0.06569343065693431,0.008695652173913044,0.030481814649487685,False,0.1261495438535412,5,3,6.569343065693431,MIXED_OR_NULL
