session_date,n_bars,n_valid_z1,n_ev_k1,n_ev_k3
2018-01-03,1360,0,0,0
2018-01-04,1361,0,0,0
2018-01-05,1336,0,0,0
2018-01-08,1348,0,0,0
2018-01-09,1363,0,0,0
2018-01-10,1359,0,0,0
2018-01-11,1358,0,0,0
2018-01-12,1354,0,0,0
2018-01-15,1129,0,0,0
2018-01-16,1356,0,0,0
2018-01-17,1365,0,0,0
2018-01-18,1360,0,0,0
2018-01-19,1366,0,0,0
2018-01-22,1358,0,0,0
2018-01-23,1363,0,0,0
2018-01-24,1361,0,0,0
2018-01-25,1363,0,0,0
2018-01-26,1357,0,0,0
2018-01-29,1361,0,0,0
2018-01-30,1365,0,0,0
2018-01-31,1364,975,123,94
2018-02-01,1363,1277,206,162
2018-02-02,1365,1333,291,294
2018-02-05,1365,1328,402,459
2018-02-06,1365,1356,892,978
2018-02-07,1365,1350,480,585
2018-02-08,1365,1354,502,622
2018-02-09,1365,1354,548,681
2018-02-12,1365,1354,254,317
2018-02-13,1365,1354,184,266
2018-02-14,1365,1355,126,147
2018-02-15,1365,1356,85,108
2018-02-16,1360,1351,99,132
2018-02-19,1138,1126,35,16
2018-02-20,1364,1354,83,155
2018-02-21,1365,1359,106,158
2018-02-22,1365,1359,143,190
2018-02-23,1365,1361,70,93
2018-02-26,1365,1360,27,44
2018-02-27,1365,1359,78,92
2018-02-28,1365,1361,72,121
2018-03-01,1365,1362,260,308
2018-03-02,1365,1363,195,249
2018-03-05,1365,1362,148,225
2018-03-06,1365,1362,61,80
2018-03-07,1365,1364,138,250
2018-03-08,1365,1362,31,52
2018-03-09,1362,1358,32,57
2018-03-12,1363,1362,21,41
2018-03-13,1355,1352,38,35
2018-03-14,1362,1360,34,61
2018-03-15,1363,1361,42,71
2018-03-16,1364,1362,13,22
2018-03-19,1365,1362,52,65
2018-03-20,1365,1362,20,48
2018-03-21,1363,1361,33,47
2018-03-22,1362,1359,108,141
2018-03-23,1365,1363,230,283
2018-03-26,1365,1362,138,196
2018-03-27,1365,1364,100,113
2018-03-28,1365,1364,268,348
2018-03-29,1365,1364,95,127
2018-04-02,1364,1362,99,125
2018-04-03,1365,1364,75,82
2018-04-04,1364,1363,132,157
2018-04-05,1365,1364,61,89
2018-04-06,1365,1364,195,230
2018-04-09,1365,1364,53,66
2018-04-10,1365,1364,134,171
2018-04-11,1364,1363,47,49
2018-04-12,1365,1364,43,32
2018-04-13,1364,1363,23,28
2018-04-16,1365,1364,14,20
2018-04-17,1364,1363,13,12
2018-04-18,1364,1363,3,4
2018-04-19,1361,1360,12,6
2018-04-20,1364,1363,15,16
2018-04-23,1364,1363,9,9
2018-04-24,1358,1357,19,21
