session_date,n_bars,n_valid_z1,n_ev_k1,n_ev_k3
2018-01-03,1330,0,0,0
2018-01-04,1361,0,0,0
2018-01-05,1356,0,0,0
2018-01-08,1352,0,0,0
2018-01-09,1348,0,0,0
2018-01-10,1358,0,0,0
2018-01-11,1358,0,0,0
2018-01-12,1357,0,0,0
2018-01-15,1132,0,0,0
2018-01-16,1360,0,0,0
2018-01-17,1365,0,0,0
2018-01-18,1365,0,0,0
2018-01-19,1364,0,0,0
2018-01-22,1359,0,0,0
2018-01-23,1365,0,0,0
2018-01-24,1359,0,0,0
2018-01-25,1361,0,0,0
2018-01-26,1362,0,0,0
2018-01-29,1364,0,0,0
2018-01-30,1365,0,0,0
2018-01-31,1364,1022,103,102
2018-02-01,1363,1344,175,164
2018-02-02,1365,1362,342,324
2018-02-05,1365,1364,417,423
2018-02-06,1365,1364,882,928
2018-02-07,1365,1364,539,534
2018-02-08,1365,1364,571,554
2018-02-09,1365,1364,631,688
2018-02-12,1363,1362,266,248
2018-02-13,1365,1364,229,217
2018-02-14,1364,1363,138,121
2018-02-15,1365,1364,99,90
2018-02-16,1365,1364,110,90
2018-02-19,1126,1125,27,12
2018-02-20,1364,1363,128,106
2018-02-21,1365,1364,179,141
2018-02-22,1365,1364,180,158
2018-02-23,1363,1362,96,67
2018-02-26,1365,1364,42,21
2018-02-27,1365,1364,71,64
2018-02-28,1365,1364,90,76
2018-03-01,1365,1364,253,247
2018-03-02,1365,1364,220,183
2018-03-05,1364,1363,174,148
2018-03-06,1365,1364,65,39
2018-03-07,1365,1364,152,163
2018-03-08,1365,1364,34,21
2018-03-09,1359,1358,48,31
2018-03-12,1363,1362,25,19
2018-03-13,1354,1353,47,42
2018-03-14,1364,1363,66,60
2018-03-15,1365,1364,65,53
2018-03-16,1365,1364,32,17
2018-03-19,1365,1364,102,102
2018-03-20,1365,1364,65,78
2018-03-21,1355,1354,60,46
2018-03-22,1365,1364,149,138
2018-03-23,1365,1364,313,312
2018-03-26,1365,1364,216,202
2018-03-27,1365,1364,162,160
2018-03-28,1365,1364,405,409
2018-03-29,1365,1364,194,170
2018-04-02,1364,1363,154,145
2018-04-03,1365,1364,136,115
2018-04-04,1364,1363,171,165
2018-04-05,1365,1364,97,110
2018-04-06,1365,1364,246,227
2018-04-09,1364,1363,83,69
2018-04-10,1366,1364,155,157
2018-04-11,1365,1364,55,44
2018-04-12,1363,1362,44,30
2018-04-13,1364,1363,18,14
2018-04-16,1365,1364,32,17
2018-04-17,1365,1364,15,9
2018-04-18,1358,1357,7,3
2018-04-19,1360,1359,11,5
2018-04-20,1364,1363,19,17
2018-04-23,1365,1364,22,14
2018-04-24,1358,1357,22,22
2018-04-25,1364,1363,43,57
2018-04-26,1364,1363,29,27
2018-04-27,1364,1363,11,7
2018-04-30,1334,1333,15,5
2018-05-01,1360,1359,22,22
