instrument,k,z_thr,anchor,rule,status,n,post_cont_rate,post_n_decided,post_fret_15_ticks,post_fret_30_ticks,post_fret_60_ticks,evt_cont_rate
ES,1,3.0,g,A1,ACCEPT,7403,0.49008421624558546,7362.0,-0.26378437542755506,0.1287857738260628,-0.5515765444428592,0.5671459576776994
ES,1,3.0,g,A1,REJECT,133,0.5488721804511278,133.0,-0.9849624060150376,6.097744360902255,6.7293233082706765,0.08270676691729323
ES,1,3.0,g,A2,ACCEPT,6869,0.48043382676242125,6823.0,-0.7055350553505535,-0.2278937096532052,-0.7954019441444221,0.5795089155217773
ES,1,3.0,g,A2,REJECT,302,0.46511627906976744,301.0,-0.2823920265780731,1.9136212624584719,0.9566666666666667,0.14285714285714285
ES,1,3.0,r,A1,ACCEPT,3219,,,,,,0.5942301661962998
ES,1,3.0,r,A1,REJECT,54,,,,,,0.07407407407407407
ES,1,3.0,r,A2,ACCEPT,2998,,,,,,0.6110363391655451
ES,1,3.0,r,A2,REJECT,122,,,,,,0.11475409836065574
ES,1,4.0,g,A1,ACCEPT,4964,0.4909827760891591,4935.0,-0.2632761437908497,0.008937850758678029,-0.751067463706234,0.5557579437360858
ES,1,4.0,g,A1,REJECT,97,0.5257731958762887,97.0,-1.597938144329897,6.536082474226804,7.845360824742268,0.09278350515463918
ES,1,4.0,g,A2,ACCEPT,4604,0.4845631705714911,4567.0,-0.9283193647992942,-0.49415204678362573,-1.2546210720887245,0.5675321841588479
ES,1,4.0,g,A2,REJECT,222,0.45248868778280543,221.0,0.8959276018099548,4.208144796380091,4.104072398190045,0.15384615384615385
ES,1,4.0,r,A1,ACCEPT,2023,,,,,,0.5762118940529735
ES,1,4.0,r,A1,REJECT,32,,,,,,0.09375
ES,1,4.0,r,A2,ACCEPT,1889,,,,,,0.5912252541466024
ES,1,4.0,r,A2,REJECT,75,,,,,,0.16
ES,3,3.0,g,A1,ACCEPT,10685,0.4884180790960452,10620.0,-0.03618233618233618,0.1731158930811541,-0.10489441484112887,0.5624295906871949
ES,3,3.0,g,A1,REJECT,172,0.5,172.0,-1.8830409356725146,5.269005847953216,7.742690058479532,0.11627906976744186
ES,3,3.0,g,A2,ACCEPT,9844,0.4888433981576254,9770.0,-0.18542225893041503,-0.10930281394372113,-0.16133190118152524,0.5754457463066734
ES,3,3.0,g,A2,REJECT,387,0.45595854922279794,386.0,0.5362694300518135,3.77720207253886,4.007792207792208,0.16062176165803108
ES,3,3.0,r,A1,ACCEPT,4425,,,,,,0.5787913340935006
ES,3,3.0,r,A1,REJECT,56,,,,,,0.017857142857142856
