year,segment,direction,n,instrument,k,z_thr
2018,afternoon,-1,1017,ES,1,3.0
2018,afternoon,1,1037,ES,1,3.0
2018,cashopen,-1,183,ES,1,3.0
2018,cashopen,1,216,ES,1,3.0
2018,close,-1,588,ES,1,3.0
2018,close,1,550,ES,1,3.0
2018,european,-1,1995,ES,1,3.0
2018,european,1,1986,ES,1,3.0
2018,midday,-1,1573,ES,1,3.0
2018,midday,1,1522,ES,1,3.0
2018,morning,-1,711,ES,1,3.0
2018,morning,1,686,ES,1,3.0
2018,overnight,-1,3768,ES,1,3.0
2018,overnight,1,3811,ES,1,3.0
2018,precash,-1,447,ES,1,3.0
2018,precash,1,455,ES,1,3.0
2019,afternoon,-1,491,ES,1,3.0
2019,afternoon,1,485,ES,1,3.0
2019,cashopen,-1,101,ES,1,3.0
2019,cashopen,1,94,ES,1,3.0
2019,close,-1,235,ES,1,3.0
2019,close,1,200,ES,1,3.0
2019,european,-1,1333,ES,1,3.0
2019,european,1,1340,ES,1,3.0
2019,midday,-1,821,ES,1,3.0
2019,midday,1,798,ES,1,3.0
2019,morning,-1,349,ES,1,3.0
2019,morning,1,334,ES,1,3.0
2019,overnight,-1,1809,ES,1,3.0
2019,overnight,1,1910,ES,1,3.0
2019,precash,-1,352,ES,1,3.0
2019,precash,1,368,ES,1,3.0
2020,afternoon,-1,1180,ES,1,3.0
2020,afternoon,1,1175,ES,1,3.0
2020,cashopen,-1,330,ES,1,3.0
2020,cashopen,1,304,ES,1,3.0
2020,close,-1,852,ES,1,3.0
2020,close,1,811,ES,1,3.0
2020,european,-1,3960,ES,1,3.0
2020,european,1,3863,ES,1,3.0
2020,midday,-1,2099,ES,1,3.0
2020,midday,1,1905,ES,1,3.0
2020,morning,-1,1129,ES,1,3.0
2020,morning,1,1071,ES,1,3.0
2020,overnight,-1,6292,ES,1,3.0
2020,overnight,1,6190,ES,1,3.0
2020,precash,-1,693,ES,1,3.0
2020,precash,1,709,ES,1,3.0
2021,afternoon,-1,658,ES,1,3.0
2021,afternoon,1,724,ES,1,3.0
2021,cashopen,-1,183,ES,1,3.0
2021,cashopen,1,165,ES,1,3.0
2021,close,-1,451,ES,1,3.0
2021,close,1,409,ES,1,3.0
2021,european,-1,2874,ES,1,3.0
2021,european,1,2775,ES,1,3.0
2021,midday,-1,1223,ES,1,3.0
2021,midday,1,1140,ES,1,3.0
2021,morning,-1,654,ES,1,3.0
2021,morning,1,661,ES,1,3.0
2021,overnight,-1,3280,ES,1,3.0
2021,overnight,1,3212,ES,1,3.0
2021,precash,-1,533,ES,1,3.0
2021,precash,1,545,ES,1,3.0
2022,afternoon,-1,541,ES,1,3.0
2022,afternoon,1,564,ES,1,3.0
2022,cashopen,-1,107,ES,1,3.0
2022,cashopen,1,120,ES,1,3.0
2022,close,-1,650,ES,1,3.0
2022,close,1,676,ES,1,3.0
2022,european,-1,2096,ES,1,3.0
2022,european,1,2114,ES,1,3.0
2022,midday,-1,797,ES,1,3.0
2022,midday,1,739,ES,1,3.0
2022,morning,-1,409,ES,1,3.0
2022,morning,1,429,ES,1,3.0
2022,overnight,-1,3783,ES,1,3.0
2022,overnight,1,3801,ES,1,3.0
2022,precash,-1,433,ES,1,3.0
2022,precash,1,423,ES,1,3.0
2018,afternoon,-1,613,ES,1,4.0
2018,afternoon,1,662,ES,1,4.0
2018,cashopen,-1,90,ES,1,4.0
2018,cashopen,1,100,ES,1,4.0
2018,close,-1,390,ES,1,4.0
2018,close,1,322,ES,1,4.0
2018,european,-1,1202,ES,1,4.0
2018,european,1,1164,ES,1,4.0
2018,midday,-1,976,ES,1,4.0
2018,midday,1,903,ES,1,4.0
2018,morning,-1,365,ES,1,4.0
2018,morning,1,354,ES,1,4.0
2018,overnight,-1,3016,ES,1,4.0
2018,overnight,1,3018,ES,1,4.0
2018,precash,-1,269,ES,1,4.0
2018,precash,1,283,ES,1,4.0
2019,afternoon,-1,294,ES,1,4.0
2019,afternoon,1,281,ES,1,4.0
2019,cashopen,-1,42,ES,1,4.0
2019,cashopen,1,46,ES,1,4.0
2019,close,-1,114,ES,1,4.0
2019,close,1,79,ES,1,4.0
2019,european,-1,749,ES,1,4.0
2019,european,1,731,ES,1,4.0
2019,midday,-1,457,ES,1,4.0
2019,midday,1,463,ES,1,4.0
2019,morning,-1,154,ES,1,4.0
2019,morning,1,141,ES,1,4.0
2019,overnight,-1,1294,ES,1,4.0
2019,overnight,1,1423,ES,1,4.0
2019,precash,-1,201,ES,1,4.0
2019,precash,1,193,ES,1,4.0
2020,afternoon,-1,845,ES,1,4.0
2020,afternoon,1,813,ES,1,4.0
2020,cashopen,-1,228,ES,1,4.0
2020,cashopen,1,180,ES,1,4.0
2020,close,-1,601,ES,1,4.0
2020,close,1,567,ES,1,4.0
2020,european,-1,2721,ES,1,4.0
2020,european,1,2654,ES,1,4.0
2020,midday,-1,1434,ES,1,4.0
2020,midday,1,1339,ES,1,4.0
2020,morning,-1,736,ES,1,4.0
2020,morning,1,708,ES,1,4.0
2020,overnight,-1,4584,ES,1,4.0
2020,overnight,1,4556,ES,1,4.0
2020,precash,-1,487,ES,1,4.0
2020,precash,1,504,ES,1,4.0
2021,afternoon,-1,345,ES,1,4.0
2021,afternoon,1,381,ES,1,4.0
2021,cashopen,-1,73,ES,1,4.0
2021,cashopen,1,70,ES,1,4.0
2021,close,-1,236,ES,1,4.0
2021,close,1,214,ES,1,4.0
2021,european,-1,1664,ES,1,4.0
2021,european,1,1535,ES,1,4.0
2021,midday,-1,660,ES,1,4.0
2021,midday,1,580,ES,1,4.0
2021,morning,-1,305,ES,1,4.0
2021,morning,1,307,ES,1,4.0
2021,overnight,-1,1971,ES,1,4.0
2021,overnight,1,1835,ES,1,4.0
2021,precash,-1,282,ES,1,4.0
2021,precash,1,299,ES,1,4.0
2022,afternoon,-1,274,ES,1,4.0
2022,afternoon,1,296,ES,1,4.0
2022,cashopen,-1,32,ES,1,4.0
2022,cashopen,1,44,ES,1,4.0
2022,close,-1,364,ES,1,4.0
2022,close,1,402,ES,1,4.0
2022,european,-1,961,ES,1,4.0
2022,european,1,998,ES,1,4.0
2022,midday,-1,348,ES,1,4.0
2022,midday,1,337,ES,1,4.0
2022,morning,-1,146,ES,1,4.0
2022,morning,1,177,ES,1,4.0
2022,overnight,-1,2124,ES,1,4.0
2022,overnight,1,2108,ES,1,4.0
2022,precash,-1,212,ES,1,4.0
2022,precash,1,211,ES,1,4.0
2018,afternoon,-1,1053,ES,3,3.0
2018,afternoon,1,1014,ES,3,3.0
2018,cashopen,-1,173,ES,3,3.0
2018,cashopen,1,173,ES,3,3.0
2018,close,-1,701,ES,3,3.0
2018,close,1,602,ES,3,3.0
2018,european,-1,2941,ES,3,3.0
2018,european,1,2848,ES,3,3.0
2018,midday,-1,1640,ES,3,3.0
2018,midday,1,1469,ES,3,3.0
2018,morning,-1,704,ES,3,3.0
2018,morning,1,647,ES,3,3.0
2018,overnight,-1,4453,ES,3,3.0
2018,overnight,1,4622,ES,3,3.0
2018,precash,-1,465,ES,3,3.0
2018,precash,1,492,ES,3,3.0
2019,afternoon,-1,405,ES,3,3.0
2019,afternoon,1,422,ES,3,3.0
2019,cashopen,-1,93,ES,3,3.0
2019,cashopen,1,93,ES,3,3.0
2019,close,-1,313,ES,3,3.0
2019,close,1,232,ES,3,3.0
2019,european,-1,2029,ES,3,3.0
2019,european,1,2012,ES,3,3.0
2019,midday,-1,737,ES,3,3.0
2019,midday,1,677,ES,3,3.0
2019,morning,-1,380,ES,3,3.0
2019,morning,1,335,ES,3,3.0
2019,overnight,-1,2469,ES,3,3.0
2019,overnight,1,2542,ES,3,3.0
2019,precash,-1,339,ES,3,3.0
2019,precash,1,320,ES,3,3.0
2020,afternoon,-1,1209,ES,3,3.0
2020,afternoon,1,1172,ES,3,3.0
2020,cashopen,-1,349,ES,3,3.0
2020,cashopen,1,290,ES,3,3.0
2020,close,-1,893,ES,3,3.0
2020,close,1,852,ES,3,3.0
2020,european,-1,4259,ES,3,3.0
2020,european,1,3957,ES,3,3.0
2020,midday,-1,2168,ES,3,3.0
2020,midday,1,1908,ES,3,3.0
2020,morning,-1,1143,ES,3,3.0
2020,morning,1,1029,ES,3,3.0
2020,overnight,-1,6832,ES,3,3.0
2020,overnight,1,6667,ES,3,3.0
2020,precash,-1,678,ES,3,3.0
2020,precash,1,717,ES,3,3.0
2021,afternoon,-1,691,ES,3,3.0
2021,afternoon,1,711,ES,3,3.0
2021,cashopen,-1,170,ES,3,3.0
2021,cashopen,1,172,ES,3,3.0
2021,close,-1,551,ES,3,3.0
2021,close,1,457,ES,3,3.0
2021,european,-1,2583,ES,3,3.0
2021,european,1,2309,ES,3,3.0
2021,midday,-1,1258,ES,3,3.0
2021,midday,1,1133,ES,3,3.0
2021,morning,-1,677,ES,3,3.0
2021,morning,1,641,ES,3,3.0
2021,overnight,-1,3918,ES,3,3.0
2021,overnight,1,3719,ES,3,3.0
2021,precash,-1,487,ES,3,3.0
2021,precash,1,527,ES,3,3.0
2022,afternoon,-1,593,ES,3,3.0
2022,afternoon,1,630,ES,3,3.0
2022,cashopen,-1,89,ES,3,3.0
2022,cashopen,1,115,ES,3,3.0
2022,close,-1,607,ES,3,3.0
2022,close,1,598,ES,3,3.0
2022,european,-1,1903,ES,3,3.0
2022,european,1,1843,ES,3,3.0
2022,midday,-1,853,ES,3,3.0
2022,midday,1,773,ES,3,3.0
2022,morning,-1,421,ES,3,3.0
2022,morning,1,477,ES,3,3.0
2022,overnight,-1,3545,ES,3,3.0
2022,overnight,1,3536,ES,3,3.0
2022,precash,-1,441,ES,3,3.0
2022,precash,1,426,ES,3,3.0
2018,afternoon,-1,587,ES,3,4.0
2018,afternoon,1,612,ES,3,4.0
2018,cashopen,-1,69,ES,3,4.0
2018,cashopen,1,82,ES,3,4.0
2018,close,-1,433,ES,3,4.0
2018,close,1,348,ES,3,4.0
2018,european,-1,1722,ES,3,4.0
2018,european,1,1626,ES,3,4.0
2018,midday,-1,912,ES,3,4.0
2018,midday,1,831,ES,3,4.0
2018,morning,-1,373,ES,3,4.0
2018,morning,1,313,ES,3,4.0
2018,overnight,-1,2897,ES,3,4.0
2018,overnight,1,2926,ES,3,4.0
2018,precash,-1,267,ES,3,4.0
2018,precash,1,272,ES,3,4.0
2019,afternoon,-1,178,ES,3,4.0
2019,afternoon,1,205,ES,3,4.0
2019,cashopen,-1,32,ES,3,4.0
2019,cashopen,1,46,ES,3,4.0
2019,close,-1,170,ES,3,4.0
2019,close,1,110,ES,3,4.0
2019,european,-1,1205,ES,3,4.0
2019,european,1,1164,ES,3,4.0
