instrument,k,z_thr,segment,n,cont_rate,fret_30_ticks
ES,1,3.0,afternoon,7872,0.4872967479674797,-0.036458333333333336
ES,1,3.0,cashopen,1798,0.45272525027808674,-2.685761957730812
ES,1,3.0,close,5010,0.47744510978043914,1.393672041375114
ES,1,3.0,european,24332,0.48721847772480686,-0.262945914844649
ES,1,3.0,midday,12616,0.49500634115409003,0.05371900826446281
ES,1,3.0,morning,6429,0.4913672421838544,-0.545227698066126
ES,1,3.0,overnight,37853,0.4767653818719784,-0.1530658072015428
ES,1,3.0,precash,4958,0.4759983864461476,0.6090817356205853
ES,1,4.0,afternoon,4804,0.48626144879267275,0.13218151540383014
ES,1,4.0,cashopen,900,0.46111111111111114,-3.5944444444444446
ES,1,4.0,close,3032,0.4808707124010554,2.0497642744892612
ES,1,4.0,european,14376,0.4788536449638286,-0.6304952698942682
ES,1,4.0,midday,7496,0.4935965848452508,-0.0862760834670947
ES,1,4.0,morning,3389,0.48568899380348185,0.3073503260225252
ES,1,4.0,overnight,25926,0.4723443647303865,-0.12605106842551878
ES,1,4.0,precash,2941,0.4726283577014621,1.031621897313839
ES,3,3.0,afternoon,7900,0.47367088607594937,0.004810126582278481
ES,3,3.0,cashopen,1712,0.4713785046728972,-6.178154205607477
ES,3,3.0,close,5296,0.49395770392749244,5.744983818770226
ES,3,3.0,european,26679,0.47726676412159375,-0.7361220435548559
ES,3,3.0,midday,12614,0.4835896622800063,-0.04373409669211196
ES,3,3.0,morning,6450,0.47782945736434107,-1.2634032634032635
ES,3,3.0,overnight,42298,0.4722918341292732,0.04177502482386874
ES,3,3.0,precash,4892,0.47097301717089124,0.5090983438969536
ES,3,4.0,afternoon,4513,0.4693108796809218,0.13760248171947706
ES,3,4.0,cashopen,814,0.4864864864864865,-11.269041769041769
ES,3,4.0,close,3111,0.4847315975570556,7.90832328106152
ES,3,4.0,european,15180,0.47608695652173916,-0.9918313570487484
ES,3,4.0,midday,7120,0.48651685393258426,0.21701168849457822
ES,3,4.0,morning,3329,0.47221387804145387,-2.047044632086852
ES,3,4.0,overnight,25547,0.4726973812972169,0.24879633616471603
ES,3,4.0,precash,2744,0.4708454810495627,0.9883381924198251
NQ,1,3.0,afternoon,7261,0.49690125327089935,2.5276132764082084
NQ,1,3.0,cashopen,1361,0.4761204996326231,-15.146216017634092
NQ,1,3.0,close,5434,0.4887743835112256,7.132680320569902
NQ,1,3.0,european,25387,0.4895812817583803,-0.1768227833142947
NQ,1,3.0,midday,11038,0.50425801775684,0.04564842544695526
NQ,1,3.0,morning,5182,0.5038595137012737,2.7611304684475417
NQ,1,3.0,overnight,42548,0.48079815737519976,0.19591990222807182
NQ,1,3.0,precash,4694,0.47677886663826163,-0.9105050074579161
NQ,1,4.0,afternoon,4008,0.48952095808383234,2.9860279441117763
NQ,1,4.0,cashopen,552,0.4583333333333333,-3.777173913043478
NQ,1,4.0,close,3099,0.4846724749919329,12.426809651474532
NQ,1,4.0,european,13578,0.48895271763146264,-0.3841508322286051
NQ,1,4.0,midday,5957,0.5010911532650663,-1.8891505466778806
NQ,1,4.0,morning,2459,0.5079300528670191,1.7165644171779142
NQ,1,4.0,overnight,24500,0.47244897959183674,-0.5569795918367347
NQ,1,4.0,precash,2533,0.47374654559810503,0.45400710619818396
NQ,3,3.0,afternoon,7441,0.47829592796667114,2.6844510146485687
NQ,3,3.0,cashopen,1303,0.4957789716039908,-31.269378357636224
NQ,3,3.0,close,5417,0.4943695772567842,21.535329341317365
NQ,3,3.0,european,25052,0.4823566980680185,-0.7330752035765608
NQ,3,3.0,midday,11463,0.49480938672249847,0.12580870781605175
NQ,3,3.0,morning,5343,0.4783829309376755,-5.05274024024024
NQ,3,3.0,overnight,42124,0.4726046909125439,1.2481483239958218
NQ,3,3.0,precash,4708,0.4770603228547154,-4.912064570943076
NQ,3,4.0,afternoon,4115,0.4639125151883354,0.1859052247873633
NQ,3,4.0,cashopen,572,0.4807692307692308,-35.68531468531469
NQ,3,4.0,close,3086,0.5032404406999352,33.50810508664058
NQ,3,4.0,european,13319,0.4828440573616638,-0.797432239657632
NQ,3,4.0,midday,6109,0.4905876575544279,1.3084617907510658
NQ,3,4.0,morning,2466,0.4708029197080292,-7.019160211985324
NQ,3,4.0,overnight,23678,0.46887406030914774,1.8123996959202635
NQ,3,4.0,precash,2516,0.47297297297297297,1.2062798092209857
